,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
0,1968-69,22.0,NOB,ABA,SG,77.0,,17.1,2.7,6.9,0.392,0.6,2.1,0.309,2.0,4.8,0.429,0.439,1.5,1.7,0.8420000000000001,0.3,1.2,1.5,2.2,,1.5,1.7,7.5
1,1969-70,23.0,NOB,ABA,SG,83.0,,20.8,3.6,9.6,0.373,1.0,3.6,0.29,2.5,6.0,0.42200000000000004,0.42700000000000005,1.6,1.9,0.8390000000000001,0.1,1.3,1.4,1.6,,1.2,2.3,9.9
2,1970-71,24.0,UTS,ABA,SG,71.0,,19.9,3.8,9.1,0.42,0.5,1.8,0.256,3.4,7.3,0.45899999999999996,0.444,2.2,2.4,0.9109999999999999,0.3,1.5,1.8,2.6,,1.5,2.0,10.2
3,1971-72,25.0,UTS,ABA,SG,14.0,,6.9,1.0,2.6,0.389,0.2,0.6,0.33299999999999996,0.8,1.9,0.40700000000000003,0.431,0.4,0.5,0.857,0.3,0.4,0.7,0.9,,0.9,1.3,2.6
4,Career,,,ABA,,245.0,,18.6,3.2,8.2,0.39299999999999996,0.7,2.4,0.289,2.5,5.8,0.43700000000000006,0.436,1.7,1.9,0.866,0.3,1.3,1.5,2.1,,1.4,2.0,8.8
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2 seasons,,NOB,ABA,,160.0,,19.0,3.2,8.3,0.38,0.9,2.9,0.297,2.3,5.4,0.425,0.43200000000000005,1.5,1.8,0.84,0.2,1.2,1.5,1.9,,1.4,2.0,8.7
7,2 seasons,,UTS,ABA,,85.0,,17.8,3.4,8.0,0.418,0.4,1.6,0.261,2.9,6.4,0.456,0.444,1.9,2.1,0.909,0.3,1.3,1.7,2.3,,1.4,1.9,9.0
