Player,championship_x,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship_y
Joel Embiid,"6x All Star
2x Scoring Champ
5x All-NBA
2016-17 All-Rookie
3x All-Defensive
2022-23 MVP",Career,394,27.2,11.2,3.4,50.1,33.7,81.9,53.3,27.9,56,0
Michael Jordan,"Hall of Fame
14x All Star
10x Scoring Champ
3x STL Champ
6x NBA Champ
11x All-NBA
1984-85 All-Rookie
1984-85 ROY
9x All-Defensive
3x AS MVP
1987-88 Def. POY
5x MVP
6x Finals MVP
NBA 75th Anniv. Team",Career,1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214,6
Nikola Joki?,"5x All Star
2023 NBA Champ
5x All-NBA
2015-16 All-Rookie
2x MVP
2022-23 WCF MVP
2022-23 Finals MVP",Career,596,20.2,10.5,6.6,55.3,34.8,82.9,58.9,27.7,94.5,1
LeBron James,"19x All Star
2007-08 Scoring Champ
2019-20 AST Champ
4x NBA Champ
19x All-NBA
2003-04 All-Rookie
2003-04 ROY
3x AS MVP
6x All-Defensive
4x MVP
4x Finals MVP
NBA 75th Anniv. Team",Career,1421,27.2,7.5,7.3,50.5,34.5,73.5,54.5,27.2,255.1,4
George Mikan,"Hall of Fame
4x All Star
3x Scoring Champ
1952-53 TRB Champ
5x BAA/NBA Champ
6x All-BAA/NBA
1952-53 AS MVP
NBA 75th Anniv. Team",Career,439,23.1,13.4,2.8,40.4,,78.2,,27.1,108.7,5
Anthony Davis,"8x All Star
3x BLK Champ
2020 NBA Champ
4x All-NBA
2012-13 All-Rookie
4x All-Defensive
2016-17 AS MVP
NBA 75th Anniv. Team",Career,660,24,10.4,2.4,51.9,30,79.3,53.3,27,100.3,1
Shaquille O'Neal,"Hall of Fame
15x All Star
2x Scoring Champ
4x NBA Champ
14x All-NBA
1992-93 All-Rookie
1992-93 ROY
3x All-Defensive
3x AS MVP
3x Finals MVP
1999-00 MVP
NBA 75th Anniv. Team",Career,1207,23.7,10.9,2.5,58.2,4.5,52.7,58.2,26.4,181.7,4
Wilt Chamberlain,"Hall of Fame
13x All Star
7x Scoring Champ
11x TRB Champ
1967-68 AST Champ
2x NBA Champ
10x All-NBA
1959-60 AS MVP
4x MVP
1959-60 ROY
2x All-Defensive
1971-72 Finals MVP
NBA 75th Anniv. Team",Career,1045,30.1,22.9,4.4,54,,51.1,,26.2,247.3,2
David Robinson,"Hall of Fame
10x All Star
1993-94 Scoring Champ
1990-91 TRB Champ
1991-92 BLK Champ
2x NBA Champ
10x All-NBA
8x All-Defensive
1989-90 All-Rookie
1989-90 ROY
1991-92 Def. POY
1994-95 MVP
NBA 75th Anniv. Team",Career,987,21.1,10.6,2.5,51.8,25,73.6,51.9,26.2,178.7,2
Zion Williamson,"2x All Star
2019-20 All-Rookie",Career,114,25.8,7,3.6,60.5,34.3,69.1,61.1,26,14.2,0
Bob Pettit,"Hall of Fame
11x All Star
2x Scoring Champ
1955-56 TRB Champ
1958 NBA Champ
11x All-NBA
1954-55 ROY
4x AS MVP
2x MVP
NBA 75th Anniv. Team",Career,792,26.4,16.2,3,43.6,,76.1,,25.4,136,1
Kevin Durant,"13x All Star
4x Scoring Champ
2x NBA Champ
10x All-NBA
2007-08 All-Rookie
2007-08 ROY
2x AS MVP
2013-14 MVP
2x Finals MVP
NBA 75th Anniv. Team",Career,986,27.3,7.1,4.3,49.9,38.5,88.6,54.9,25.3,161.9,0
Luka Don?i?,"4x All Star
4x All-NBA
2018-19 All-Rookie
2018-19 ROY",Career,330,27.6,8.6,8,46.6,33.8,73.9,53.5,25.2,39.2,0
