Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Dennis Scott,Career,629,12.9,2.8,2.1,41.7,39.7,79.3,50.2,13.4,33.4
James Scott,Career,8,0.1,0.8,0.4,0.0,0.0,50.0,0.0,-4.1,-0.1
Mike Scott,Career,555,6.7,3.1,0.9,45.3,36.2,75.7,53.1,12.3,16.8
Ray Scott,Career,811,14.3,9.8,2.2,40.9,60.0,72.7,40.9,15.9,34.7
Shawnelle Scott,Career,105,1.8,2.2,0.2,46.4,-,46.5,46.4,13.1,1.3
Tre Scott,Career,2,3.0,1.0,0.0,50.0,0.0,-,50.0,20.4,0.0
Willie Scott,Career,8,1.6,0.5,0.3,40.0,-,16.7,40.0,-7.1,-0.1
Paul Scranton,Career,5,1.8,3.2,0.2,44.4,-,25.0,44.4,10.6,0.0
Jay Scrubb,Career,24,4.0,1.5,0.4,41.6,31.3,76.5,47.2,8.8,-0.1
Carey Scurry,Career,180,4.7,2.9,1.1,48.0,25.0,66.6,48.6,14.1,5.3
Dereon Seabron,Career,5,0.8,0.2,0.0,40.0,-,-,40.0,4.6,0.0
Bruce Seals,Career,348,8.9,4.2,1.0,42.3,20.4,67.2,42.6,11.5,7.8
Shea Seals,Career,4,1.0,1.0,0.0,12.5,0.0,50.0,12.5,4.9,-0.1
Malik Sealy,Career,493,10.1,3.2,1.7,42.6,29.2,80.9,44.4,13.6,17.1
Ed Searcy,Career,4,1.5,0.0,0.3,33.3,,100.0,,5.6,0.0
Kenny Sears,Career,529,13.9,7.8,1.6,45.5,,82.6,,18.5,55.8
Wayne See,Career,61,5.2,-,2.3,37.3,,69.6,,-,1.6
Thabo Sefolosha,Career,869,5.7,3.7,1.4,44.9,34.9,73.2,50.9,11.4,39.3
Rony Seikaly,Career,678,14.7,9.5,1.3,48.4,18.8,67.9,48.4,15.7,37.3
Glen Selbo,Career,13,3.2,-,1.8,19.6,,75.9,,-,-0.2
Josh Selby,Career,38,2.2,0.5,0.9,33.0,14.3,72.0,34.6,2.7,-0.7
Wayne Selden,Career,127,7.2,2.0,1.5,41.5,34.4,71.8,48.4,9.1,0.2
Brad Sellers,Career,398,6.3,2.7,1.1,45.2,20.0,79.3,45.4,11.1,9.8
Phil Sellers,Career,44,4.5,0.9,0.6,38.4,,72.2,,14.0,0.0
Rollie Seltz,Career,34,7.8,-,1.9,30.1,,76.9,,-,1.8
Les Selvage,Career,82,13.5,2.7,3.1,35.4,31.6,74.1,42.4,10.6,2.3
Frank Selvy,Career,565,10.8,3.7,2.8,39.4,,72.8,,12.4,23.8
Jim Seminoff,Career,231,6.5,-,2.7,30.8,,68.1,,-,16.9
Mouhamed Sene,Career,47,2.2,1.6,0.0,42.7,-,58.9,42.7,13.5,0.3
George Senesky,Career,482,7.2,3.5,3.2,31.3,,70.2,,10.4,21.8
Alperen Şengün,Career,147,12.3,7.3,3.2,52.2,27.6,71.3,54.0,18.2,7.3
Kevin Séraphin,Career,423,5.9,3.5,0.6,48.9,0.0,71.5,48.9,12.1,5.9
Ansu Sesay,Career,127,3.2,1.8,0.5,43.4,27.6,64.0,44.5,11.1,1.4
Ramon Sessions,Career,691,10.3,2.7,4.1,43.4,31.6,79.1,45.3,15.9,28.8
Ha Seung-Jin,Career,46,1.5,1.5,0.1,51.9,-,50.0,51.9,5.4,-0.2
Tom Sewell,Career,21,1.0,0.2,0.3,25.0,0.0,50.0,25.0,-2.7,-0.4
Collin Sexton,Career,266,19.0,2.9,3.2,46.4,38.0,82.6,51.0,15.2,7.9
Paul Seymour,Career,622,9.4,3.1,3.8,35.0,,79.2,,13.9,37.5
Nick Shaback,Career,53,4.6,-,0.5,26.5,,71.7,,-,0.3
Lynn Shackelford,Career,22,2.6,1.2,0.5,30.6,30.8,76.9,33.3,4.7,-0.3
Charles Shackleford,Career,303,5.4,4.8,0.6,48.3,0.0,65.4,48.3,13.1,7.3
Carl Shaeffer,Career,53,3.1,1.0,0.9,35.7,,58.3,,-,0.8
Lee Shaffer,Career,196,16.8,6.3,1.2,42.0,,77.6,,14.6,8.2
Mustafa Shakur,Career,25,2.1,0.9,1.2,33.9,9.1,52.9,34.7,5.8,-0.5
Landry Shamet,Career,302,8.9,1.8,1.7,40.6,38.8,84.2,54.4,10.1,11.8
God Shammgod,Career,20,3.1,0.4,1.8,32.8,0.0,76.7,32.8,9.2,-0.1
Earl Shannon,Career,134,8.6,-,1.3,30.5,,59.8,,-,7.6
Howie Shannon,Career,122,10.8,-,2.5,35.5,,79.5,,-,6.3
Chuck Share,Career,596,8.3,8.4,1.4,40.0,,69.3,,17.7,42.0
Bill Sharman,Career,711,17.8,3.9,3.0,42.6,,88.3,,18.3,82.8
Day'Ron Sharpe,Career,80,5.3,4.5,0.7,55.9,44.4,61.5,57.2,19.0,2.8
Shaedon Sharpe,Career,80,9.9,3.0,1.2,47.2,36.0,71.4,55.1,11.5,1.2
Walter Sharpe,Career,8,1.0,0.4,0.0,36.4,0.0,0.0,36.4,4.8,-0.1
John Shasky,Career,136,3.8,2.8,0.3,46.6,0.0,65.5,46.6,11.8,2.5
