Date,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,GmSc_team,+/-_team,2PA_team,2P_team,2P%_team,CO_EFF_team,EFF_team,avg_EFF_team,CO_HGS_team,HGS_team,avg_HGS_team,PER_team,WS_team,BPM_team,OBPM_team,DBPM_team,TS%_team,3PAr_team,FTr_team,VORP_team,OWS_team,Player_Played_team,avg_MP_team,avg_FG_team,avg_FGA_team,avg_FG%_team,avg_3P_team,avg_3PA_team,avg_3P%_team,avg_FT_team,avg_FTA_team,avg_FT%_team,avg_ORB_team,avg_DRB_team,avg_TRB_team,avg_AST_team,avg_STL_team,avg_BLK_team,avg_TOV_team,avg_PF_team,avg_PTS_team,avg_GmSc_team,avg_+/-_team,avg_2PA_team,avg_2P_team,avg_2P%_team,avg_CO_EFF_team,avg_avg_EFF_team,avg_CO_HGS_team,avg_avg_HGS_team,avg_PER_team,avg_WS_team,avg_BPM_team,avg_OBPM_team,avg_DBPM_team,avg_TS%_team,avg_3PAr_team,avg_FTr_team,avg_VORP_team,avg_OWS_team,WIN_team,home_team,team_opp_team,Team,MP_opp,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp,GmSc_opp,+/-_opp,2PA_opp,2P_opp,2P%_opp,CO_EFF_opp,EFF_opp,avg_EFF_opp,CO_HGS_opp,HGS_opp,avg_HGS_opp,PER_opp,WS_opp,BPM_opp,OBPM_opp,DBPM_opp,TS%_opp,3PAr_opp,FTr_opp,VORP_opp,OWS_opp,Player_Played_opp,avg_MP_opp,avg_FG_opp,avg_FGA_opp,avg_FG%_opp,avg_3P_opp,avg_3PA_opp,avg_3P%_opp,avg_FT_opp,avg_FTA_opp,avg_FT%_opp,avg_ORB_opp,avg_DRB_opp,avg_TRB_opp,avg_AST_opp,avg_STL_opp,avg_BLK_opp,avg_TOV_opp,avg_PF_opp,avg_PTS_opp,avg_GmSc_opp,avg_+/-_opp,avg_2PA_opp,avg_2P_opp,avg_2P%_opp,avg_CO_EFF_opp,avg_avg_EFF_opp,avg_CO_HGS_opp,avg_avg_HGS_opp,avg_PER_opp,avg_WS_opp,avg_BPM_opp,avg_OBPM_opp,avg_DBPM_opp,avg_TS%_opp,avg_3PAr_opp,avg_FTr_opp,avg_VORP_opp,avg_OWS_opp,WIN_opp,home_opp,team_opp_opp,WON,target,WON_results,scoring_margin_WON,target_results,scoring_margin_target
2022/10/19,240,45,90,4.839,7,25,2.394,20,24,4.583,4,34,38,30,12,5,9,18,117,103.7,50,65,38,4.828205128,75,1421,157.8888889,92.5,1583.6,175.9555556,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,9,26.66666667,5,10,0.537666667,0.777777778,2.777777778,0.266,2.222222222,2.666666667,0.509222222,0.444444444,3.777777778,4.222222222,3.333333333,1.333333333,0.555555556,1,2,13,11.52222222,5.555555556,7.222222222,4.222222222,0.536467236,8.333333333,17.54320988,10.27777778,19.55061728,19.25555556,4.022222222,-2.033333333,-1.666666667,-0.355555556,0.782888889,0.442444444,0.287555556,1.033333333,2.511111111,W (+10),1,HOU,ATL,240,42,98,4.487,9,35,1.766,14,15,5.5,15,39,54,25,4,3,15,20,107,77.6,-50,63,33,5.178205128,41,561,56.1,50.5,639.8,63.98,114.7,11.5,-16.5,-9.5,-7.1,4.457,2.153,2.272,0.6,5.6,10,24,4.2,9.8,0.4487,0.9,3.5,0.1766,1.4,1.5,0.55,1.5,3.9,5.4,2.5,0.4,0.3,1.5,2,10.7,7.76,-5,6.3,3.3,0.517820513,4.1,5.61,5.05,6.398,11.47,1.15,-1.65,-0.95,-0.71,0.4457,0.2153,0.2272,0.06,0.56,L (-10),0,ATL,W (+10),W (+10),1,10,1,10
2022/10/21,240,40,89,4.311,13,31,2.347,15,16,5.5,9,37,46,26,10,2,17,22,108,82.5,50,58,27,4.154001554,65,1222,135.7777778,70,1329.8,147.7555556,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,9,26.66666667,4.444444444,9.888888889,0.479,1.444444444,3.444444444,0.260777778,1.666666667,1.777777778,0.611111111,1,4.111111111,5.111111111,2.888888889,1.111111111,0.222222222,1.888888889,2.444444444,12,9.166666667,5.555555556,6.444444444,3,0.461555728,7.222222222,15.08641975,7.777777778,16.41728395,19.25555556,4.022222222,-2.033333333,-1.666666667,-0.355555556,0.782888889,0.442444444,0.287555556,1.033333333,2.511111111,W (+10),1,ORL,ATL,240,33,80,4.241,8,34,2.05,24,30,5.779,10,34,44,16,9,7,19,19,98,68.5,-50,46,25,4.976190476,33,597,54.27272727,47.7,657,59.72727273,120.6,23.1,-8.6,-8.8,0.3,5.068,3.749,2.4,4.8,9.3,11,21.81818182,3,7.272727273,0.385545455,0.727272727,3.090909091,0.186363636,2.181818182,2.727272727,0.525363636,0.909090909,3.090909091,4,1.454545455,0.818181818,0.636363636,1.727272727,1.727272727,8.909090909,6.227272727,-4.545454545,4.181818182,2.272727273,0.452380952,3,4.933884298,4.336363636,5.429752066,10.96363636,2.1,-0.781818182,-0.8,0.027272727,0.460727273,0.340818182,0.218181818,0.436363636,0.845454545,L (-10),0,ATL,W (+10),L (-17),1,10,0,-17
2022/10/23,240,39,95,5.251,8,35,1.817,23,28,6.389,16,29,45,23,8,9,12,21,109,86,-85,60,31,6.382976828,62,967,74.38461538,78,1244.2,95.70769231,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,13,18.46153846,3,7.307692308,0.403923077,0.615384615,2.692307692,0.139769231,1.769230769,2.153846154,0.491461538,1.230769231,2.230769231,3.461538462,1.769230769,0.615384615,0.692307692,0.923076923,1.615384615,8.384615385,6.615384615,-6.538461538,4.615384615,2.384615385,0.490998218,4.769230769,5.721893491,6,7.362130178,13.33076923,2.784615385,-1.407692308,-1.153846154,-0.246153846,0.542,0.306307692,0.199076923,0.715384615,1.738461538,L (-17),1,CHO,ATL,240,47,90,7.183,11,26,2.916,21,30,7.378,14,38,52,28,7,6,13,24,126,107.6,85,64,36,7.795238095,69,1107,85.15384615,84.2,1345.2,103.4769231,92.5,8.8,-19.2,-14.8,-4.3,4.095,3.514,1.643,1.3,0.5,13,18.46153846,3.615384615,6.923076923,0.552538462,0.846153846,2,0.224307692,1.615384615,2.307692308,0.567538462,1.076923077,2.923076923,4,2.153846154,0.538461538,0.461538462,1,1.846153846,9.692307692,8.276923077,6.538461538,4.923076923,2.769230769,0.5996337,5.307692308,6.550295858,6.476923077,7.959763314,7.115384615,0.676923077,-1.476923077,-1.138461538,-0.330769231,0.315,0.270307692,0.126384615,0.1,0.038461538,W (+17),0,ATL,L (-17),W (+5),0,-17,1,5
2022/10/26,240,45,91,4.758,8,22,2.643,20,25,2.774,10,36,46,22,6,12,12,20,118,97.9,25,69,37,4.93635531,72,1042,115.7777778,88,1252.4,139.1555556,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,9,26.66666667,5,10.11111111,0.528666667,0.888888889,2.444444444,0.293666667,2.222222222,2.777777778,0.308222222,1.111111111,4,5.111111111,2.444444444,0.666666667,1.333333333,1.333333333,2.222222222,13.11111111,10.87777778,2.777777778,7.666666667,4.111111111,0.548483923,8,12.86419753,9.777777778,15.4617284,19.25555556,4.022222222,-2.033333333,-1.666666667,-0.355555556,0.782888889,0.442444444,0.287555556,1.033333333,2.511111111,W (+5),0,DET,ATL,240,42,91,3.793,14,32,2.5,15,22,4.25,10,30,40,23,4,6,13,25,113,80.6,-25,59,28,3.942640693,57,867,86.7,66.2,965.6,96.56,148.7,15.5,-18,-8.7,-9.3,6.517,3.804,4.732,1.8,9.3,10,24,4.2,9.1,0.3793,1.4,3.2,0.25,1.5,2.2,0.425,1,3,4,2.3,0.4,0.6,1.3,2.5,11.3,8.06,-2.5,5.9,2.8,0.394264069,5.7,8.67,6.62,9.656,14.87,1.55,-1.8,-0.87,-0.93,0.6517,0.3804,0.4732,0.18,0.93,L (-5),1,ATL,W (+5),W (+24),1,5,1,24
2022/10/28,240,55,97,6.554,12,29,4.067,14,18,3.133,10,35,45,31,5,8,6,26,136,121.9,120,68,43,7.504761905,102,1492,106.5714286,116.1,1803.3,128.8071429,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,14,17.14285714,3.928571429,6.928571429,0.468142857,0.857142857,2.071428571,0.2905,1,1.285714286,0.223785714,0.714285714,2.5,3.214285714,2.214285714,0.357142857,0.571428571,0.428571429,1.857142857,9.714285714,8.707142857,8.571428571,4.857142857,3.071428571,0.536054422,7.285714286,7.612244898,8.292857143,9.200510204,12.37857143,2.585714286,-1.307142857,-1.071428571,-0.228571429,0.503285714,0.284428571,0.184857143,0.664285714,1.614285714,W (+24),0,DET,ATL,240,37,86,3.602,7,32,1.233,31,38,6.392,14,28,42,18,2,4,10,22,112,80.6,-120,54,30,4.3,47,653,54.41666667,68.9,958.7,79.89166667,148.7,15.5,-18,-8.7,-9.3,6.517,3.804,4.732,1.8,9.3,12,20,3.083333333,7.166666667,0.300166667,0.583333333,2.666666667,0.10275,2.583333333,3.166666667,0.532666667,1.166666667,2.333333333,3.5,1.5,0.166666667,0.333333333,0.833333333,1.833333333,9.333333333,6.716666667,-10,4.5,2.5,0.358333333,3.916666667,4.534722222,5.741666667,6.657638889,12.39166667,1.291666667,-1.5,-0.725,-0.775,0.543083333,0.317,0.394333333,0.15,0.775,L (-24),1,ATL,W (+24),L (-8),1,24,0,-8
2022/10/29,240,45,94,4.654,13,29,3.267,12,15,2.5,12,30,42,19,5,2,12,23,115,81.9,-40,65,32,5.108116884,57,762,76.2,70.6,979.3,97.93,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,10,24,4.5,9.4,0.4654,1.3,2.9,0.3267,1.2,1.5,0.25,1.2,3,4.2,1.9,0.5,0.2,1.2,2.3,11.5,8.19,-4,6.5,3.2,0.510811688,5.7,7.62,7.06,9.793,17.33,3.62,-1.83,-1.5,-0.32,0.7046,0.3982,0.2588,0.93,2.26,L (-8),0,MIL,ATL,240,45,92,4.941,14,36,4.087,19,29,2.293,14,35,49,24,8,5,11,18,123,103,40,56,31,5.321428571,70,983,89.36363636,87.2,1181.6,107.4181818,143.6,37.6,-0.3,-4.1,3.7,5.653,4.956,2.291,12.5,18.6,11,21.81818182,4.090909091,8.363636364,0.449181818,1.272727273,3.272727273,0.371545455,1.727272727,2.636363636,0.208454545,1.272727273,3.181818182,4.454545455,2.181818182,0.727272727,0.454545455,1,1.636363636,11.18181818,9.363636364,3.636363636,5.090909091,2.818181818,0.483766234,6.363636364,8.123966942,7.927272727,9.765289256,13.05454545,3.418181818,-0.027272727,-0.372727273,0.336363636,0.513909091,0.450545455,0.208272727,1.136363636,1.690909091,W (+8),1,ATL,L (-8),L (-30),0,-8,0,-30
2022/10/31,240,39,84,5.914,11,29,3.617,20,25,5.625,7,30,37,28,1,4,18,27,109,72.3,-150,55,28,6.561688313,46,790,56.42857143,54,1016.6,72.61428571,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,14,17.14285714,2.785714286,6,0.422428571,0.785714286,2.071428571,0.258357143,1.428571429,1.785714286,0.401785714,0.5,2.142857143,2.642857143,2,0.071428571,0.285714286,1.285714286,1.928571429,7.785714286,5.164285714,-10.71428571,3.928571429,2,0.468692022,3.285714286,4.030612245,3.857142857,5.186734694,12.37857143,2.585714286,-1.307142857,-1.071428571,-0.228571429,0.503285714,0.284428571,0.184857143,0.664285714,1.614285714,L (-30),0,TOR,ATL,240,46,92,7.724,14,34,4.175,33,40,6.646,12,32,44,25,13,9,6,22,139,130.2,150,58,32,7.804761905,82,1583,113.0714286,106.5,1748,124.8571429,151.7,31.7,-9.6,-12.5,3.1,5.913,3.866,2.572,8,16.2,14,17.14285714,3.285714286,6.571428571,0.551714286,1,2.428571429,0.298214286,2.357142857,2.857142857,0.474714286,0.857142857,2.285714286,3.142857143,1.785714286,0.928571429,0.642857143,0.428571429,1.571428571,9.928571429,9.3,10.71428571,4.142857143,2.285714286,0.557482993,5.857142857,8.076530612,7.607142857,8.918367347,10.83571429,2.264285714,-0.685714286,-0.892857143,0.221428571,0.422357143,0.276142857,0.183714286,0.571428571,1.157142857,W (+30),1,ATL,L (-30),W (+9),0,-30,1,9
2022/11/10,240,39,88,4.719,6,26,1.583,20,23,3.167,11,43,54,19,8,2,18,22,104,73.3,45,62,33,4.515170941,55,708,70.8,63.1,941.4,94.14,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,10,24,3.9,8.8,0.4719,0.6,2.6,0.1583,2,2.3,0.3167,1.1,4.3,5.4,1.9,0.8,0.2,1.8,2.2,10.4,7.33,4.5,6.2,3.3,0.451517094,5.5,7.08,6.31,9.414,17.33,3.62,-1.83,-1.5,-0.32,0.7046,0.3982,0.2588,0.93,2.26,W (+9),1,PHI,ATL,240,32,83,4.563,6,30,2.309,25,30,6.717,9,36,45,15,10,5,17,22,95,63,-45,53,26,5.077272727,42,784,65.33333333,54.8,765.5,63.79166667,175.3,43.6,4.2,0.1,4.3,6.532,3.966,3.08,13.4,25,12,20,2.666666667,6.916666667,0.38025,0.5,2.5,0.192416667,2.083333333,2.5,0.55975,0.75,3,3.75,1.25,0.833333333,0.416666667,1.416666667,1.833333333,7.916666667,5.25,-3.75,4.416666667,2.166666667,0.423106061,3.5,5.444444444,4.566666667,5.315972222,14.60833333,3.633333333,0.35,0.008333333,0.358333333,0.544333333,0.3305,0.256666667,1.116666667,2.083333333,L (-9),0,ATL,W (+9),L (-12),1,9,0,-12
2022/11/12,240,40,89,4.708,6,24,1.869,23,27,4.625,12,31,43,20,4,2,18,19,109,72.6,-60,65,34,5.388729399,35,545,54.5,58.8,907,90.7,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,10,24,4,8.9,0.4708,0.6,2.4,0.1869,2.3,2.7,0.4625,1.2,3.1,4.3,2,0.4,0.2,1.8,1.9,10.9,7.26,-6,6.5,3.4,0.53887294,3.5,5.45,5.88,9.07,17.33,3.62,-1.83,-1.5,-0.32,0.7046,0.3982,0.2588,0.93,2.26,L (-12),0,PHI,ATL,240,44,80,5.229,8,24,2.183,25,31,4.563,2,29,31,24,10,5,12,26,121,98.2,60,56,36,5.286957779,67,1375,137.5,87.5,1294.4,129.44,175.3,43.6,4.2,0.1,4.3,6.532,3.966,3.08,13.4,25,10,24,4.4,8,0.5229,0.8,2.4,0.2183,2.5,3.1,0.4563,0.2,2.9,3.1,2.4,1,0.5,1.2,2.6,12.1,9.82,6,5.6,3.6,0.528695778,6.7,13.75,8.75,12.944,17.53,4.36,0.42,0.01,0.43,0.6532,0.3966,0.308,1.34,2.5,W (+12),1,ATL,L (-12),W (+15),0,-12,1,15
2022/11/14,240,44,92,4.915,7,20,2.017,26,30,5.107,13,32,45,23,4,4,9,23,121,96,75,72,37,5.108658008,66,917,76.41666667,85.6,1227.1,102.2583333,173.3,36.2,-18.3,-15,-3.2,7.046,3.982,2.588,9.3,22.6,12,20,3.666666667,7.666666667,0.409583333,0.583333333,1.666666667,0.168083333,2.166666667,2.5,0.425583333,1.083333333,2.666666667,3.75,1.916666667,0.333333333,0.333333333,0.75,1.916666667,10.08333333,8,6.25,6,3.083333333,0.425721501,5.5,6.368055556,7.133333333,8.521527778,14.44166667,3.016666667,-1.525,-1.25,-0.266666667,0.587166667,0.331833333,0.215666667,0.775,1.883333333,W (+15),0,MIL,ATL,240,34,82,4.34,6,29,1.583,32,41,7.135,11,35,46,21,4,3,15,26,106,72.2,-75,53,28,5.594444444,23,380,31.66666667,44.2,685.1,57.09166667,143.6,37.6,-0.3,-4.1,3.7,5.653,4.956,2.291,12.5,18.6,12,20,2.833333333,6.833333333,0.361666667,0.5,2.416666667,0.131916667,2.666666667,3.416666667,0.594583333,0.916666667,2.916666667,3.833333333,1.75,0.333333333,0.25,1.25,2.166666667,8.833333333,6.016666667,-6.25,4.416666667,2.333333333,0.466203704,1.916666667,2.638888889,3.683333333,4.757638889,11.96666667,3.133333333,-0.025,-0.341666667,0.308333333,0.471083333,0.413,0.190916667,1.041666667,1.55,L (-15),1,ATL,W (+15),L (-25),1,15,0,-25
