Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
Eric Fernsten,Career,218,2.4,1.7,0.4,44.5,-,67.5,44.5,11.7,3.3
Al Ferrari,Career,371,6.8,2.2,2.5,36.8,,76.0,,9.5,8.9
Rolando Ferreira,Career,12,0.8,1.1,0.1,5.6,-,87.5,5.6,-7.6,-0.2
Duane Ferrell,Career,583,6.4,1.9,0.9,48.0,28.8,75.0,48.7,12.9,15.7
Yogi Ferrell,Career,259,7.7,2.1,2.3,42.0,36.5,83.5,50.4,12.2,7.7
Arnie Ferrin,Career,178,5.8,4.0,1.6,33.2,,68.6,,-,7.6
Bob Ferry,Career,634,9.1,5.3,1.4,43.3,,66.4,,13.8,20.2
Danny Ferry,Career,917,7.0,2.8,1.3,44.6,39.3,84.0,50.6,11.8,34.8
Kyrylo Fesenko,Career,135,2.3,2.0,0.3,49.6,0.0,41.0,49.6,8.5,0.9
Bobby Fields,Career,22,2.5,1.4,0.9,45.8,28.6,61.5,47.9,9.2,0.2
Kenny Fields,Career,184,6.2,2.5,1.0,47.4,18.8,73.3,47.5,11.7,4.2
Landry Fields,Career,255,6.8,4.3,1.6,47.3,33.2,66.6,51.5,12.1,10.5
Ron Filipek,Career,19,2.3,1.3,0.4,38.3,,50.0,,13.5,0.0
Greg Fillmore,Career,49,2.4,2.2,0.4,40.3,,46.7,,8.1,0.3
Larry Finch,Career,128,8.6,1.7,2.4,43.1,34.2,82.9,44.5,9.7,1.7
Hank Finkel,Career,551,5.1,3.9,0.8,44.9,,66.2,,12.6,13.5
Michael Finley,Career,1103,15.7,4.4,2.9,44.4,37.5,81.1,49.2,16.0,85.2
Danny Finn,Career,142,7.3,3.9,4.0,32.7,,59.9,,13.0,1.0
Matt Fish,Career,50,3.5,2.2,0.5,50.0,0.0,62.5,50.0,11.9,0.6
Derek Fisher,Career,1287,8.3,2.1,3.0,39.9,37.4,81.7,46.6,11.7,62.3
Rick Fisher,Career,12,3.1,2.7,0.4,52.9,-,100.0,52.9,25.1,0.2
Gerald Fitch,Career,18,4.7,1.7,1.8,33.7,26.9,73.9,37.6,10.2,0.1
Malik Fitts,Career,18,1.3,1.1,0.3,40.9,50.0,-,54.5,9.6,0.1
