Player,SUMMARY,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS,championship
Joel Embiid,Career,394,27.2,11.2,3.4,50.1,33.7,81.9,53.3,27.9,56,0
Michael Jordan,Career,1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214,6
Nikola Joki?,Career,596,20.2,10.5,6.6,55.3,34.8,82.9,58.9,27.7,94.5,1
LeBron James,Career,1421,27.2,7.5,7.3,50.5,34.5,73.5,54.5,27.2,255.1,4
George Mikan,Career,439,23.1,13.4,2.8,40.4,,78.2,,27.1,108.7,5
Anthony Davis,Career,660,24,10.4,2.4,51.9,30,79.3,53.3,27,100.3,1
Shaquille O'Neal,Career,1207,23.7,10.9,2.5,58.2,4.5,52.7,58.2,26.4,181.7,4
Wilt Chamberlain,Career,1045,30.1,22.9,4.4,54,,51.1,,26.2,247.3,2
David Robinson,Career,987,21.1,10.6,2.5,51.8,25,73.6,51.9,26.2,178.7,2
Zion Williamson,Career,114,25.8,7,3.6,60.5,34.3,69.1,61.1,26,14.2,0
Bob Pettit,Career,792,26.4,16.2,3,43.6,,76.1,,25.4,136,1
Kevin Durant,Career,986,27.3,7.1,4.3,49.9,38.5,88.6,54.9,25.3,161.9,0
Luka Don?i?,Career,330,27.6,8.6,8,46.6,33.8,73.9,53.5,25.2,39.2,0
Giannis Antetokounmpo,Career,719,22.6,9.6,4.7,53.7,28.7,70.8,55.9,24.9,96.1,1
Neil Johnston,Career,516,19.4,11.3,2.5,44.4,,76.8,,24.9,92,0
Kareem Abdul-Jabbar,Career,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4,6
Charles Barkley,Career,1073,22.1,11.7,3.9,54.1,26.6,73.5,55.8,24.6,177.2,0
James Harden,Career,1000,24.7,5.6,7,44.2,36.3,86,52.6,24.4,158,0
Karl-Anthony Towns,Career,511,23,11.2,3.2,52.6,39.5,83.5,57.7,24.4,68.7,0
Chris Paul,Career,1214,17.9,4.5,9.5,47.2,36.9,87,52.2,24.3,205.1,0
Tim Duncan,Career,1392,19,10.8,3,50.6,17.9,69.6,50.7,24.2,206.4,5
Magic Johnson,Career,906,19.5,7.2,11.2,52,30.3,84.8,53.3,24.1,155.8,5
Karl Malone,Career,1476,25,10.1,3.6,51.6,27.4,74.2,51.8,23.9,234.6,0
Hassan Whiteside,Career,511,12.6,10.8,0.6,58.6,30.8,60.5,58.7,23.9,52,0
Stephen Curry,Career,882,24.6,4.7,6.5,47.5,42.8,90.9,58.3,23.8,128,4
Julius Erving,Career,1243,24.2,8.5,4.2,50.6,29.8,77.7,50.9,23.6,181.1,1
Hakeem Olajuwon,Career,1238,21.8,11.1,2.5,51.2,20.2,71.2,51.3,23.6,162.8,2
Larry Bird,Career,897,24.3,10,6.3,49.6,37.6,88.6,51.4,23.5,145.8,3
Dwyane Wade,Career,1054,22,4.7,5.4,48,29.3,76.5,49.5,23.5,120.7,3
Kawhi Leonard,Career,628,19.6,6.4,3,49.5,38.7,85.9,54.9,23.4,90.4,2
Oscar Robertson,Career,1040,25.7,7.5,9.5,48.5,,83.8,,23.2,189.2,1
Yao Ming,Career,486,19,9.2,1.6,52.4,20,83.3,52.5,23,65.9,0
Kobe Bryant,Career,1346,25,5.2,4.7,44.7,32.9,83.7,48.2,22.9,172.7,5
Jerry West,Career,932,27,5.8,6.7,47.4,,81.4,,22.9,162.6,1
Elgin Baylor,Career,846,27.4,13.5,4.3,43.1,,78,,22.7,104.2,0
Kevin Garnett,Career,1462,17.8,10,3.7,49.7,27.5,78.9,50.1,22.7,191.4,1
Damian Lillard,Career,769,25.2,4.2,6.7,43.9,37.2,89.5,52.3,22.5,103.1,0
Kyrie Irving,Career,671,23.4,3.9,5.7,47.2,39.1,88.5,53.6,22.4,79.4,1
