,Season,Lg,Player,FTA,Tm
0,2022-23,NBA,Giannis Antetokounmpo,772,MIL
1,2021-22,NBA,Joel Embiid,803,PHI
2,2020-21,NBA,Giannis Antetokounmpo,581,MIL
3,2019-20,NBA,James Harden,800,HOU
4,2018-19,NBA,James Harden,858,HOU
5,2017-18,NBA,James Harden,727,HOU
6,2016-17,NBA,James Harden,881,HOU
7,2015-16,NBA,James Harden,837,HOU
8,2014-15,NBA,James Harden,824,HOU
9,2013-14,NBA,Kevin Durant,805,OKC
10,2012-13,NBA,James Harden,792,HOU
11,2011-12,NBA,Dwight Howard,572,ORL
12,2010-11,NBA,Dwight Howard,916,ORL
13,2009-10,NBA,Kevin Durant,840,OKC
14,2008-09,NBA,Dwight Howard,849,ORL
15,2007-08,NBA,Dwight Howard,897,ORL
16,2006-07,NBA,Kobe Bryant*,768,LAL
17,2005-06,NBA,Allen Iverson*,829,PHI
18,2004-05,NBA,Amar'e Stoudemire,795,PHO
19,2003-04,NBA,Shaquille O'Neal*,676,LAL
20,2002-03,NBA,Paul Pierce*,753,BOS
21,2001-02,NBA,Shaquille O'Neal*,717,LAL
22,2000-01,NBA,Shaquille O'Neal*,972,LAL
23,1999-00,NBA,Shaquille O'Neal*,824,LAL
24,1998-99,NBA,Shaquille O'Neal*,498,LAL
25,1997-98,NBA,Karl Malone*,825,UTA
26,1996-97,NBA,Karl Malone*,690,UTA
27,1995-96,NBA,David Robinson*,823,SAS
28,1994-95,NBA,Shaquille O'Neal*,854,ORL
29,1993-94,NBA,David Robinson*,925,SAS
30,1992-93,NBA,Karl Malone*,836,UTA
31,1991-92,NBA,Karl Malone*,865,UTA
32,1990-91,NBA,Karl Malone*,888,UTA
33,1989-90,NBA,Karl Malone*,913,UTA
34,1988-89,NBA,Karl Malone*,918,UTA
35,1987-88,NBA,Charles Barkley*,951,PHI
36,1986-87,NBA,Michael Jordan*,972,CHI
37,1985-86,NBA,Adrian Dantley*,796,UTA
38,1984-85,NBA,Moses Malone*,904,PHI
39,1983-84,NBA,Adrian Dantley*,946,UTA
40,1982-83,NBA,Moses Malone*,788,PHI
41,1981-82,NBA,Moses Malone*,827,HOU
42,1980-81,NBA,Moses Malone*,804,HOU
43,1979-80,NBA,Moses Malone*,783,HOU
44,1978-79,NBA,World B. Free,865,SDC
45,1977-78,NBA,Adrian Dantley*,680,TOT
46,1976-77,NBA,David Thompson*,623,DEN
47,1975-76,NBA,Bob McAdoo*,734,BUF
48,,ABA,Artis Gilmore*,764,KEN
49,1974-75,NBA,Bob McAdoo*,796,BUF
50,,ABA,George McGinnis*,753,INA
51,1973-74,NBA,Gail Goodrich*,588,LAL
52,,ABA,George McGinnis*,715,INA
53,1972-73,NBA,Tiny Archibald*,783,KCO
54,,ABA,George McGinnis*,778,INA
55,1971-72,NBA,Tiny Archibald*,824,CIN
56,,ABA,Dan Issel*,753,KEN
57,1970-71,NBA,Dave Bing*,772,DET
58,,ABA,Mack Calvin,805,FLO
59,1969-70,NBA,Jerry West*,785,LAL
60,,ABA,Donnie Freeman,762,MMF
61,1968-69,NBA,Wilt Chamberlain*,857,LAL
62,,ABA,Larry Jones,760,DNR
63,1967-68,NBA,Wilt Chamberlain*,932,PHI
64,,ABA,Connie Hawkins*,789,PTP
65,1966-67,NBA,Wilt Chamberlain*,875,PHI
66,1965-66,NBA,Jerry West*,977,LAL
67,1964-65,NBA,Wilt Chamberlain*,880,TOT
68,1963-64,NBA,Wilt Chamberlain*,1016,SFW
69,1962-63,NBA,Wilt Chamberlain*,1113,SFW
70,1961-62,NBA,Wilt Chamberlain*,1363,PHW
71,1960-61,NBA,Wilt Chamberlain*,1054,PHW
72,1959-60,NBA,Wilt Chamberlain*,991,PHW
73,1958-59,NBA,Bob Pettit*,879,STL
74,1957-58,NBA,George Yardley*,808,DET
75,1956-57,NBA,Paul Arizin*,713,PHW
76,1955-56,NBA,Bob Pettit*,757,STL
77,1954-55,NBA,Neil Johnston*,769,PHW
78,1953-54,NBA,Neil Johnston*,772,PHW
79,1952-53,NBA,Neil Johnston*,794,PHW
80,1951-52,NBA,Paul Arizin*,707,PHW
81,1950-51,NBA,George Mikan*,717,MNL
82,1949-50,NBA,George Mikan*,728,MNL
83,1948-49,BAA,George Mikan*,689,MNL
84,1947-48,BAA,Ed Sadowski,422,BOS
85,1946-47,BAA,Joe Fulks*,601,PHW
