,Season,Lg,Player,STL,Tm
0,2022-23,NBA,OG Anunoby,128,TOR
1,2021-22,NBA,Dejounte Murray,138,SAS
2,2020-21,NBA,T.J. McConnell,128,IND
3,2019-20,NBA,James Harden,125,HOU
4,2018-19,NBA,Paul George,170,OKC
5,2017-18,NBA,Victor Oladipo,177,IND
6,2016-17,NBA,John Wall,157,WAS
7,2015-16,NBA,Stephen Curry,169,GSW
8,2014-15,NBA,Stephen Curry,163,GSW
9,2013-14,NBA,Ricky Rubio,191,MIN
10,2012-13,NBA,Mike Conley,174,MEM
11,2011-12,NBA,Chris Paul,152,LAC
12,2010-11,NBA,Chris Paul,188,NOH
13,2009-10,NBA,Rajon Rondo,189,BOS
14,2008-09,NBA,Chris Paul,216,NOH
15,2007-08,NBA,Chris Paul,217,NOH
16,2006-07,NBA,Shawn Marion,156,PHO
17,2005-06,NBA,Chris Paul,175,NOK
18,2004-05,NBA,Allen Iverson*,180,PHI
19,2003-04,NBA,Shawn Marion,167,PHO
20,2002-03,NBA,Allen Iverson*,225,PHI
21,2001-02,NBA,Jason Kidd*,175,NJN
22,2000-01,NBA,Doug Christie,183,SAC
23,1999-00,NBA,Eddie Jones,192,CHH
24,1998-99,NBA,Kendall Gill,134,NJN
25,1997-98,NBA,Brevin Knight,196,CLE
26,1996-97,NBA,Mookie Blaylock,212,ATL
27,1995-96,NBA,Gary Payton*,231,SEA
28,1994-95,NBA,Scottie Pippen*,232,CHI
29,1993-94,NBA,Nate McMillan,216,SEA
30,1992-93,NBA,Michael Jordan*,221,CHI
31,1991-92,NBA,John Stockton*,244,UTA
32,1990-91,NBA,Alvin Robertson,246,MIL
33,1989-90,NBA,Michael Jordan*,227,CHI
34,1988-89,NBA,John Stockton*,263,UTA
35,1987-88,NBA,Michael Jordan*,259,CHI
36,1986-87,NBA,Alvin Robertson,260,SAS
37,1985-86,NBA,Alvin Robertson,301,SAS
38,1984-85,NBA,Micheal Ray Richardson,243,NJN
39,1983-84,NBA,Rickey Green,215,UTA
40,1982-83,NBA,Rickey Green,220,UTA
41,1981-82,NBA,Micheal Ray Richardson,213,NYK
42,1980-81,NBA,Micheal Ray Richardson,232,NYK
43,1979-80,NBA,Micheal Ray Richardson,265,NYK
44,1978-79,NBA,Norm Nixon,201,LAL
45,,,Eddie Jordan,201,NJN
46,1977-78,NBA,Ron Lee,225,PHO
47,1976-77,NBA,Don Buse,281,IND
48,1975-76,NBA,Slick Watts,261,SEA
49,,ABA,Don Buse,346,INA
50,1974-75,NBA,Rick Barry*,228,GSW
51,,ABA,Brian Taylor,221,NYA
52,1973-74,NBA,Larry Steele,217,POR
53,,ABA,Ted McClain,250,CAR
54,1972-73,ABA,Billy Cunningham*,216,CAR
