,Season,Lg,Player,MP,Tm
0,2022-23,NBA,Mikal Bridges,2963,TOT
1,2021-22,NBA,Mikal Bridges,2854,PHO
2,2020-21,NBA,Julius Randle,2667,NYK
3,2019-20,NBA,CJ McCollum,2556,POR
4,2018-19,NBA,Bradley Beal,3028,WAS
5,2017-18,NBA,LeBron James,3026,CLE
6,2016-17,NBA,Andrew Wiggins,3048,MIN
7,2015-16,NBA,James Harden,3125,HOU
8,2014-15,NBA,James Harden,2981,HOU
9,2013-14,NBA,Kevin Durant,3122,OKC
10,2012-13,NBA,Damian Lillard,3167,POR
11,2011-12,NBA,Kevin Durant,2546,OKC
12,2010-11,NBA,Monta Ellis,3227,GSW
13,2009-10,NBA,Kevin Durant,3239,OKC
14,2008-09,NBA,Andre Iguodala,3269,PHI
15,2007-08,NBA,Allen Iverson*,3424,DEN
16,2006-07,NBA,LeBron James,3190,CLE
17,2005-06,NBA,Gilbert Arenas,3384,WAS
18,2004-05,NBA,LeBron James,3388,CLE
19,2003-04,NBA,Joe Johnson,3331,PHO
20,2002-03,NBA,Allen Iverson*,3485,PHI
21,2001-02,NBA,Antoine Walker,3406,BOS
22,2000-01,NBA,Michael Finley,3443,DAL
23,1999-00,NBA,Michael Finley,3464,DAL
24,1998-99,NBA,Jason Kidd*,2060,PHO
25,1997-98,NBA,Michael Finley,3394,DAL
26,1996-97,NBA,Glen Rice,3362,CHH
27,1995-96,NBA,Anthony Mason,3457,NYK
28,1994-95,NBA,Vin Baker,3361,MIL
29,1993-94,NBA,Latrell Sprewell,3533,GSW
30,1992-93,NBA,Larry Johnson,3323,CHH
31,1991-92,NBA,Chris Mullin*,3346,GSW
32,1990-91,NBA,Chris Mullin*,3315,GSW
33,1989-90,NBA,Rodney McCray,3238,SAC
34,1988-89,NBA,Michael Jordan*,3255,CHI
35,1987-88,NBA,Michael Jordan*,3311,CHI
36,1986-87,NBA,Michael Jordan*,3281,CHI
37,1985-86,NBA,Maurice Cheeks*,3270,PHI
38,1984-85,NBA,Buck Williams,3182,NJN
39,1983-84,NBA,Jeff Ruland,3082,WSB
40,1982-83,NBA,Isiah Thomas*,3093,DET
41,1981-82,NBA,Moses Malone*,3398,HOU
42,1980-81,NBA,Adrian Dantley*,3417,UTA
43,1979-80,NBA,Norm Nixon,3226,LAL
44,1978-79,NBA,Moses Malone*,3390,HOU
45,1977-78,NBA,Truck Robinson,3638,NOJ
46,1976-77,NBA,Elvin Hayes*,3364,WSB
47,1975-76,NBA,Kareem Abdul-Jabbar*,3379,LAL
48,,ABA,Don Buse,3380,INA
49,1974-75,NBA,Bob McAdoo*,3539,BUF
50,,ABA,Artis Gilmore*,3493,KEN
51,1973-74,NBA,Elvin Hayes*,3602,CAP
52,,ABA,Artis Gilmore*,3502,KEN
53,1972-73,NBA,Tiny Archibald*,3681,KCO
54,,ABA,Dan Issel*,3531,KEN
55,1971-72,NBA,John Havlicek*,3698,BOS
56,,ABA,Artis Gilmore*,3666,KEN
57,1970-71,NBA,John Havlicek*,3678,BOS
58,,ABA,Gerald Govan,3698,MMP
59,1969-70,NBA,Elvin Hayes*,3665,SDR
60,,ABA,Spencer Haywood*,3808,DNR
61,1968-69,NBA,Elvin Hayes*,3695,SDR
62,,ABA,Louie Dampier*,3326,KEN
63,1967-68,NBA,Wilt Chamberlain*,3836,PHI
64,,ABA,Jimmy Jones,3255,NOB
65,1966-67,NBA,Wilt Chamberlain*,3682,PHI
66,1965-66,NBA,Wilt Chamberlain*,3737,PHI
67,1964-65,NBA,Bill Russell*,3466,BOS
68,1963-64,NBA,Wilt Chamberlain*,3689,SFW
69,1962-63,NBA,Wilt Chamberlain*,3806,SFW
70,1961-62,NBA,Wilt Chamberlain*,3882,PHW
71,1960-61,NBA,Wilt Chamberlain*,3773,PHW
72,1959-60,NBA,Wilt Chamberlain*,3338,PHW
73,,,Gene Shue,3338,DET
74,1958-59,NBA,Bill Russell*,2979,BOS
75,1957-58,NBA,Dolph Schayes*,2918,SYR
76,1956-57,NBA,Dolph Schayes*,2851,SYR
77,1955-56,NBA,Jack George,2840,PHW
78,1954-55,NBA,Paul Arizin*,2953,PHW
79,1953-54,NBA,Neil Johnston*,3296,PHW
80,1952-53,NBA,Neil Johnston*,3166,PHW
81,1951-52,NBA,Paul Arizin*,2939,PHW
