,Season,Lg,Player,2PA,Tm
0,2022-23,NBA,Shai Gilgeous-Alexander,1213,OKC
1,2021-22,NBA,DeMar DeRozan,1393,CHI
2,2020-21,NBA,Nikola Jokić,1056,DEN
3,2019-20,NBA,Russell Westbrook,1068,HOU
4,2018-19,NBA,LaMarcus Aldridge,1277,SAS
5,2017-18,NBA,Russell Westbrook,1361,OKC
6,2016-17,NBA,DeMar DeRozan,1421,TOR
7,2015-16,NBA,DeMar DeRozan,1238,TOR
8,2014-15,NBA,LaMarcus Aldridge,1310,POR
9,2013-14,NBA,LaMarcus Aldridge,1408,POR
10,2012-13,NBA,LaMarcus Aldridge,1304,POR
11,2011-12,NBA,Russell Westbrook,1070,OKC
12,2010-11,NBA,Amar'e Stoudemire,1459,NYK
13,2009-10,NBA,Dirk Nowitzki,1375,DAL
14,2008-09,NBA,Dwyane Wade,1461,MIA
15,2007-08,NBA,Al Jefferson,1436,MIN
16,2006-07,NBA,Kobe Bryant*,1359,LAL
17,2005-06,NBA,Kobe Bryant*,1655,LAL
18,2004-05,NBA,Allen Iverson*,1480,PHI
19,2003-04,NBA,Kevin Garnett*,1568,MIN
20,2002-03,NBA,Allen Iverson*,1637,PHI
21,2001-02,NBA,Tim Duncan*,1494,SAS
22,2000-01,NBA,Chris Webber*,1607,SAC
23,,,Antawn Jamison,1607,GSW
24,1999-00,NBA,Shaquille O'Neal*,1664,LAL
25,1998-99,NBA,Kevin Garnett*,886,MIN
26,1997-98,NBA,Michael Jordan*,1767,CHI
27,1996-97,NBA,Michael Jordan*,1595,CHI
28,1995-96,NBA,Michael Jordan*,1590,CHI
29,1994-95,NBA,Shaquille O'Neal*,1589,ORL
30,1993-94,NBA,Hakeem Olajuwon*,1675,HOU
31,1992-93,NBA,Michael Jordan*,1773,CHI
32,1991-92,NBA,Michael Jordan*,1718,CHI
33,1990-91,NBA,Michael Jordan*,1744,CHI
34,1989-90,NBA,Michael Jordan*,1719,CHI
35,1988-89,NBA,Alex English*,1873,DEN
36,1987-88,NBA,Michael Jordan*,1945,CHI
37,1986-87,NBA,Michael Jordan*,2213,CHI
38,1985-86,NBA,Alex English*,1883,DEN
39,1984-85,NBA,Dominique Wilkins*,1810,ATL
40,1983-84,NBA,Mark Aguirre,1709,DAL
41,1982-83,NBA,Alex English*,1845,DEN
42,1981-82,NBA,George Gervin*,1951,SAS
43,1980-81,NBA,Mike Mitchell,1782,CLE
44,1979-80,NBA,George Gervin*,1838,SAS
45,1978-79,NBA,George Gervin*,1749,SAS
46,1977-78,NBA,Calvin Murphy*,1737,HOU
47,1976-77,NBA,Pete Maravich*,2047,NOJ
48,1975-76,NBA,Bob McAdoo*,1918,BUF
49,,ABA,Julius Erving*,1770,NYA
50,1974-75,NBA,Rick Barry*,2217,GSW
51,,ABA,George McGinnis*,1759,INA
52,1973-74,NBA,Pete Maravich*,1791,ATL
53,,ABA,Julius Erving*,1742,NYA
54,1972-73,NBA,Tiny Archibald*,2106,KCO
55,,ABA,Julius Erving*,1780,VIR
56,1971-72,NBA,Kareem Abdul-Jabbar*,2019,MIL
57,,ABA,Charlie Scott*,2082,VIR
58,1970-71,NBA,Elvin Hayes*,2215,SDR
59,,ABA,Dan Issel*,1919,KEN
60,1969-70,NBA,Elvin Hayes*,2020,SDR
61,,ABA,Spencer Haywood*,1987,DNR
62,1968-69,NBA,Elvin Hayes*,2082,SDR
63,,ABA,Larry Jones,1531,DNR
64,1967-68,NBA,Dave Bing*,1893,DET
65,,ABA,Mel Daniels*,1635,MNM
66,1966-67,NBA,Rick Barry*,2240,SFW
67,1965-66,NBA,Wilt Chamberlain*,1990,PHI
68,1964-65,NBA,Wilt Chamberlain*,2083,TOT
69,1963-64,NBA,Wilt Chamberlain*,2298,SFW
70,1962-63,NBA,Wilt Chamberlain*,2770,SFW
71,1961-62,NBA,Wilt Chamberlain*,3159,PHW
72,1960-61,NBA,Wilt Chamberlain*,2457,PHW
73,1959-60,NBA,Wilt Chamberlain*,2311,PHW
74,1958-59,NBA,Jack Twyman*,1691,CIN
75,1957-58,NBA,George Yardley*,1624,DET
76,1956-57,NBA,Bob Pettit*,1477,STL
77,1955-56,NBA,Bob Pettit*,1507,STL
78,1954-55,NBA,Paul Arizin*,1325,PHW
79,1953-54,NBA,Neil Johnston*,1317,PHW
80,1952-53,NBA,Bob Cousy*,1320,BOS
81,1951-52,NBA,George Mikan*,1414,MNL
82,1950-51,NBA,George Mikan*,1584,MNL
83,1949-50,NBA,George Mikan*,1595,MNL
84,1948-49,BAA,Joe Fulks*,1689,PHW
85,1947-48,BAA,Joe Fulks*,1258,PHW
86,1946-47,BAA,Joe Fulks*,1557,PHW
