,Season,Lg,Player,DRB,Tm
0,2022-23,NBA,Nikola Vučević,744,CHI
1,2021-22,NBA,Nikola Jokić,813,DEN
2,2020-21,NBA,Rudy Gobert,720,UTA
3,2019-20,NBA,Giannis Antetokounmpo,716,MIL
4,2018-19,NBA,Andre Drummond,809,DET
5,2017-18,NBA,Andre Drummond,848,DET
6,2016-17,NBA,DeAndre Jordan,816,LAC
7,2015-16,NBA,Andre Drummond,803,DET
8,2014-15,NBA,DeAndre Jordan,829,LAC
9,2013-14,NBA,DeAndre Jordan,783,LAC
10,2012-13,NBA,Dwight Howard,694,LAL
11,2011-12,NBA,Dwight Howard,585,ORL
12,2010-11,NBA,Dwight Howard,789,ORL
13,2009-10,NBA,Dwight Howard,798,ORL
14,2008-09,NBA,Dwight Howard,757,ORL
15,2007-08,NBA,Dwight Howard,882,ORL
16,2006-07,NBA,Kevin Garnett*,792,MIN
17,2005-06,NBA,Kevin Garnett*,752,MIN
18,2004-05,NBA,Kevin Garnett*,861,MIN
19,2003-04,NBA,Kevin Garnett*,894,MIN
20,2002-03,NBA,Kevin Garnett*,858,MIN
21,2001-02,NBA,Tim Duncan*,774,SAS
22,2000-01,NBA,Ben Wallace*,749,DET
23,1999-00,NBA,Dikembe Mutombo*,853,ATL
24,1998-99,NBA,Dikembe Mutombo*,418,ATL
25,1997-98,NBA,Dennis Rodman*,780,CHI
26,1996-97,NBA,Ervin Johnson,682,DEN
27,1995-96,NBA,David Robinson*,681,SAS
28,1994-95,NBA,Karl Malone*,715,UTA
29,1993-94,NBA,Dennis Rodman*,914,SAS
30,1992-93,NBA,Patrick Ewing*,789,NYK
31,1991-92,NBA,Dennis Rodman*,1007,DET
32,1990-91,NBA,Karl Malone*,731,UTA
33,1989-90,NBA,Hakeem Olajuwon*,850,HOU
34,1988-89,NBA,Hakeem Olajuwon*,767,HOU
35,1987-88,NBA,Charles Oakley,740,CHI
36,1986-87,NBA,Charles Oakley,775,CHI
37,1985-86,NBA,Bill Laimbeer,770,DET
38,1984-85,NBA,Mark Eaton,720,UTA
39,1983-84,NBA,Jack Sikma*,686,SEA
40,1982-83,NBA,Moses Malone*,749,PHI
41,1981-82,NBA,Jack Sikma*,815,SEA
42,1980-81,NBA,Swen Nater,722,SDC
43,1979-80,NBA,Swen Nater,864,SDC
44,1978-79,NBA,Moses Malone*,857,HOU
45,1977-78,NBA,Truck Robinson,990,NOJ
46,1976-77,NBA,Kareem Abdul-Jabbar*,824,LAL
47,1975-76,NBA,Kareem Abdul-Jabbar*,1111,LAL
48,,ABA,Artis Gilmore*,901,KEN
49,1974-75,NBA,Sam Lacey,921,KCO
50,,ABA,Artis Gilmore*,934,KEN
51,1973-74,NBA,Elvin Hayes*,1109,CAP
52,,ABA,Artis Gilmore*,1060,KEN
53,1972-73,ABA,Artis Gilmore*,1027,KEN
54,1971-72,ABA,Artis Gilmore*,1070,KEN
55,1970-71,ABA,Julius Keye,1084,DNR
56,1969-70,ABA,Spencer Haywood*,1104,DNR
57,1968-69,ABA,Mel Daniels*,873,INA
58,1967-68,ABA,Mel Daniels*,711,MNM
