,Season,Lg,Player,3P,Tm
0,2022-23,NBA,Klay Thompson,301,GSW
1,2021-22,NBA,Stephen Curry,285,GSW
2,2020-21,NBA,Stephen Curry,337,GSW
3,2019-20,NBA,James Harden,299,HOU
4,2018-19,NBA,James Harden,378,HOU
5,2017-18,NBA,James Harden,265,HOU
6,2016-17,NBA,Stephen Curry,324,GSW
7,2015-16,NBA,Stephen Curry,402,GSW
8,2014-15,NBA,Stephen Curry,286,GSW
9,2013-14,NBA,Stephen Curry,261,GSW
10,2012-13,NBA,Stephen Curry,272,GSW
11,2011-12,NBA,Ryan Anderson,166,ORL
12,2010-11,NBA,Dorell Wright,194,GSW
13,2009-10,NBA,Aaron Brooks,209,HOU
14,2008-09,NBA,Rashard Lewis,220,ORL
15,2007-08,NBA,Jason Richardson,243,CHA
16,2006-07,NBA,Raja Bell,205,PHO
17,,,Gilbert Arenas,205,WAS
18,2005-06,NBA,Ray Allen*,269,SEA
19,2004-05,NBA,Quentin Richardson,226,PHO
20,,,Kyle Korver,226,PHI
21,2003-04,NBA,Peja Stojaković,240,SAC
22,2002-03,NBA,Ray Allen*,201,TOT
23,2001-02,NBA,Ray Allen*,229,MIL
24,2000-01,NBA,Antoine Walker,221,BOS
25,1999-00,NBA,Gary Payton*,177,SEA
26,1998-99,NBA,Dee Brown,135,TOR
27,1997-98,NBA,Wesley Person,192,CLE
28,1996-97,NBA,Reggie Miller*,229,IND
29,1995-96,NBA,Dennis Scott,267,ORL
30,1994-95,NBA,John Starks,217,NYK
31,1993-94,NBA,Dan Majerle,192,PHO
32,1992-93,NBA,Reggie Miller*,167,IND
33,,,Dan Majerle,167,PHO
34,1991-92,NBA,Vernon Maxwell,162,HOU
35,1990-91,NBA,Vernon Maxwell,172,HOU
36,1989-90,NBA,Michael Adams,158,DEN
37,1988-89,NBA,Michael Adams,166,DEN
38,1987-88,NBA,Danny Ainge,148,BOS
39,1986-87,NBA,Larry Bird*,90,BOS
40,1985-86,NBA,Larry Bird*,82,BOS
41,1984-85,NBA,Darrell Griffith,92,UTA
42,1983-84,NBA,Darrell Griffith,91,UTA
43,1982-83,NBA,Mike Dunleavy,67,SAS
44,1981-82,NBA,Don Buse,73,IND
45,1980-81,NBA,Mike Bratz,57,CLE
46,1979-80,NBA,Brian Taylor,90,SDC
47,1975-76,ABA,Bill Keller,123,INA
48,1974-75,ABA,Bill Keller,80,INA
49,1973-74,ABA,Bo Lamar,69,SDA
50,1972-73,ABA,Bill Keller,71,INA
51,1971-72,ABA,Glen Combs,103,UTS
52,1970-71,ABA,George Lehmann,154,CAR
53,1969-70,ABA,Louie Dampier*,198,KEN
54,1968-69,ABA,Louie Dampier*,199,KEN
55,1967-68,ABA,Les Selvage,147,ANA
