,Season,Lg,Player,FGX,Tm
0,2022-23,NBA,Anthony Edwards,834,MIN
1,2021-22,NBA,Jayson Tatum,856,BOS
2,2020-21,NBA,Damian Lillard,732,POR
3,2019-20,NBA,James Harden,842,HOU
4,2018-19,NBA,James Harden,1066,HOU
5,2017-18,NBA,Russell Westbrook,930,OKC
6,2016-17,NBA,Russell Westbrook,1117,OKC
7,2015-16,NBA,James Harden,907,HOU
8,2014-15,NBA,Russell Westbrook,844,OKC
9,2013-14,NBA,Carmelo Anthony,900,NYK
10,2012-13,NBA,Russell Westbrook,862,OKC
11,2011-12,NBA,Kobe Bryant*,762,LAL
12,2010-11,NBA,Kobe Bryant*,899,LAL
13,2009-10,NBA,Kevin Durant,874,OKC
14,2008-09,NBA,Kobe Bryant*,912,LAL
15,2007-08,NBA,Kobe Bryant*,915,LAL
16,2006-07,NBA,Kobe Bryant*,944,LAL
17,2005-06,NBA,Kobe Bryant*,1195,LAL
18,2004-05,NBA,Allen Iverson*,1047,PHI
19,2003-04,NBA,Tracy McGrady*,913,ORL
20,2002-03,NBA,Allen Iverson*,1136,PHI
21,2001-02,NBA,Antoine Walker,1023,BOS
22,2000-01,NBA,Jerry Stackhouse,1153,DET
23,1999-00,NBA,Allen Iverson*,1004,PHI
24,1998-99,NBA,Allen Iverson*,621,PHI
25,1997-98,NBA,Michael Jordan*,1012,CHI
26,1996-97,NBA,Michael Jordan*,972,CHI
27,1995-96,NBA,Michael Jordan*,934,CHI
28,1994-95,NBA,Jamal Mashburn,883,DAL
29,1993-94,NBA,Dominique Wilkins*,890,TOT
30,1992-93,NBA,Michael Jordan*,1011,CHI
31,1991-92,NBA,Michael Jordan*,875,CHI
32,1990-91,NBA,Dominique Wilkins*,870,ATL
33,1989-90,NBA,Michael Jordan*,930,CHI
34,1988-89,NBA,Alex English*,957,DEN
35,1987-88,NBA,Dominique Wilkins*,1048,ATL
36,1986-87,NBA,Michael Jordan*,1181,CHI
37,1985-86,NBA,Dominique Wilkins*,1009,ATL
38,1984-85,NBA,Dominique Wilkins*,1038,ATL
39,1983-84,NBA,Mark Aguirre,840,DAL
40,1982-83,NBA,Alex English*,898,DEN
41,1981-82,NBA,George Gervin*,994,SAS
42,1980-81,NBA,Mike Mitchell,938,CLE
43,1979-80,NBA,Elvin Hayes*,916,WSB
44,,,George Gervin*,916,SAS
45,1978-79,NBA,World B. Free,858,SDC
46,1977-78,NBA,Truck Robinson,935,NOJ
47,1976-77,NBA,Pete Maravich*,1161,NOJ
48,1975-76,NBA,Bob McAdoo*,984,BUF
49,,ABA,Julius Erving*,924,NYA
50,1974-75,NBA,Rick Barry*,1189,GSW
51,,ABA,George McGinnis*,1061,INA
52,1973-74,NBA,Bob Love,1021,CHI
53,,ABA,Bo Lamar,1040,SDA
54,1972-73,NBA,Tiny Archibald*,1078,KCO
55,,ABA,Stew Johnson,979,SDA
56,1971-72,NBA,Elvin Hayes*,1086,HOU
57,,ABA,Charlie Scott*,1207,VIR
58,1970-71,NBA,Elvin Hayes*,1267,SDR
59,,ABA,John Brisker,1074,PTC
60,1969-70,NBA,Elvin Hayes*,1106,SDR
61,,ABA,Louie Dampier*,1121,KEN
62,1968-69,NBA,Elvin Hayes*,1152,SDR
63,,ABA,Louie Dampier*,983,KEN
64,1967-68,NBA,Dave Bing*,1058,DET
65,,ABA,Mel Daniels*,971,MNM
66,1966-67,NBA,Rick Barry*,1229,SFW
67,1965-66,NBA,Guy Rodgers*,985,SFW
68,1964-65,NBA,Elgin Baylor*,1140,LAL
69,1963-64,NBA,Wilt Chamberlain*,1094,SFW
70,1962-63,NBA,Wilt Chamberlain*,1307,SFW
71,1961-62,NBA,Wilt Chamberlain*,1562,PHW
72,1960-61,NBA,Elgin Baylor*,1235,LAL
73,1959-60,NBA,Wilt Chamberlain*,1246,PHW
74,1958-59,NBA,Jack Twyman*,981,CIN
75,1957-58,NBA,George Yardley*,951,DET
76,1956-57,NBA,Bob Pettit*,864,STL
77,1955-56,NBA,Bob Pettit*,861,STL
78,1954-55,NBA,Paul Arizin*,796,PHW
79,1953-54,NBA,Bob Cousy*,776,BOS
80,1952-53,NBA,Bob Cousy*,856,BOS
81,1951-52,NBA,Bob Cousy*,876,BOS
82,1950-51,NBA,Joe Fulks*,929,PHW
83,1949-50,NBA,George Mikan*,946,MNL
84,1948-49,BAA,Joe Fulks*,1160,PHW
85,1947-48,BAA,Joe Fulks*,932,PHW
86,1946-47,BAA,Joe Fulks*,1082,PHW
