,Season,Lg,Player,PTS,Tm
0,2022-23,NBA,Jayson Tatum,2225,BOS
1,2021-22,NBA,Trae Young,2155,ATL
2,2020-21,NBA,Stephen Curry,2015,GSW
3,2019-20,NBA,James Harden,2335,HOU
4,2018-19,NBA,James Harden,2818,HOU
5,2017-18,NBA,LeBron James,2251,CLE
6,2016-17,NBA,Russell Westbrook,2558,OKC
7,2015-16,NBA,James Harden,2376,HOU
8,2014-15,NBA,James Harden,2217,HOU
9,2013-14,NBA,Kevin Durant,2593,OKC
10,2012-13,NBA,Kevin Durant,2280,OKC
11,2011-12,NBA,Kevin Durant,1850,OKC
12,2010-11,NBA,Kevin Durant,2161,OKC
13,2009-10,NBA,Kevin Durant,2472,OKC
14,2008-09,NBA,Dwyane Wade,2386,MIA
15,2007-08,NBA,Kobe Bryant*,2323,LAL
16,2006-07,NBA,Kobe Bryant*,2430,LAL
17,2005-06,NBA,Kobe Bryant*,2832,LAL
18,2004-05,NBA,Allen Iverson*,2302,PHI
19,2003-04,NBA,Kevin Garnett*,1987,MIN
20,2002-03,NBA,Kobe Bryant*,2461,LAL
21,2001-02,NBA,Paul Pierce*,2144,BOS
22,2000-01,NBA,Jerry Stackhouse,2380,DET
23,1999-00,NBA,Shaquille O'Neal*,2344,LAL
24,1998-99,NBA,Shaquille O'Neal*,1289,LAL
25,1997-98,NBA,Michael Jordan*,2357,CHI
26,1996-97,NBA,Michael Jordan*,2431,CHI
27,1995-96,NBA,Michael Jordan*,2491,CHI
28,1994-95,NBA,Shaquille O'Neal*,2315,ORL
29,1993-94,NBA,David Robinson*,2383,SAS
30,1992-93,NBA,Michael Jordan*,2541,CHI
31,1991-92,NBA,Michael Jordan*,2404,CHI
32,1990-91,NBA,Michael Jordan*,2580,CHI
33,1989-90,NBA,Michael Jordan*,2753,CHI
34,1988-89,NBA,Michael Jordan*,2633,CHI
35,1987-88,NBA,Michael Jordan*,2868,CHI
36,1986-87,NBA,Michael Jordan*,3041,CHI
37,1985-86,NBA,Alex English*,2414,DEN
38,1984-85,NBA,Michael Jordan*,2313,CHI
39,1983-84,NBA,Adrian Dantley*,2418,UTA
40,1982-83,NBA,Alex English*,2326,DEN
41,1981-82,NBA,George Gervin*,2551,SAS
42,1980-81,NBA,Adrian Dantley*,2452,UTA
43,1979-80,NBA,George Gervin*,2585,SAS
44,1978-79,NBA,George Gervin*,2365,SAS
45,1977-78,NBA,George Gervin*,2232,SAS
46,1976-77,NBA,Pete Maravich*,2273,NOJ
47,1975-76,NBA,Bob McAdoo*,2427,BUF
48,,ABA,Julius Erving*,2462,NYA
49,1974-75,NBA,Bob McAdoo*,2831,BUF
50,,ABA,George McGinnis*,2353,INA
51,1973-74,NBA,Bob McAdoo*,2261,BUF
52,,ABA,Julius Erving*,2299,NYA
53,1972-73,NBA,Tiny Archibald*,2719,KCO
54,,ABA,Dan Issel*,2292,KEN
55,1971-72,NBA,Kareem Abdul-Jabbar*,2822,MIL
56,,ABA,Dan Issel*,2538,KEN
57,1970-71,NBA,Kareem Abdul-Jabbar*,2596,MIL
58,,ABA,Dan Issel*,2480,KEN
59,1969-70,NBA,Kareem Abdul-Jabbar*,2361,MIL
60,,ABA,Spencer Haywood*,2519,DNR
61,1968-69,NBA,Elvin Hayes*,2327,SDR
62,,ABA,Larry Jones,2133,DNR
63,1967-68,NBA,Dave Bing*,2142,DET
64,,ABA,Doug Moe,1884,NOB
65,1966-67,NBA,Rick Barry*,2775,SFW
66,1965-66,NBA,Wilt Chamberlain*,2649,PHI
67,1964-65,NBA,Wilt Chamberlain*,2534,TOT
68,1963-64,NBA,Wilt Chamberlain*,2948,SFW
69,1962-63,NBA,Wilt Chamberlain*,3586,SFW
70,1961-62,NBA,Wilt Chamberlain*,4029,PHW
71,1960-61,NBA,Wilt Chamberlain*,3033,PHW
72,1959-60,NBA,Wilt Chamberlain*,2707,PHW
73,1958-59,NBA,Bob Pettit*,2105,STL
74,1957-58,NBA,George Yardley*,2001,DET
75,1956-57,NBA,Paul Arizin*,1817,PHW
76,1955-56,NBA,Bob Pettit*,1849,STL
77,1954-55,NBA,Neil Johnston*,1631,PHW
78,1953-54,NBA,Neil Johnston*,1759,PHW
79,1952-53,NBA,Neil Johnston*,1564,PHW
80,1951-52,NBA,Paul Arizin*,1674,PHW
81,1950-51,NBA,George Mikan*,1932,MNL
82,1949-50,NBA,George Mikan*,1865,MNL
83,1948-49,BAA,George Mikan*,1698,MNL
84,1947-48,BAA,Max Zaslofsky,1007,CHS
85,1946-47,BAA,Joe Fulks*,1389,PHW
