,Season,Lg,Player,3PA,Tm
0,2022-23,NBA,Klay Thompson,731,GSW
1,2021-22,NBA,Stephen Curry,750,GSW
2,2020-21,NBA,Stephen Curry,801,GSW
3,2019-20,NBA,James Harden,843,HOU
4,2018-19,NBA,James Harden,1028,HOU
5,2017-18,NBA,James Harden,722,HOU
6,2016-17,NBA,Stephen Curry,789,GSW
7,2015-16,NBA,Stephen Curry,886,GSW
8,2014-15,NBA,Stephen Curry,646,GSW
9,2013-14,NBA,Stephen Curry,615,GSW
10,2012-13,NBA,Stephen Curry,600,GSW
11,2011-12,NBA,Ryan Anderson,422,ORL
12,2010-11,NBA,Dorell Wright,516,GSW
13,2009-10,NBA,Aaron Brooks,525,HOU
14,2008-09,NBA,Rashard Lewis,554,ORL
15,2007-08,NBA,Jason Richardson,599,CHA
16,2006-07,NBA,Gilbert Arenas,584,WAS
17,2005-06,NBA,Ray Allen*,653,SEA
18,2004-05,NBA,Quentin Richardson,631,PHO
19,2003-04,NBA,Baron Davis,582,NOH
20,2002-03,NBA,Antoine Walker,582,BOS
21,2001-02,NBA,Antoine Walker,645,BOS
22,2000-01,NBA,Antoine Walker,603,BOS
23,1999-00,NBA,Gary Payton*,520,SEA
24,1998-99,NBA,Dee Brown,349,TOR
25,1997-98,NBA,Wesley Person,447,CLE
26,1996-97,NBA,Mookie Blaylock,604,ATL
27,1995-96,NBA,George McCloud,678,DAL
28,1994-95,NBA,John Starks,611,NYK
29,1993-94,NBA,Dan Majerle,503,PHO
30,1992-93,NBA,Dan Majerle,438,PHO
31,1991-92,NBA,Vernon Maxwell,473,HOU
32,1990-91,NBA,Michael Adams,564,DEN
33,1989-90,NBA,Michael Adams,432,DEN
34,1988-89,NBA,Michael Adams,466,DEN
35,1987-88,NBA,Michael Adams,379,DEN
36,1986-87,NBA,Dale Ellis,240,SEA
37,1985-86,NBA,Larry Bird*,194,BOS
38,1984-85,NBA,Darrell Griffith,257,UTA
39,1983-84,NBA,Darrell Griffith,252,UTA
40,1982-83,NBA,Mike Dunleavy,194,SAS
41,1981-82,NBA,Joe Hassett,214,GSW
42,1980-81,NBA,Mike Bratz,169,CLE
43,1979-80,NBA,Brian Taylor,239,SDC
44,1975-76,ABA,Bill Keller,349,INA
45,1974-75,ABA,Bill Keller,240,INA
46,1973-74,ABA,Bo Lamar,247,SDA
47,1972-73,ABA,Bill Keller,222,INA
48,1971-72,ABA,Warren Jabali,285,FLO
49,1970-71,ABA,George Lehmann,382,CAR
50,1969-70,ABA,Louie Dampier*,548,KEN
51,1968-69,ABA,Louie Dampier*,552,KEN
52,1967-68,ABA,Les Selvage,461,ANA
