,Season,Lg,Player,PF,Tm
0,2022-23,NBA,Domantas Sabonis,279,SAC
1,2021-22,NBA,Jae'Sean Tate,286,HOU
2,2020-21,NBA,Dillon Brooks,237,MEM
3,2019-20,NBA,Dillon Brooks,278,MEM
4,2018-19,NBA,Karl-Anthony Towns,292,MIN
5,2017-18,NBA,Karl-Anthony Towns,285,MIN
6,2016-17,NBA,DeMarcus Cousins,278,TOT
7,2015-16,NBA,Giannis Antetokounmpo,258,MIL
8,2014-15,NBA,Andre Drummond,285,DET
9,2013-14,NBA,Andre Drummond,273,DET
10,2012-13,NBA,Amir Johnson,301,TOR
11,2011-12,NBA,DeMarcus Cousins,257,SAC
12,2010-11,NBA,DeMarcus Cousins,332,SAC
13,2009-10,NBA,Dwight Howard,287,ORL
14,2008-09,NBA,Jason Thompson,314,SAC
15,2007-08,NBA,Mikki Moore,310,SAC
16,2006-07,NBA,Andris Biedriņš,304,GSW
17,2005-06,NBA,Al Harrington,301,ATL
18,2004-05,NBA,Jason Collins,322,NJN
19,2003-04,NBA,Theo Ratliff,300,TOT
20,2002-03,NBA,Kurt Thomas,344,NYK
21,2001-02,NBA,Kurt Thomas,341,NYK
22,2000-01,NBA,Aaron Williams,319,NJN
23,1999-00,NBA,Shawn Kemp,371,CLE
24,1998-99,NBA,Danny Fortson,212,DEN
25,1997-98,NBA,Ervin Johnson,321,MIL
26,1996-97,NBA,Shawn Kemp,320,SEA
27,1995-96,NBA,Otis Thorpe,300,DET
28,,,Elden Campbell,300,LAL
29,1994-95,NBA,Shawn Bradley,338,PHI
30,1993-94,NBA,Shawn Kemp,312,SEA
31,1992-93,NBA,Stanley Roberts,332,LAC
32,1991-92,NBA,Tyrone Hill,315,GSW
33,1990-91,NBA,Sam Mitchell,338,MIN
34,1989-90,NBA,Rik Smits,328,IND
35,1988-89,NBA,Grant Long,337,MIA
36,1987-88,NBA,Patrick Ewing*,332,NYK
37,1986-87,NBA,Steve Johnson,340,POR
38,1985-86,NBA,Charles Barkley*,333,PHI
39,1984-85,NBA,Hakeem Olajuwon*,344,HOU
40,1983-84,NBA,Darryl Dawkins,386,NJN
41,1982-83,NBA,Darryl Dawkins,379,NJN
42,1981-82,NBA,Steve Johnson,372,KCK
43,1980-81,NBA,Ben Poquette,342,UTA
44,1979-80,NBA,Darryl Dawkins,328,PHI
45,1978-79,NBA,Bill Robinzine,367,KCK
46,1977-78,NBA,Lonnie Shelton,350,NYK
47,1976-77,NBA,Lonnie Shelton,363,NYK
48,1975-76,NBA,Charlie Scott*,356,BOS
49,,ABA,Artis Gilmore*,341,KEN
50,1974-75,NBA,Phil Jackson*,330,NYK
51,,,Bob Dandridge*,330,MIL
52,,ABA,Wil Jones,353,KEN
53,1973-74,NBA,Kevin Porter,319,CAP
54,,ABA,Jim Chones,347,CAR
55,1972-73,NBA,Neal Walk,323,PHO
56,,ABA,Gene Moore,369,SDA
57,1971-72,NBA,Dave Cowens*,314,BOS
58,,ABA,Wendell Ladner,347,TOT
59,1970-71,NBA,Dave Cowens*,350,BOS
60,,ABA,Wendell Ladner,334,MMP
61,1969-70,NBA,Jim Davis,335,ATL
62,,ABA,Gene Moore,382,KEN
63,1968-69,NBA,Billy Cunningham*,329,PHI
64,,ABA,John Smith,328,DLC
65,1967-68,NBA,Bill Bridges,366,STL
66,,ABA,Dan Anderson,329,NJA
67,1966-67,NBA,Joe Strawder,344,DET
68,1965-66,NBA,Zelmo Beaty*,344,STL
69,1964-65,NBA,Bailey Howell*,345,BAL
70,1963-64,NBA,Wayne Embry*,325,CIN
71,1962-63,NBA,Zelmo Beaty*,312,STL
72,1961-62,NBA,Tom Meschery,330,PHW
73,1960-61,NBA,Paul Arizin*,335,PHW
74,1959-60,NBA,Tom Gola*,311,PHW
75,1958-59,NBA,Walter Dukes,332,DET
76,1957-58,NBA,Walter Dukes,311,DET
77,1956-57,NBA,Vern Mikkelsen*,312,MNL
78,1955-56,NBA,Vern Mikkelsen*,319,MNL
79,1954-55,NBA,Vern Mikkelsen*,319,MNL
80,1953-54,NBA,Earl Lloyd*,303,SYR
81,1952-53,NBA,Monk Meineke,334,FTW
82,1951-52,NBA,George Mikan*,286,MNL
83,1950-51,NBA,George Mikan*,308,MNL
84,1949-50,NBA,George Mikan*,297,MNL
85,1948-49,BAA,Ed Sadowski,273,PHW
86,1947-48,BAA,Chuck Gilmur,231,CHS
87,1946-47,BAA,Stan Miasek,208,DTF
