,Season,Lg,Player,FGA,Tm
0,2022-23,NBA,Jayson Tatum,1559,BOS
1,2021-22,NBA,Jayson Tatum,1564,BOS
2,2020-21,NBA,Nikola Vučević,1396,TOT
3,2019-20,NBA,James Harden,1514,HOU
4,2018-19,NBA,James Harden,1909,HOU
5,2017-18,NBA,Russell Westbrook,1687,OKC
6,2016-17,NBA,Russell Westbrook,1941,OKC
7,2015-16,NBA,James Harden,1617,HOU
8,2014-15,NBA,Russell Westbrook,1471,OKC
9,2013-14,NBA,Kevin Durant,1688,OKC
10,2012-13,NBA,Kobe Bryant*,1595,LAL
11,2011-12,NBA,Kobe Bryant*,1336,LAL
12,2010-11,NBA,Kobe Bryant*,1639,LAL
13,2009-10,NBA,Kevin Durant,1668,OKC
14,2008-09,NBA,Dwyane Wade,1739,MIA
15,2007-08,NBA,Kobe Bryant*,1690,LAL
16,2006-07,NBA,Kobe Bryant*,1757,LAL
17,2005-06,NBA,Kobe Bryant*,2173,LAL
18,2004-05,NBA,Allen Iverson*,1818,PHI
19,2003-04,NBA,Kevin Garnett*,1611,MIN
20,2002-03,NBA,Allen Iverson*,1940,PHI
21,2001-02,NBA,Antoine Walker,1689,BOS
22,2000-01,NBA,Jerry Stackhouse,1927,DET
23,1999-00,NBA,Allen Iverson*,1733,PHI
24,1998-99,NBA,Allen Iverson*,1056,PHI
25,1997-98,NBA,Michael Jordan*,1893,CHI
26,1996-97,NBA,Michael Jordan*,1892,CHI
27,1995-96,NBA,Michael Jordan*,1850,CHI
28,1994-95,NBA,Shaquille O'Neal*,1594,ORL
29,1993-94,NBA,Hakeem Olajuwon*,1694,HOU
30,1992-93,NBA,Michael Jordan*,2003,CHI
31,1991-92,NBA,Michael Jordan*,1818,CHI
32,1990-91,NBA,Michael Jordan*,1837,CHI
33,1989-90,NBA,Michael Jordan*,1964,CHI
34,1988-89,NBA,Alex English*,1881,DEN
35,1987-88,NBA,Michael Jordan*,1998,CHI
36,1986-87,NBA,Michael Jordan*,2279,CHI
37,1985-86,NBA,Dominique Wilkins*,1897,ATL
38,1984-85,NBA,Dominique Wilkins*,1891,ATL
39,1983-84,NBA,Mark Aguirre,1765,DAL
40,1982-83,NBA,Alex English*,1857,DEN
41,1981-82,NBA,George Gervin*,1987,SAS
42,1980-81,NBA,Mike Mitchell,1791,CLE
43,1979-80,NBA,George Gervin*,1940,SAS
44,1978-79,NBA,George Gervin*,1749,SAS
45,1977-78,NBA,Calvin Murphy*,1737,HOU
46,1976-77,NBA,Pete Maravich*,2047,NOJ
47,1975-76,NBA,Bob McAdoo*,1918,BUF
48,,ABA,Julius Erving*,1873,NYA
49,1974-75,NBA,Rick Barry*,2217,GSW
50,,ABA,George McGinnis*,1934,INA
51,1973-74,NBA,Pete Maravich*,1791,ATL
52,,ABA,Julius Erving*,1785,NYA
53,1972-73,NBA,Tiny Archibald*,2106,KCO
54,,ABA,Julius Erving*,1804,VIR
55,1971-72,NBA,Kareem Abdul-Jabbar*,2019,MIL
56,,ABA,Charlie Scott*,2192,VIR
57,1970-71,NBA,Elvin Hayes*,2215,SDR
58,,ABA,John Brisker,1972,PTC
59,1969-70,NBA,Elvin Hayes*,2020,SDR
60,,ABA,Spencer Haywood*,1998,DNR
61,1968-69,NBA,Elvin Hayes*,2082,SDR
62,,ABA,Louie Dampier*,1696,KEN
63,1967-68,NBA,Dave Bing*,1893,DET
64,,ABA,Mel Daniels*,1640,MNM
65,1966-67,NBA,Rick Barry*,2240,SFW
66,1965-66,NBA,Wilt Chamberlain*,1990,PHI
67,1964-65,NBA,Wilt Chamberlain*,2083,TOT
68,1963-64,NBA,Wilt Chamberlain*,2298,SFW
69,1962-63,NBA,Wilt Chamberlain*,2770,SFW
70,1961-62,NBA,Wilt Chamberlain*,3159,PHW
71,1960-61,NBA,Wilt Chamberlain*,2457,PHW
72,1959-60,NBA,Wilt Chamberlain*,2311,PHW
73,1958-59,NBA,Jack Twyman*,1691,CIN
74,1957-58,NBA,George Yardley*,1624,DET
75,1956-57,NBA,Bob Pettit*,1477,STL
76,1955-56,NBA,Bob Pettit*,1507,STL
77,1954-55,NBA,Paul Arizin*,1325,PHW
78,1953-54,NBA,Neil Johnston*,1317,PHW
79,1952-53,NBA,Bob Cousy*,1320,BOS
80,1951-52,NBA,George Mikan*,1414,MNL
81,1950-51,NBA,George Mikan*,1584,MNL
82,1949-50,NBA,George Mikan*,1595,MNL
83,1948-49,BAA,Joe Fulks*,1689,PHW
84,1947-48,BAA,Joe Fulks*,1258,PHW
85,1946-47,BAA,Joe Fulks*,1557,PHW
