,Season,Lg,Player,Trp-Dbl,Tm
0,2022-23,NBA,Nikola Jokić,29,DEN
1,2021-22,NBA,Nikola Jokić,19,DEN
2,2020-21,NBA,Russell Westbrook,38,WAS
3,2019-20,NBA,Luka Dončić,17,DAL
4,2018-19,NBA,Russell Westbrook,34,OKC
5,2017-18,NBA,Russell Westbrook,25,OKC
6,2016-17,NBA,Russell Westbrook,42,OKC
7,2015-16,NBA,Russell Westbrook,18,OKC
8,2014-15,NBA,Russell Westbrook,11,OKC
9,2013-14,NBA,Lance Stephenson,5,IND
10,2012-13,NBA,Rajon Rondo,5,BOS
11,2011-12,NBA,Rajon Rondo,6,BOS
12,2010-11,NBA,LeBron James,4,MIA
13,2009-10,NBA,LeBron James,4,CLE
14,2008-09,NBA,LeBron James,7,CLE
15,2007-08,NBA,Jason Kidd*,13,TOT
16,2006-07,NBA,Jason Kidd*,12,NJN
17,2005-06,NBA,Jason Kidd*,8,NJN
18,2004-05,NBA,Jason Kidd*,8,NJN
19,2003-04,NBA,Jason Kidd*,9,NJN
20,2002-03,NBA,Kevin Garnett*,6,MIN
21,2001-02,NBA,Jason Kidd*,8,NJN
22,2000-01,NBA,Jason Kidd*,7,PHO
23,1999-00,NBA,Chris Webber*,5,SAC
24,,,Jason Kidd*,5,PHO
25,1998-99,NBA,Jason Kidd*,7,PHO
26,1997-98,NBA,Jason Kidd*,4,PHO
27,,,Grant Hill*,4,DET
28,1996-97,NBA,Grant Hill*,13,DET
29,1995-96,NBA,Grant Hill*,10,DET
30,1994-95,NBA,Jason Kidd*,4,DAL
31,1993-94,NBA,David Robinson*,5,SAS
32,1992-93,NBA,Charles Barkley*,6,PHO
33,1991-92,NBA,David Robinson*,2,SAS
34,,,Scottie Pippen*,2,CHI
35,,,Gary Payton*,2,SEA
36,,,Michael Jordan*,2,CHI
37,1990-91,NBA,Magic Johnson*,13,LAL
38,1989-90,NBA,Magic Johnson*,11,LAL
39,1988-89,NBA,Magic Johnson*,17,LAL
40,1987-88,NBA,Magic Johnson*,12,LAL
41,1986-87,NBA,Fat Lever,16,DEN
42,1985-86,NBA,Larry Bird*,10,BOS
43,1984-85,NBA,Magic Johnson*,11,LAL
44,1983-84,NBA,Magic Johnson*,12,LAL
45,1982-83,NBA,Magic Johnson*,16,LAL
46,1981-82,NBA,Magic Johnson*,18,LAL
47,1980-81,NBA,Magic Johnson*,6,LAL
48,1979-80,NBA,Micheal Ray Richardson,7,NYK
49,,,Magic Johnson*,7,LAL
50,1978-79,NBA,Mickey Johnson,4,CHI
51,1977-78,NBA,Dave Cowens*,2,BOS
52,,,Bill Walton*,2,POR
53,1976-77,NBA,Alvan Adams,3,PHO
54,1975-76,NBA,George McGinnis*,5,PHI
55,,,Alvan Adams,5,PHO
56,,,Kareem Abdul-Jabbar*,5,LAL
57,1974-75,NBA,Pete Maravich*,5,NOJ
58,1973-74,NBA,Elmore Smith,6,LAL
59,1972-73,NBA,Sidney Wicks,4,POR
60,,,Jerry Lucas*,4,NYK
61,,,Bob Kauffman,4,BUF
62,1971-72,NBA,John Havlicek*,8,BOS
63,1970-71,NBA,Norm Van Lier,12,CIN
64,1969-70,NBA,John Havlicek*,8,BOS
65,1968-69,NBA,Walt Frazier*,8,NYK
66,1967-68,NBA,Wilt Chamberlain*,31,PHI
67,1966-67,NBA,Wilt Chamberlain*,22,PHI
68,1965-66,NBA,Oscar Robertson*,13,CIN
69,1964-65,NBA,Oscar Robertson*,22,CIN
70,1963-64,NBA,Oscar Robertson*,26,CIN
71,1962-63,NBA,Oscar Robertson*,20,CIN
72,1961-62,NBA,Oscar Robertson*,41,CIN
73,1960-61,NBA,Oscar Robertson*,26,CIN
74,1959-60,NBA,Tom Gola*,9,PHW
75,1958-59,NBA,Bob Cousy*,3,BOS
76,,,Guy Rodgers*,3,PHW
77,1957-58,NBA,Maurice Stokes*,9,CIN
78,1956-57,NBA,Maurice Stokes*,2,ROC
79,1955-56,NBA,Bob Cousy*,8,BOS
80,1954-55,NBA,Bob Cousy*,3,BOS
81,1953-54,NBA,Bob Cousy*,2,BOS
82,1952-53,NBA,Bob Cousy*,5,BOS
83,1951-52,NBA,Andy Phillip*,4,PHW
84,1950-51,NBA,Andy Phillip*,5,PHW
