,Season,Lg,Player,AST,Tm
0,2022-23,NBA,Trae Young,741,ATL
1,2021-22,NBA,Trae Young,737,ATL
2,2020-21,NBA,Russell Westbrook,763,WAS
3,2019-20,NBA,LeBron James,684,LAL
4,2018-19,NBA,Russell Westbrook,784,OKC
5,2017-18,NBA,Russell Westbrook,820,OKC
6,2016-17,NBA,James Harden,907,HOU
7,2015-16,NBA,Rajon Rondo,839,SAC
8,2014-15,NBA,Chris Paul,838,LAC
9,2013-14,NBA,John Wall,721,WAS
10,2012-13,NBA,Greivis Vásquez,704,NOH
11,2011-12,NBA,Steve Nash*,664,PHO
12,2010-11,NBA,Steve Nash*,855,PHO
13,2009-10,NBA,Steve Nash*,892,PHO
14,2008-09,NBA,Chris Paul,861,NOH
15,2007-08,NBA,Chris Paul,925,NOH
16,2006-07,NBA,Steve Nash*,884,PHO
17,2005-06,NBA,Steve Nash*,826,PHO
18,2004-05,NBA,Steve Nash*,861,PHO
19,2003-04,NBA,Stephon Marbury,719,TOT
20,2002-03,NBA,Jason Kidd*,711,NJN
21,2001-02,NBA,Andre Miller,882,CLE
22,2000-01,NBA,Jason Kidd*,753,PHO
23,1999-00,NBA,Gary Payton*,732,SEA
24,1998-99,NBA,Jason Kidd*,539,PHO
25,1997-98,NBA,Rod Strickland,801,WAS
26,1996-97,NBA,Mark Jackson,935,TOT
27,1995-96,NBA,John Stockton*,916,UTA
28,1994-95,NBA,John Stockton*,1011,UTA
29,1993-94,NBA,John Stockton*,1031,UTA
30,1992-93,NBA,John Stockton*,987,UTA
31,1991-92,NBA,John Stockton*,1126,UTA
32,1990-91,NBA,John Stockton*,1164,UTA
33,1989-90,NBA,John Stockton*,1134,UTA
34,1988-89,NBA,John Stockton*,1118,UTA
35,1987-88,NBA,John Stockton*,1128,UTA
36,1986-87,NBA,Magic Johnson*,977,LAL
37,1985-86,NBA,Magic Johnson*,907,LAL
38,1984-85,NBA,Isiah Thomas*,1123,DET
39,1983-84,NBA,Isiah Thomas*,914,DET
40,,,Norm Nixon,914,SDC
41,1982-83,NBA,Magic Johnson*,829,LAL
42,1981-82,NBA,Johnny Moore,762,SAS
43,1980-81,NBA,Kevin Porter,734,WSB
44,1979-80,NBA,Micheal Ray Richardson,832,NYK
45,1978-79,NBA,Kevin Porter,1099,DET
46,1977-78,NBA,Kevin Porter,837,TOT
47,1976-77,NBA,Don Buse,685,IND
48,1975-76,NBA,Slick Watts,661,SEA
49,,ABA,Don Buse,689,INA
50,1974-75,NBA,Kevin Porter,650,WSB
51,,ABA,Chuck Williams,576,MMS
52,1973-74,NBA,Ernie DiGregorio,663,BUF
53,,ABA,Al Smith,619,DNR
54,1972-73,NBA,Tiny Archibald*,910,KCO
55,,ABA,Chuck Williams,582,SDA
56,1971-72,NBA,Lenny Wilkens*,766,SEA
57,,ABA,Bill Melchionni,669,NYA
58,1970-71,NBA,Norm Van Lier,832,CIN
59,,ABA,Bill Melchionni,672,NYA
60,1969-70,NBA,Lenny Wilkens*,683,SEA
61,,ABA,Larry Brown*,580,WSA
62,1968-69,NBA,Oscar Robertson*,772,CIN
63,,ABA,Larry Brown*,544,OAK
64,1967-68,NBA,Wilt Chamberlain*,702,PHI
65,,ABA,Larry Brown*,506,NOB
66,1966-67,NBA,Guy Rodgers*,908,CHI
67,1965-66,NBA,Oscar Robertson*,847,CIN
68,1964-65,NBA,Oscar Robertson*,861,CIN
69,1963-64,NBA,Oscar Robertson*,868,CIN
70,1962-63,NBA,Guy Rodgers*,825,SFW
71,1961-62,NBA,Oscar Robertson*,899,CIN
72,1960-61,NBA,Oscar Robertson*,690,CIN
73,1959-60,NBA,Bob Cousy*,715,BOS
74,1958-59,NBA,Bob Cousy*,557,BOS
75,1957-58,NBA,Bob Cousy*,463,BOS
76,1956-57,NBA,Bob Cousy*,478,BOS
77,1955-56,NBA,Bob Cousy*,642,BOS
78,1954-55,NBA,Bob Cousy*,557,BOS
79,1953-54,NBA,Bob Cousy*,518,BOS
80,1952-53,NBA,Bob Cousy*,547,BOS
81,1951-52,NBA,Andy Phillip*,539,PHW
82,1950-51,NBA,Andy Phillip*,414,PHW
83,1949-50,NBA,Dick McGuire*,386,NYK
84,1948-49,BAA,Bob Davies*,321,ROC
85,1947-48,BAA,Howie Dallmar,120,PHW
86,1946-47,BAA,Ernie Calverley,202,PRO
