,Season,Lg,Player,ORB,Tm
0,2022-23,NBA,Kevon Looney,274,GSW
1,2021-22,NBA,Steven Adams,349,MEM
2,2020-21,NBA,Clint Capela,297,ATL
3,2019-20,NBA,Hassan Whiteside,258,POR
4,2018-19,NBA,Andre Drummond,423,DET
5,2017-18,NBA,Andre Drummond,399,DET
6,2016-17,NBA,Andre Drummond,345,DET
7,2015-16,NBA,Andre Drummond,395,DET
8,2014-15,NBA,Andre Drummond,437,DET
9,2013-14,NBA,Andre Drummond,440,DET
10,2012-13,NBA,Zach Randolph,310,MEM
11,2011-12,NBA,DeMarcus Cousins,265,SAC
12,2010-11,NBA,Kevin Love,330,MIN
13,2009-10,NBA,Zach Randolph,330,MEM
14,2008-09,NBA,Dwight Howard,336,ORL
15,2007-08,NBA,Tyson Chandler,322,NOH
16,2006-07,NBA,Tyson Chandler,320,NOK
17,2005-06,NBA,Ben Wallace*,301,DET
18,2004-05,NBA,Zydrunas Ilgauskas,299,CLE
19,2003-04,NBA,Erick Dampier,344,GSW
20,2002-03,NBA,Ben Wallace*,293,DET
21,2001-02,NBA,Elton Brand,396,LAC
22,2000-01,NBA,Dikembe Mutombo*,307,TOT
23,1999-00,NBA,Elton Brand,348,CHI
24,1998-99,NBA,Danny Fortson,210,DEN
25,1997-98,NBA,Jayson Williams,443,NJN
26,1996-97,NBA,Dennis Rodman*,320,CHI
27,1995-96,NBA,Dennis Rodman*,356,CHI
28,1994-95,NBA,Popeye Jones,329,DAL
29,1993-94,NBA,Dennis Rodman*,453,SAS
30,1992-93,NBA,Dennis Rodman*,367,DET
31,1991-92,NBA,Dennis Rodman*,523,DET
32,1990-91,NBA,Dennis Rodman*,361,DET
33,1989-90,NBA,Moses Malone*,364,ATL
34,1988-89,NBA,Charles Barkley*,403,PHI
35,1987-88,NBA,Charles Barkley*,385,PHI
36,1986-87,NBA,Charles Barkley*,390,PHI
37,1985-86,NBA,Larry Smith,384,GSW
38,1984-85,NBA,Hakeem Olajuwon*,440,HOU
39,1983-84,NBA,Buck Williams,355,NJN
40,1982-83,NBA,Moses Malone*,445,PHI
41,1981-82,NBA,Moses Malone*,558,HOU
42,1980-81,NBA,Moses Malone*,474,HOU
43,1979-80,NBA,Moses Malone*,573,HOU
44,1978-79,NBA,Moses Malone*,587,HOU
45,1977-78,NBA,Moses Malone*,380,HOU
46,1976-77,NBA,Moses Malone*,437,TOT
47,1975-76,NBA,Paul Silas,365,BOS
48,,ABA,Artis Gilmore*,402,KEN
49,1974-75,NBA,John Drew,357,ATL
50,,ABA,Moses Malone*,455,UTS
51,1973-74,NBA,Elvin Hayes*,354,CAP
52,,ABA,Artis Gilmore*,478,KEN
53,1972-73,ABA,Artis Gilmore*,449,KEN
54,1971-72,ABA,Julius Erving*,476,VIR
55,1970-71,ABA,Mike Lewis,435,PTC
56,1969-70,ABA,Spencer Haywood*,533,DNR
57,1968-69,ABA,Skip Thoren,391,MMF
58,1967-68,ABA,Mel Daniels*,502,MNM
