,Season,Lg,Player,BLK,Tm
0,2022-23,NBA,Brook Lopez,193,MIL
1,2021-22,NBA,Jaren Jackson Jr.,177,MEM
2,2020-21,NBA,Rudy Gobert,190,UTA
3,2019-20,NBA,Hassan Whiteside,196,POR
4,2018-19,NBA,Myles Turner,199,IND
5,2017-18,NBA,Anthony Davis,193,NOP
6,2016-17,NBA,Rudy Gobert,214,UTA
7,2015-16,NBA,Hassan Whiteside,269,MIA
8,2014-15,NBA,Anthony Davis,200,NOP
9,2013-14,NBA,Serge Ibaka,219,OKC
10,2012-13,NBA,Serge Ibaka,242,OKC
11,2011-12,NBA,Serge Ibaka,241,OKC
12,2010-11,NBA,Serge Ibaka,198,OKC
13,2009-10,NBA,Dwight Howard,228,ORL
14,2008-09,NBA,Dwight Howard,231,ORL
15,2007-08,NBA,Marcus Camby,285,DEN
16,2006-07,NBA,Marcus Camby,231,DEN
17,2005-06,NBA,Andrei Kirilenko,220,UTA
18,2004-05,NBA,Marcus Camby,199,DEN
19,2003-04,NBA,Theo Ratliff,307,TOT
20,2002-03,NBA,Theo Ratliff,262,ATL
21,2001-02,NBA,Ben Wallace*,278,DET
22,2000-01,NBA,Jermaine O'Neal,228,IND
23,,,Shawn Bradley,228,DAL
24,1999-00,NBA,Alonzo Mourning*,294,MIA
25,1998-99,NBA,Alonzo Mourning*,180,MIA
26,1997-98,NBA,Dikembe Mutombo*,277,ATL
27,1996-97,NBA,Dikembe Mutombo*,264,ATL
28,1995-96,NBA,Dikembe Mutombo*,332,DEN
29,1994-95,NBA,Dikembe Mutombo*,321,DEN
30,1993-94,NBA,Dikembe Mutombo*,336,DEN
31,1992-93,NBA,Hakeem Olajuwon*,342,HOU
32,1991-92,NBA,David Robinson*,305,SAS
33,1990-91,NBA,David Robinson*,320,SAS
34,1989-90,NBA,Hakeem Olajuwon*,376,HOU
35,1988-89,NBA,Manute Bol,345,GSW
36,1987-88,NBA,Mark Eaton,304,UTA
37,1986-87,NBA,Mark Eaton,321,UTA
38,1985-86,NBA,Manute Bol,397,WSB
39,1984-85,NBA,Mark Eaton,456,UTA
40,1983-84,NBA,Mark Eaton,351,UTA
41,1982-83,NBA,Tree Rollins,343,ATL
42,1981-82,NBA,George Johnson,234,SAS
43,1980-81,NBA,George Johnson,278,SAS
44,1979-80,NBA,Kareem Abdul-Jabbar*,280,LAL
45,1978-79,NBA,Kareem Abdul-Jabbar*,316,LAL
46,1977-78,NBA,George Johnson,274,NJN
47,1976-77,NBA,Kareem Abdul-Jabbar*,261,LAL
48,1975-76,NBA,Kareem Abdul-Jabbar*,338,LAL
49,,ABA,Billy Paultz,253,SAA
50,1974-75,NBA,Elmore Smith,216,LAL
51,,ABA,Artis Gilmore*,258,KEN
52,1973-74,NBA,Elmore Smith,393,LAL
53,,ABA,Caldwell Jones,316,SDA
54,1972-73,ABA,Artis Gilmore*,259,KEN
55,1971-72,ABA,Artis Gilmore*,422,KEN
