,Season,Lg,Player,2P,Tm
0,2022-23,NBA,Joel Embiid,662,PHI
1,2021-22,NBA,DeMar DeRozan,724,CHI
2,2020-21,NBA,Nikola Jokić,640,DEN
3,2019-20,NBA,Giannis Antetokounmpo,596,MIL
4,2018-19,NBA,LaMarcus Aldridge,674,SAS
5,2017-18,NBA,Anthony Davis,725,NOP
6,2016-17,NBA,Anthony Davis,730,NOP
7,2015-16,NBA,LeBron James,650,CLE
8,2014-15,NBA,Anthony Davis,641,NOP
9,2013-14,NBA,Blake Griffin,706,LAC
10,2012-13,NBA,LeBron James,662,MIA
11,2011-12,NBA,LeBron James,567,MIA
12,2010-11,NBA,Amar'e Stoudemire,734,NYK
13,2009-10,NBA,Amar'e Stoudemire,703,PHO
14,2008-09,NBA,Dwyane Wade,766,MIA
15,2007-08,NBA,Al Jefferson,721,MIN
16,2006-07,NBA,Kobe Bryant*,676,LAL
17,2005-06,NBA,Kobe Bryant*,798,LAL
18,2004-05,NBA,Amar'e Stoudemire,744,PHO
19,2003-04,NBA,Kevin Garnett*,793,MIN
20,2002-03,NBA,Kobe Bryant*,744,LAL
21,2001-02,NBA,Tim Duncan*,763,SAS
22,2000-01,NBA,Shaquille O'Neal*,813,LAL
23,1999-00,NBA,Shaquille O'Neal*,956,LAL
24,1998-99,NBA,Shaquille O'Neal*,510,LAL
25,1997-98,NBA,Michael Jordan*,851,CHI
26,1996-97,NBA,Karl Malone*,864,UTA
27,1995-96,NBA,Michael Jordan*,805,CHI
28,1994-95,NBA,Shaquille O'Neal*,930,ORL
29,1993-94,NBA,Shaquille O'Neal*,953,ORL
30,1992-93,NBA,Michael Jordan*,911,CHI
31,1991-92,NBA,Michael Jordan*,916,CHI
32,1990-91,NBA,Michael Jordan*,961,CHI
33,1989-90,NBA,Michael Jordan*,942,CHI
34,1988-89,NBA,Michael Jordan*,939,CHI
35,1987-88,NBA,Michael Jordan*,1062,CHI
36,1986-87,NBA,Michael Jordan*,1086,CHI
37,1985-86,NBA,Alex English*,950,DEN
38,1984-85,NBA,Alex English*,938,DEN
39,1983-84,NBA,Mark Aguirre,910,DAL
40,1982-83,NBA,Alex English*,957,DEN
41,1981-82,NBA,George Gervin*,983,SAS
42,1980-81,NBA,Adrian Dantley*,907,UTA
43,1979-80,NBA,George Gervin*,992,SAS
44,1978-79,NBA,George Gervin*,947,SAS
45,1977-78,NBA,George Gervin*,864,SAS
46,1976-77,NBA,Kareem Abdul-Jabbar*,888,LAL
47,1975-76,NBA,Bob McAdoo*,934,BUF
48,,ABA,Julius Erving*,915,NYA
49,1974-75,NBA,Bob McAdoo*,1095,BUF
50,,ABA,Julius Erving*,885,NYA
51,1973-74,NBA,Kareem Abdul-Jabbar*,948,MIL
52,,ABA,Julius Erving*,897,NYA
53,1972-73,NBA,Tiny Archibald*,1028,KCO
54,,ABA,Dan Issel*,899,KEN
55,1971-72,NBA,Kareem Abdul-Jabbar*,1159,MIL
56,,ABA,Dan Issel*,969,KEN
57,1970-71,NBA,Kareem Abdul-Jabbar*,1063,MIL
58,,ABA,Dan Issel*,938,KEN
59,1969-70,NBA,Kareem Abdul-Jabbar*,938,MIL
60,,ABA,Spencer Haywood*,986,DNR
61,1968-69,NBA,Elvin Hayes*,930,SDR
62,,ABA,Jimmy Jones,763,NOB
63,1967-68,NBA,Dave Bing*,835,DET
64,,ABA,Mel Daniels*,668,MNM
65,1966-67,NBA,Rick Barry*,1011,SFW
66,1965-66,NBA,Wilt Chamberlain*,1074,PHI
67,1964-65,NBA,Wilt Chamberlain*,1063,TOT
68,1963-64,NBA,Wilt Chamberlain*,1204,SFW
69,1962-63,NBA,Wilt Chamberlain*,1463,SFW
70,1961-62,NBA,Wilt Chamberlain*,1597,PHW
71,1960-61,NBA,Wilt Chamberlain*,1251,PHW
72,1959-60,NBA,Wilt Chamberlain*,1065,PHW
73,1958-59,NBA,Bob Pettit*,719,STL
74,1957-58,NBA,Clyde Lovellette*,679,CIN
75,1956-57,NBA,Paul Arizin*,613,PHW
76,,,Bob Pettit*,613,STL
77,1955-56,NBA,Bob Pettit*,646,STL
78,1954-55,NBA,Paul Arizin*,529,PHW
79,1953-54,NBA,Neil Johnston*,591,PHW
80,1952-53,NBA,Neil Johnston*,504,PHW
81,1951-52,NBA,Paul Arizin*,548,PHW
82,1950-51,NBA,George Mikan*,678,MNL
83,1949-50,NBA,George Mikan*,649,MNL
84,1948-49,BAA,George Mikan*,583,MNL
85,1947-48,BAA,Max Zaslofsky,373,CHS
86,1946-47,BAA,Joe Fulks*,475,PHW
