,Season,Lg,Player,FT,Tm
0,2022-23,NBA,Shai Gilgeous-Alexander,669,OKC
1,2021-22,NBA,Joel Embiid,654,PHI
2,2020-21,NBA,Trae Young,484,ATL
3,2019-20,NBA,James Harden,692,HOU
4,2018-19,NBA,James Harden,754,HOU
5,2017-18,NBA,James Harden,624,HOU
6,2016-17,NBA,James Harden,746,HOU
7,2015-16,NBA,James Harden,720,HOU
8,2014-15,NBA,James Harden,715,HOU
9,2013-14,NBA,Kevin Durant,703,OKC
10,2012-13,NBA,Kevin Durant,679,OKC
11,2011-12,NBA,Kevin Durant,431,OKC
12,2010-11,NBA,Kevin Martin,594,HOU
13,,,Kevin Durant,594,OKC
14,2009-10,NBA,Kevin Durant,756,OKC
15,2008-09,NBA,LeBron James,594,CLE
16,2007-08,NBA,Allen Iverson*,645,DEN
17,2006-07,NBA,Kobe Bryant*,667,LAL
18,2005-06,NBA,Kobe Bryant*,696,LAL
19,2004-05,NBA,Allen Iverson*,656,PHI
20,2003-04,NBA,Corey Maggette,526,LAC
21,2002-03,NBA,Paul Pierce*,604,BOS
22,2001-02,NBA,Tim Duncan*,560,SAS
23,2000-01,NBA,Jerry Stackhouse,666,DET
24,1999-00,NBA,Jerry Stackhouse,618,DET
25,1998-99,NBA,Karl Malone*,378,UTA
26,1997-98,NBA,Karl Malone*,628,UTA
27,1996-97,NBA,Karl Malone*,521,UTA
28,1995-96,NBA,David Robinson*,626,SAS
29,1994-95,NBA,David Robinson*,656,SAS
30,1993-94,NBA,David Robinson*,693,SAS
31,1992-93,NBA,Karl Malone*,619,UTA
32,1991-92,NBA,Karl Malone*,673,UTA
33,1990-91,NBA,Karl Malone*,684,UTA
34,1989-90,NBA,Karl Malone*,696,UTA
35,1988-89,NBA,Karl Malone*,703,UTA
36,1987-88,NBA,Michael Jordan*,723,CHI
37,1986-87,NBA,Michael Jordan*,833,CHI
38,1985-86,NBA,Adrian Dantley*,630,UTA
39,1984-85,NBA,Moses Malone*,737,PHI
40,1983-84,NBA,Adrian Dantley*,813,UTA
41,1982-83,NBA,Moses Malone*,600,PHI
42,1981-82,NBA,Adrian Dantley*,648,UTA
43,1980-81,NBA,Adrian Dantley*,632,UTA
44,1979-80,NBA,World B. Free,572,SDC
45,1978-79,NBA,World B. Free,654,SDC
46,1977-78,NBA,Adrian Dantley*,541,TOT
47,1976-77,NBA,Pete Maravich*,501,NOJ
48,1975-76,NBA,Bob McAdoo*,559,BUF
49,,ABA,James Silas,564,SAA
50,1974-75,NBA,Tiny Archibald*,652,KCO
51,,ABA,George McGinnis*,545,INA
52,1973-74,NBA,Gail Goodrich*,508,LAL
53,,ABA,Mack Calvin,490,CAR
54,1972-73,NBA,Tiny Archibald*,663,KCO
55,,ABA,George Thompson,549,MMT
56,1971-72,NBA,Tiny Archibald*,677,CIN
57,,ABA,Rick Barry*,641,NYA
58,1970-71,NBA,Dave Bing*,615,DET
59,,ABA,Mack Calvin,696,FLO
60,1969-70,NBA,Jerry West*,647,LAL
61,,ABA,Donnie Freeman,626,MMF
62,1968-69,NBA,Oscar Robertson*,643,CIN
63,,ABA,Larry Jones,591,DNR
64,1967-68,NBA,Oscar Robertson*,576,CIN
65,,ABA,Connie Hawkins*,603,PTP
66,1966-67,NBA,Rick Barry*,753,SFW
67,1965-66,NBA,Jerry West*,840,LAL
68,1964-65,NBA,Oscar Robertson*,665,CIN
69,1963-64,NBA,Oscar Robertson*,800,CIN
70,1962-63,NBA,Bob Pettit*,685,STL
71,1961-62,NBA,Wilt Chamberlain*,835,PHW
72,1960-61,NBA,Dolph Schayes*,680,SYR
73,1959-60,NBA,Jack Twyman*,598,CIN
74,1958-59,NBA,Bob Pettit*,667,STL
75,1957-58,NBA,George Yardley*,655,DET
76,1956-57,NBA,Dolph Schayes*,625,SYR
77,1955-56,NBA,Bob Pettit*,557,STL
78,1954-55,NBA,Neil Johnston*,589,PHW
79,1953-54,NBA,Neil Johnston*,577,PHW
80,1952-53,NBA,Neil Johnston*,556,PHW
81,1951-52,NBA,Paul Arizin*,578,PHW
82,1950-51,NBA,George Mikan*,576,MNL
83,1949-50,NBA,George Mikan*,567,MNL
84,1948-49,BAA,George Mikan*,532,MNL
85,1947-48,BAA,Joe Fulks*,297,PHW
86,1946-47,BAA,Joe Fulks*,439,PHW
