Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,20-106,DAL,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,45.0,2.3684210526315788,0.0,65.50000000000001,3.4473684210526323,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,L (-2),L (-2)
2.0,1.0,2022-10-22,20-109,DAL,MEM,0,6.266666666666667,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-3.8,+3,1.0,0.0,0.0,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,-4.0,97.0,5.105263157894737,-3.8,119.3,6.278947368421052,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,W (+41),W (+41)
3.0,,2022-10-25,20-112,DAL,NOP,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,64.0,3.3684210526315788,0.0,90.2,4.747368421052632,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,L (-2),L (-2)
4.0,,2022-10-27,20-114,DAL,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,70.0,3.684210526315789,0.0,96.6,5.084210526315789,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,W (+4),W (+4)
5.0,2.0,2022-10-29,20-116,DAL,OKC,0,3.716666666666667,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.2,+1,2.0,0.0,0.0,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,0.0,49.0,2.5789473684210527,-1.2,69.5,3.657894736842105,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,L (-6),L (-6)
6.0,,2022-10-30,20-117,DAL,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,60.0,3.1578947368421053,0.0,93.2,4.905263157894737,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,W (+9),W (+9)
7.0,,2022-11-02,20-120,DAL,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,79.0,4.157894736842105,0.0,97.7,5.142105263157895,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,W (+3),W (+3)
8.0,,2022-11-04,20-122,DAL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,51.0,2.6842105263157894,0.0,57.7,3.0368421052631582,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,W (+1),W (+1)
9.0,,2022-11-07,20-125,DAL,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,46.0,2.421052631578948,0.0,54.99999999999999,2.894736842105263,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,W (+2),W (+2)
10.0,,2022-11-09,20-127,DAL,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,36,16,46,30,32,26,33,33,17,23,45,24,32,39,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.5373134328358209,0.2424242424242424,0.6052631578947368,0.6666666666666666,0.0,0.6808510638297872,0.6190476190476191,0.55,0.0,0.5,0.4594594594594595,0.8518518518518519,0.5769230769230769,0.3037974683544304,0.8,0.5492957746478874,1.0,13,16,6,5,15.0,,46.0,60.0,35.0,0.2826086956521739,0.2666666666666666,0.1714285714285714,0.3333333333333333,,19,,33.0,1.736842105263158,0.0,42.900000000000006,2.2578947368421054,14.6,0.7,-2.3,-0.4,-1.9,0.0448430493273542,0.571,0.468,0.237,0.0,0.2,L (-7),L (-7)
