Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2022-11-29,32-205,DAL,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,45.0,0.0,0.0,65.50000000000001,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+3),W (+3)
2,,2022-12-01,32-207,DAL,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,93.0,0.0,0.0,115.5,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,L (-6),L (-6)
3,,2022-12-03,32-209,DAL,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,64.0,0.0,0.0,90.2,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+21),W (+21)
4,,2022-12-05,32-211,DAL,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,70.0,0.0,0.0,96.6,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+19),W (+19)
5,,2022-12-06,32-212,DAL,DEN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,49.0,0.0,0.0,68.29999999999998,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+1),W (+1)
6,,2022-12-09,32-215,DAL,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,60.0,0.0,0.0,93.2,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,L (-1),L (-1)
7,1.0,2022-12-10,32-216,DAL,CHI,0,19.5,2.0,5.0,.400,0.0,2.0,.000,4,5.0,.800,1.0,1.0,2.0,5.0,0.0,1.0,0.0,3.0,8.0,8.9,+2,3.0,2.0,0.6666666666666666,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,6.0,73.0,0.0,7.3,90.4,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,L (-29),L (-29)
8,,2022-12-12,32-218,DAL,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,51.0,0.0,0.0,57.7,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+7),W (+7)
9,,2022-12-14,32-220,DAL,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,46.0,0.0,0.0,54.99999999999999,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,L (-15),L (-15)
10,2.0,2022-12-16,32-222,DAL,POR,0,13.05,2.0,5.0,.400,1.0,2.0,.500,1,1.0,1.000,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,6.0,4.6,-1,3.0,1.0,0.3333333333333333,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,4.0,29.0,0.0,4.199999999999999,38.70000000000001,0.0,15.0,0.3,-0.3,0.3,-0.6,0.0076873798846893,0.543,0.491,0.368,0.1,0.2,W (+20),W (+20)
