Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Silva,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Facundo Campazzo,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Kemba Walker,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey
10,11,11,2022-11-10,29-218,DAL,@,WAS,L (-8),1,37.55,11.0,17.0,.647,7.0,12.0,.583,4,4,1.000,0,4,4,6,1,0,1,2,33,30.1,+3,5.0,4.0,0.8,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
11,12,12,2022-11-12,29-220,DAL,,POR,W (+5),1,32.5,7.0,11.0,.636,6.0,8.0,.750,0,0,,0,7,7,6,0,1,2,1,20,19.7,0,3.0,1.0,0.3333333333333333,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
12,13,13,2022-11-15,29-223,DAL,,LAC,W (+2),1,40.983333333333334,6.0,15.0,.400,2.0,8.0,.250,2,3,.667,1,2,3,6,2,0,2,2,16,12.2,-7,7.0,4.0,0.5714285714285714,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
13,14,14,2022-11-16,29-224,DAL,,HOU,L (-9),1,32.416666666666664,3.0,18.0,.167,1.0,9.0,.111,2,2,1.000,1,1,2,10,2,0,0,0,9,7.6,-10,9.0,2.0,0.2222222222222222,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
14,15,15,2022-11-18,29-226,DAL,,DEN,W (+28),1,26.166666666666668,5.0,6.0,.833,3.0,3.0,1.000,2,2,1.000,0,2,2,1,1,0,0,1,15,14.7,+13,3.0,2.0,0.6666666666666666,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
15,16,16,2022-11-20,29-228,DAL,,DEN,L (-1),1,29.6,5.0,15.0,.333,1.0,8.0,.125,0,0,,0,1,1,8,0,1,4,2,11,4.3,-14,7.0,4.0,0.5714285714285714,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
16,17,17,2022-11-23,29-231,DAL,@,BOS,L (-13),1,31.616666666666667,6.0,8.0,.750,2.0,4.0,.500,1,2,.500,0,4,4,4,1,0,0,2,15,15.6,-23,4.0,4.0,1.0,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
17,18,18,2022-11-26,29-234,DAL,@,TOR,L (-5),1,28.333333333333332,6.0,11.0,.545,3.0,8.0,.375,0,0,,0,2,2,7,0,0,3,5,15,10.2,+5,3.0,3.0,1.0,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
18,19,19,2022-11-27,29-235,DAL,@,MIL,L (-9),1,31.166666666666668,8.0,13.0,.615,3.0,6.0,.500,3,3,1.000,0,3,3,2,0,0,1,2,22,16.6,-16,7.0,5.0,0.7142857142857143,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
19,20,20,2022-11-29,29-237,DAL,,GSW,W (+3),1,22.75,5.0,12.0,.417,0.0,4.0,.000,4,4,1.000,0,0,0,2,2,0,3,1,14,7.6,0,8.0,5.0,0.625,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
