Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chris Silva,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Facundo Campazzo,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Kemba Walker,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey
30,30,,2022-12-17,29-255,DAL,@,CLE,L (-1),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
31,31,30,2022-12-19,29-257,DAL,@,MIN,L (-10),1,37.583333333333336,6.0,13.0,.462,5.0,10.0,.500,3,4,.750,0,2,2,7,1,0,1,1,20,18.0,-13,3.0,1.0,0.3333333333333333,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
32,32,31,2022-12-21,29-259,DAL,@,MIN,W (+5),1,41.13333333333333,6.0,13.0,.462,4.0,8.0,.500,3,3,1.000,0,4,4,3,1,1,2,5,19,13.3,+1,5.0,2.0,0.4,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
33,33,32,2022-12-23,29-261,DAL,@,HOU,W (+6),1,37.21666666666667,3.0,8.0,.375,3.0,8.0,.375,2,2,1.000,0,0,0,1,0,0,0,3,11,6.1,+3,0.0,0.0,,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
34,34,33,2022-12-25,29-263,DAL,,LAL,W (+9),1,40.43333333333333,2.0,10.0,.200,2.0,6.0,.333,2,2,1.000,1,1,2,8,0,0,1,3,8,6.2,+8,4.0,0.0,0.0,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
35,35,34,2022-12-27,29-265,DAL,,NYK,W (+5),1,43.56666666666667,9.0,15.0,.600,3.0,8.0,.375,4,4,1.000,1,5,6,5,0,0,1,3,25,21.6,+8,7.0,6.0,0.8571428571428571,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
36,36,35,2022-12-29,29-267,DAL,,HOU,W (+15),1,34.88333333333333,6.0,8.0,.750,3.0,5.0,.600,0,0,,0,4,4,6,1,0,1,2,15,16.4,+19,3.0,3.0,1.0,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
37,37,36,2022-12-31,29-269,DAL,@,SAS,W (+1),1,35.88333333333333,5.0,12.0,.417,0.0,3.0,.000,1,2,.500,0,2,2,3,0,0,1,5,11,3.9,-6,9.0,5.0,0.5555555555555556,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
38,38,37,2023-01-02,29-271,DAL,@,HOU,W (+5),1,37.733333333333334,4.0,12.0,.333,1.0,5.0,.200,2,2,1.000,0,1,1,4,1,0,0,1,11,7.9,+8,7.0,3.0,0.4285714285714285,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
39,39,38,2023-01-05,29-274,DAL,,BOS,L (-29),1,40.03333333333333,6.0,15.0,.400,2.0,6.0,.333,4,5,.800,0,1,1,5,0,0,2,3,18,10.1,-23,9.0,4.0,0.4444444444444444,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
40,40,39,2023-01-07,29-276,DAL,,NOP,W (+10),1,32.15,3.0,6.0,.500,0.0,2.0,.000,6,8,.750,0,1,1,4,0,0,2,1,12,8.9,+7,4.0,3.0,0.75,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
42,41,40,2023-01-08,29-277,DAL,@,OKC,L (-11),1,35.8,6.0,16.0,.375,1.0,5.0,.200,8,10,.800,1,2,3,8,1,0,4,2,21,14.5,-2,11.0,5.0,0.4545454545454545,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
43,42,41,2023-01-10,29-279,DAL,@,LAC,L (-12),1,40.3,4.0,7.0,.571,3.0,6.0,.500,2,2,1.000,0,4,4,5,1,2,1,2,13,15.0,-17,1.0,1.0,1.0,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
44,43,42,2023-01-12,29-281,DAL,@,LAL,W (+4),1,51.25,7.0,13.0,.538,2.0,6.0,.333,1,2,.500,0,4,4,4,0,2,3,3,17,11.5,+5,7.0,5.0,0.7142857142857143,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
45,44,43,2023-01-14,29-283,DAL,@,POR,L (-17),1,33.15,8.0,12.0,.667,4.0,6.0,.667,5,5,1.000,0,1,1,5,0,0,3,2,25,19.8,-14,6.0,4.0,0.6666666666666666,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
46,45,44,2023-01-15,29-284,DAL,@,POR,L (-17),1,34.9,7.0,15.0,.467,2.0,6.0,.333,12,14,.857,0,0,0,9,0,0,1,5,28,22.8,-18,9.0,5.0,0.5555555555555556,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
47,46,45,2023-01-18,29-287,DAL,,ATL,L (-8),1,39.416666666666664,8.0,18.0,.444,4.0,10.0,.400,0,2,.000,1,3,4,7,2,0,3,1,20,14.9,-5,8.0,4.0,0.5,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
48,47,46,2023-01-20,29-289,DAL,,MIA,W (+25),1,30.7,5.0,12.0,.417,3.0,10.0,.300,6,6,1.000,0,3,3,2,0,0,1,3,19,12.7,+13,2.0,2.0,1.0,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
49,48,47,2023-01-22,29-291,DAL,,LAC,L (-14),1,35.65,8.0,18.0,.444,1.0,5.0,.200,4,5,.800,1,3,4,5,0,0,2,4,21,12.7,-8,13.0,7.0,0.5384615384615384,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
50,49,48,2023-01-24,29-293,DAL,,WAS,L (-1),1,34.68333333333333,6.0,15.0,.400,3.0,7.0,.429,5,5,1.000,0,1,1,8,0,0,2,3,20,14.6,+16,8.0,3.0,0.375,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
51,50,49,2023-01-26,29-295,DAL,@,PHO,W (+4),1,39.68333333333333,10.0,18.0,.556,5.0,6.0,.833,11,14,.786,0,6,6,9,0,0,1,0,36,33.3,+9,12.0,5.0,0.4166666666666667,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
52,51,50,2023-01-28,29-297,DAL,@,UTA,L (-8),1,41.516666666666666,11.0,23.0,.478,6.0,11.0,.545,7,10,.700,0,4,4,8,1,1,3,1,35,27.2,-7,12.0,5.0,0.4166666666666667,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
53,52,51,2023-01-30,29-299,DAL,,DET,W (+6),1,31.766666666666666,5.0,16.0,.313,0.0,6.0,.000,2,4,.500,0,3,3,2,0,0,0,2,12,3.5,-4,10.0,5.0,0.5,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
54,53,52,2023-02-02,29-302,DAL,,NOP,W (+5),1,36.13333333333333,4.0,19.0,.211,2.0,6.0,.333,11,12,.917,1,2,3,4,1,2,3,3,21,11.2,-4,13.0,2.0,0.1538461538461538,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
55,54,53,2023-02-04,29-304,DAL,@,GSW,L (-6),1,32.61666666666667,9.0,17.0,.529,3.0,6.0,.500,4,5,.800,0,4,4,4,1,0,3,2,25,17.5,-8,11.0,6.0,0.5454545454545454,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
56,55,,2023-02-06,29-306,BRK,,LAC,L (-8),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
57,56,,2023-02-07,29-307,BRK,,PHO,L (-4),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
58,57,54,2023-02-09,29-309,BRK,,CHI,W (+11),1,38.56666666666667,8.0,17.0,.471,2.0,7.0,.286,7,9,.778,1,4,5,6,4,0,1,1,25,24.2,+25,10.0,6.0,0.6,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
59,58,55,2023-02-11,29-311,BRK,,PHI,L (-3),1,31.166666666666668,2.0,10.0,.200,0.0,4.0,.000,5,6,.833,0,6,6,6,1,0,3,3,9,5.2,+2,6.0,2.0,0.3333333333333333,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
60,59,56,2023-02-13,29-313,BRK,@,NYK,L (-18),1,32.916666666666664,8.0,21.0,.381,3.0,10.0,.300,9,9,1.000,0,3,3,4,1,0,2,2,28,18.4,-4,11.0,5.0,0.4545454545454545,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
61,60,57,2023-02-15,29-315,BRK,,MIA,W (+11),1,35.53333333333333,3.0,4.0,.750,3.0,4.0,.750,0,0,,0,4,4,5,0,0,1,4,9,9.5,+6,0.0,0.0,,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
63,61,58,2023-02-24,29-324,BRK,@,CHI,L (-44),1,24.433333333333334,0.0,6.0,.000,0.0,3.0,.000,2,3,.667,0,1,1,5,0,0,1,1,2,-0.2,-31,3.0,0.0,0.0,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
64,62,59,2023-02-26,29-326,BRK,@,ATL,L (-2),1,41.05,7.0,16.0,.438,2.0,7.0,.286,4,4,1.000,0,4,4,8,0,0,4,4,20,12.8,+7,9.0,5.0,0.5555555555555556,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
65,63,60,2023-02-28,29-328,BRK,,MIL,L (-14),1,34.53333333333333,9.0,17.0,.529,5.0,10.0,.500,3,4,.750,0,6,6,8,1,0,4,2,26,20.9,-4,7.0,4.0,0.5714285714285714,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
66,64,61,2023-03-01,29-329,BRK,@,NYK,L (-24),1,29.433333333333334,3.0,10.0,.300,0.0,3.0,.000,5,5,1.000,1,1,2,10,2,0,3,2,11,11.4,-18,7.0,3.0,0.4285714285714285,0,41,64,49,34,0,31,24,29,34,0,47,22,16,51,25,49,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,40.0,71.0,3.0,0.0,0.6119402985074627,0.9696969696969696,0.6447368421052632,0.7555555555555555,0.0,0.6595744680851063,0.5,0.6904761904761905,0.5666666666666667,0.0,0.7121212121212122,0.5945945945945946,0.5925925925925926,0.6538461538461539,0.625,0.6901408450704225,1.0
