Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,,2022-10-19,31-210,DAL,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,45.0,0.0,0.0,65.50000000000001,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,L (-2),L (-2)
2,,2022-10-22,31-213,DAL,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,93.0,0.0,0.0,115.5,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,W (+41),W (+41)
3,1.0,2022-10-25,31-216,DAL,NOP,0,12.95,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,0,1.0,0.0,0.0,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,3.0,61.0,0.0,4.000000000000001,86.19999999999999,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,L (-2),L (-2)
4,2.0,2022-10-27,31-218,DAL,BRK,0,2.783333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,+2,0.0,0.0,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,2.0,68.0,0.0,1.2999999999999998,95.3,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,W (+4),W (+4)
5,,2022-10-29,31-220,DAL,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,49.0,0.0,0.0,68.29999999999998,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,L (-6),L (-6)
6,,2022-10-30,31-221,DAL,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,60.0,0.0,0.0,93.2,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,W (+9),W (+9)
7,,2022-11-02,31-224,DAL,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,79.0,0.0,0.0,97.7,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,W (+3),W (+3)
8,,2022-11-04,31-226,DAL,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,51.0,0.0,0.0,57.7,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,W (+1),W (+1)
9,,2022-11-07,31-229,DAL,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,46.0,0.0,0.0,54.99999999999999,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,W (+2),W (+2)
10,,2022-11-09,31-231,DAL,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1.0,67.0,66.0,76.0,45.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,46.0,60.0,35.0,0.0,,0.0,0.0,0.0,0,,33.0,0.0,0.0,42.900000000000006,0.0,7.8,0.0,-1.2,-4.8,3.6,0.0010676916506512,0.36,0.846,0.154,0.0,-0.1,L (-7),L (-7)
