Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-10,30-285,DAL,WAS,0.0,20.866666666666667,1.0,6.0,0.167,0.0,5.0,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.7,-22.0,1.0,1.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,2.0,41.0,2.1578947368421053,0.7,65.59999999999998,3.452631578947367,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-8),L (-8)
12.0,12.0,2022-11-12,30-287,DAL,POR,0.0,23.35,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,2.2,2.0,4.0,2.0,0.5,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,2.0,51.0,2.6842105263157894,2.2,69.39999999999999,3.652631578947368,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+5),W (+5)
13.0,13.0,2022-11-15,30-290,DAL,LAC,0.0,9.633333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,-0.5,5.0,0.0,0.0,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,1.0,37.0,1.947368421052632,-0.5,44.1,2.321052631578948,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+2),W (+2)
14.0,,2022-11-16,30-291,DAL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,35.0,1.8421052631578947,0.0,48.70000000000001,2.5631578947368427,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-9),L (-9)
15.0,,2022-11-18,30-293,DAL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,76.0,4.0,0.0,84.49999999999999,4.447368421052631,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+28),W (+28)
16.0,,2022-11-20,30-295,DAL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,45.0,2.3684210526315788,0.0,59.60000000000001,3.1368421052631583,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-1),L (-1)
17.0,,2022-11-23,30-298,DAL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,,51.0,2.6842105263157894,0.0,65.99999999999999,3.473684210526315,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-13),L (-13)
18.0,14.0,2022-11-26,30-301,DAL,TOR,0.0,29.1,5.0,7.0,0.714,1.0,3.0,0.333,0.0,0.0,,0.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,11.0,10.5,-1.0,4.0,4.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,12.0,42.0,2.210526315789474,10.500000000000004,52.99999999999999,2.789473684210526,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-5),L (-5)
19.0,15.0,2022-11-27,30-302,DAL,MIL,0.0,24.28333333333333,2.0,3.0,0.667,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,6.0,7.7,0.0,0.0,0.0,,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,10.0,52.0,2.736842105263158,7.699999999999997,76.60000000000001,4.031578947368422,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,L (-9),L (-9)
20.0,16.0,2022-11-29,30-304,DAL,GSW,0.0,25.116666666666667,2.0,3.0,0.667,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,4.2,-6.0,2.0,2.0,1.0,33,22,34,12,9,17,17,36,32,5,36,22,8,33,1,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.3333333333333333,0.4473684210526316,0.2666666666666666,0.0,0.1914893617021276,0.3541666666666667,0.4047619047619047,0.6,0.0,0.4848484848484848,0.1851851851851851,0.4615384615384615,0.2784810126582278,0.2,0.4647887323943662,0.3333333333333333,12,10,4,6,15.0,,46.0,60.0,35.0,0.2608695652173913,0.1666666666666666,0.1142857142857142,0.4,,19,3.0,57.0,3.0,3.4000000000000004,76.49999999999997,4.026315789473682,8.7,1.3,-2.2,-2.2,0.0,0.0234892163143284,0.592,0.663,0.225,0.0,0.7,W (+3),W (+3)
