Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Dāvis Bertāns,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Dāvis Bertāns,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Dāvis Bertāns,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,co_inf with Kyrie Irving,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-10,26-265,DAL,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,43.0,2.8666666666666667,0.0,66.29999999999998,4.419999999999999,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,L (-8),L (-8)
12.0,,2022-11-12,26-267,DAL,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,53.0,3.533333333333333,0.0,71.6,4.7733333333333325,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,W (+5),W (+5)
13.0,,2022-11-15,26-270,DAL,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,38.0,2.533333333333333,0.0,43.6,2.9066666666666667,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,W (+2),W (+2)
14.0,,2022-11-16,26-271,DAL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,35.0,2.333333333333333,0.0,48.70000000000001,3.2466666666666675,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,L (-9),L (-9)
15.0,,2022-11-18,26-273,DAL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,76.0,5.066666666666666,0.0,84.49999999999999,5.633333333333332,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,W (+28),W (+28)
16.0,,2022-11-20,26-275,DAL,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,45.0,3.0,0.0,59.60000000000001,3.973333333333334,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,L (-1),L (-1)
17.0,,2022-11-23,26-278,DAL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,51.0,3.4,0.0,65.99999999999999,4.4,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,L (-13),L (-13)
18.0,,2022-11-26,26-281,DAL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,54.0,3.6,0.0,63.49999999999999,4.2333333333333325,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,L (-5),L (-5)
19.0,,2022-11-27,26-282,DAL,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,62.0,4.133333333333334,0.0,84.3,5.62,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,L (-9),L (-9)
20.0,,2022-11-29,26-284,DAL,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3,2,3,2,1,3,1,1,3,1,3,3,3,3,3,1.0,67.0,66.0,76.0,45.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,0.0,0.044776119402985,0.0303030303030303,0.0394736842105263,0.0444444444444444,0.0,0.0212765957446808,0.0625,0.0238095238095238,0.0166666666666666,0.0,0.0454545454545454,0.027027027027027,0.1111111111111111,0.0384615384615384,0.0379746835443038,0.075,0.0422535211267605,15.0,,46.0,60.0,35.0,0.0,0.0,0.0,,0.0,15,,60.0,4.0,0.0,79.89999999999998,5.326666666666665,45.5,0.1,17.8,17.0,0.8,0.0009609224855861,0.9,0.4,0.0,0.0,0.1,W (+3),W (+3)
