Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1,2022-10-19,30-142,SAC,POR,1,31.35,4.0,8.0,0.5,0.0,2.0,0.0,1,2.0,0.5,1.0,7.0,8.0,4.0,0.0,1.0,1.0,2.0,9.0,9.1,-6.0,6.0,4.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,11.0,64.0,3.555555555555556,8.699999999999998,70.99999999999999,3.944444444444444,0.1242675287936957,L (-7),L (-7)
2.0,2,2022-10-22,30-145,SAC,LAC,1,34.483333333333334,2.0,10.0,0.2,0.0,3.0,0.0,4,7.0,0.571,1.0,6.0,7.0,0.0,1.0,0.0,1.0,2.0,8.0,2.3,4.0,7.0,2.0,0.2857142857142857,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,-2.0,64.0,3.555555555555556,0.7000000000000004,78.30000000000001,4.3500000000000005,0.1242675287936957,L (-2),L (-2)
3.0,3,2022-10-23,30-146,SAC,GSW,1,21.45,1.0,1.0,1.0,0.0,0.0,,2,4.0,0.5,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,2.1,-18.0,1.0,1.0,1.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,0.0,78.0,4.333333333333333,1.2999999999999998,88.5,4.916666666666667,0.1242675287936957,L (-5),L (-5)
4.0,4,2022-10-27,30-150,SAC,MEM,1,37.46666666666667,6.0,12.0,0.5,1.0,4.0,0.25,7,8.0,0.875,0.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,20.0,15.6,-12.0,8.0,5.0,0.625,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,5.0,61.0,3.388888888888889,12.8,66.89999999999999,3.7166666666666655,0.1242675287936957,L (-15),L (-15)
5.0,5,2022-10-29,30-152,SAC,MIA,1,33.666666666666664,3.0,7.0,0.429,1.0,4.0,0.25,4,4.0,1.0,1.0,3.0,4.0,6.0,0.0,0.0,2.0,5.0,11.0,9.1,12.0,3.0,2.0,0.6666666666666666,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,8.0,62.0,3.4444444444444446,7.500000000000002,71.29999999999998,3.9611111111111104,0.1242675287936957,W (+6),W (+6)
6.0,6,2022-10-31,30-154,SAC,CHO,1,37.333333333333336,4.0,12.0,0.333,0.0,5.0,0.0,8,8.0,1.0,2.0,7.0,9.0,2.0,0.0,0.0,0.0,0.0,16.0,14.1,-1.0,7.0,4.0,0.5714285714285714,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,7.0,56.0,3.111111111111111,10.900000000000002,67.2,3.733333333333333,0.1242675287936957,W (+7),W (+7)
7.0,7,2022-11-02,30-156,SAC,MIA,1,34.8,4.0,12.0,0.333,2.0,5.0,0.4,2,2.0,1.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,12.0,8.8,-3.0,7.0,2.0,0.2857142857142857,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,6.0,64.0,3.555555555555556,8.0,70.1,3.894444444444444,0.1242675287936957,L (-3),L (-3)
8.0,8,2022-11-05,30-159,SAC,ORL,1,35.06666666666667,4.0,10.0,0.4,1.0,4.0,0.25,0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,9.0,6.2,5.0,6.0,3.0,0.5,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,5.0,61.0,3.388888888888889,6.199999999999999,82.9,4.605555555555556,0.1242675287936957,W (+3),W (+3)
9.0,9,2022-11-07,30-161,SAC,GSW,1,22.466666666666665,0.0,4.0,0.0,0.0,3.0,0.0,0,0.0,,1.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,-2.5,-10.0,1.0,0.0,0.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,-2.0,61.0,3.388888888888889,-2.5,79.29999999999997,4.405555555555554,0.1242675287936957,L (-3),L (-3)
10.0,10,2022-11-09,30-163,SAC,CLE,1,35.3,6.0,8.0,0.75,2.0,4.0,0.5,6,8.0,0.75,1.0,8.0,9.0,3.0,2.0,0.0,0.0,3.0,20.0,22.0,10.0,4.0,4.0,1.0,26,2,66,80,73,79,80,16,75,35,77,32,5,16,42,64,74,26.0,2.0,66.0,80.0,73.0,2.0,79.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,12.0,36.0,0.5833333333333334,0.0,18,18.0,59.0,3.2777777777777777,19.599999999999994,82.99999999999999,4.611111111111111,0.1242675287936957,W (+7),W (+7)
