Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,JD Davison,Kessler Edwards,co_inf with JD Davison,co_inf with Kessler Edwards,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2023-02-26,26-124,SAC,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,78.0,4.588235294117647,0.0,94.60000000000002,5.564705882352943,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+9),W (+9)
12.0,5.0,2023-02-28,26-126,SAC,OKC,0,0.7,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-2,0.0,0.0,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,-1.0,84.0,4.941176470588236,-0.7,95.90000000000002,5.641176470588237,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+6),W (+6)
13.0,6.0,2023-03-03,26-129,SAC,LAC,0,0.05,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,0.0,112.0,6.588235294117647,0.0,129.6,7.623529411764705,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+1),W (+1)
14.0,7.0,2023-03-04,26-130,SAC,MIN,0,2.45,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-1,1.0,0.0,0.0,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,-1.0,84.0,4.941176470588236,-1.5,104.3,6.135294117647058,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,L (-4),L (-4)
15.0,8.0,2023-03-06,26-132,SAC,NOP,0,0.6666666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,0.0,82.0,4.823529411764706,0.0,103.90000000000002,6.111764705882354,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+15),W (+15)
16.0,,2023-03-09,26-135,SAC,NYK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,63.0,3.7058823529411766,0.0,75.2,4.423529411764706,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+5),W (+5)
17.0,,2023-03-11,26-137,SAC,PHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,60.0,3.5294117647058822,0.0,69.19999999999999,4.070588235294117,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+9),W (+9)
18.0,,2023-03-13,26-139,SAC,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,44.0,2.588235294117647,0.0,57.99999999999999,3.4117647058823524,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,L (-9),L (-9)
19.0,,2023-03-15,26-141,SAC,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,81.0,4.764705882352941,0.0,96.20000000000002,5.658823529411766,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+3),W (+3)
20.0,,2023-03-16,26-142,SAC,BRK,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,5,1,11,15,16,15,16,14,2,15,10,16,6,2,11,13,14,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,42.0,64.0,74.0,0.1923076923076923,0.5,0.1666666666666666,0.1875,0.2191780821917808,0.0,0.189873417721519,0.1951219512195122,0.175,0.125,0.2,0.2857142857142857,0.2077922077922078,0.1875,0.4,0.2619047619047619,0.203125,0.1891891891891892,12.0,36.0,0.0,0.0,17,,93.0,5.470588235294118,0.0,103.0,6.0588235294117645,5.2,-0.2,-7.8,-8.6,0.7,0.0022226712467165,0.333,0.485,0.0,-0.1,-0.3,W (+5),W (+5)
