Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Alex Len,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,JD Davison,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with JD Davison,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,co_inf with Deonte Burton,co_inf with PJ Dozier,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,22-071,BRK,NOP,0,3.866666666666666,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,4.3,-1,1.0,0.0,0.0,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,5.0,70.0,1.9444444444444444,4.300000000000001,76.39999999999999,2.122222222222222,0.0085875934532228,L (-22),L (-22)
2.0,,2022-10-21,22-073,BRK,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,,62.0,1.7222222222222223,0.0,72.4,2.011111111111111,0.0085875934532228,W (+4),W (+4)
3.0,,2022-10-24,22-076,BRK,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,,78.0,2.1666666666666665,0.0,89.8,2.4944444444444445,0.0085875934532228,L (-10),L (-10)
4.0,2.0,2022-10-26,22-078,BRK,MIL,0,0.9666666666666668,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,0.0,66.0,1.8333333333333333,0.0,79.89999999999999,2.219444444444444,0.0085875934532228,L (-11),L (-11)
5.0,,2022-10-27,22-079,BRK,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,,70.0,1.9444444444444444,0.0,78.79999999999997,2.188888888888888,0.0085875934532228,L (-4),L (-4)
6.0,,2022-10-29,22-081,BRK,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,,63.0,1.75,0.0,78.1,2.1694444444444443,0.0085875934532228,L (-9),L (-9)
7.0,,2022-10-31,22-083,BRK,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,,70.0,1.9444444444444444,0.0,78.1,2.1694444444444443,0.0085875934532228,W (+7),W (+7)
8.0,3.0,2022-11-01,22-084,BRK,CHI,0,0.8166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,0.0,66.0,1.8333333333333333,0.0,85.10000000000001,2.363888888888889,0.0085875934532228,L (-9),L (-9)
9.0,,2022-11-04,22-087,BRK,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,,59.0,1.6388888888888888,0.0,76.79999999999997,2.1333333333333324,0.0085875934532228,W (+42),W (+42)
10.0,,2022-11-05,22-088,BRK,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,9,13,10,12,11,12,12,8,8,12,13,1,13,7,2,8,1.0,42.0,57.0,23.0,48.0,53.0,74.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.2142857142857142,0.2280701754385964,0.4347826086956521,0.25,0.2075471698113207,0.1621621621621621,0.2553191489361702,0.1333333333333333,0.2285714285714285,0.1578947368421052,0.325,1.0,0.1710526315789473,0.1147540983606557,0.0476190476190476,0.1379310344827586,12,18,20,18,20,21,21,7,17,19,7,1,8,16,19,19,19,3,6,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,12.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.4615384615384615,0.0,0.2727272727272727,0.25,0.2465753424657534,0.2531645569620253,0.2560975609756097,0.0,0.2625,0.4375,0.2266666666666666,0.0,0.2467532467532467,0.21875,0.2,0.1904761904761904,0.25,0.2567567567567567,0.0,0.0,36,,77.0,2.138888888888889,0.0,102.6,2.85,0.0085875934532228,W (+4),W (+4)
