Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,26-348,SAC,POR,0,14.533333333333331,2.0,8.0,.250,2.0,7.0,.286,0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,3.4,-4,1.0,0.0,0.0,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,3.0,72.0,4.0,3.4000000000000004,76.29999999999998,4.238888888888888,0.0567791473024853,L (-7),L (-7)
2.0,,2022-10-22,26-351,SAC,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,,62.0,3.4444444444444446,0.0,79.00000000000001,4.388888888888889,0.0567791473024853,L (-2),L (-2)
3.0,2.0,2022-10-23,26-352,SAC,GSW,0,3.9333333333333336,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.5,+4,1.0,1.0,1.0,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,1.0,77.0,4.277777777777778,0.4999999999999998,89.3,4.961111111111111,0.0567791473024853,L (-5),L (-5)
4.0,,2022-10-27,26-356,SAC,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,,66.0,3.6666666666666665,0.0,79.69999999999999,4.427777777777777,0.0567791473024853,L (-15),L (-15)
5.0,3.0,2022-10-29,26-358,SAC,MIA,0,18.366666666666667,4.0,7.0,.571,2.0,4.0,.500,0,2.0,.000,1.0,4.0,5.0,0.0,1.0,1.0,1.0,1.0,10.0,8.1,+3,3.0,2.0,0.6666666666666666,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,7.0,63.0,3.5,8.099999999999996,70.69999999999997,3.927777777777776,0.0567791473024853,W (+6),W (+6)
6.0,4.0,2022-10-31,26-360,SAC,CHO,0,21.15,1.0,4.0,.250,1.0,3.0,.333,3,4.0,.750,2.0,2.0,4.0,3.0,1.0,2.0,2.0,4.0,6.0,6.1,+11,1.0,0.0,0.0,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,6.0,57.0,3.1666666666666665,4.900000000000002,73.19999999999999,4.066666666666666,0.0567791473024853,W (+7),W (+7)
7.0,5.0,2022-11-02,26-362,SAC,MIA,0,12.85,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,2.2,-4,0.0,0.0,,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,4.0,66.0,3.6666666666666665,2.2,75.89999999999999,4.216666666666666,0.0567791473024853,L (-3),L (-3)
8.0,6.0,2022-11-05,27-000,SAC,ORL,0,29.566666666666663,5.0,10.0,.500,4.0,7.0,.571,1,1.0,1.000,0.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,15.0,10.2,+10,3.0,1.0,0.3333333333333333,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,8.0,58.0,3.2222222222222223,9.799999999999995,79.30000000000001,4.405555555555556,0.0567791473024853,W (+3),W (+3)
9.0,7.0,2022-11-07,27-002,SAC,GSW,0,4.0,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,+6,1.0,1.0,1.0,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,2.0,57.0,3.1666666666666665,2.0,74.79999999999997,4.155555555555554,0.0567791473024853,L (-3),L (-3)
10.0,8.0,2022-11-09,27-004,SAC,CLE,0,18.566666666666663,5.0,9.0,.556,4.0,7.0,.571,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,16.0,9.6,+1,2.0,1.0,0.5,22,1,58,73,65,71,74,72,15,68,30,69,28,5,14,38,57,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,0.8461538461538461,0.5,0.8787878787878788,0.9125,0.8904109589041096,0.0,0.8987341772151899,0.902439024390244,0.9,0.9375,0.9066666666666666,0.8571428571428571,0.8961038961038961,0.875,1.0,0.875,0.9047619047619048,0.890625,19,12.0,36.0,0.5277777777777778,0.0,18,5.0,72.0,4.0,8.799999999999997,93.8,5.211111111111111,0.0567791473024853,W (+7),W (+7)
