Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,29-125,SAC,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,,75.0,4.166666666666667,0.0,79.69999999999999,4.427777777777777,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,L (-7),L (-7)
2.0,,2022-10-22,29-128,SAC,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,,62.0,3.4444444444444446,0.0,79.00000000000001,4.388888888888889,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,L (-2),L (-2)
3.0,,2022-10-23,29-129,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,,78.0,4.333333333333333,0.0,89.8,4.988888888888889,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,L (-5),L (-5)
4.0,1.0,2022-10-27,29-133,SAC,MEM,0,3.2,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,1.0,65.0,3.611111111111111,0.3,79.39999999999999,4.411111111111111,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,L (-15),L (-15)
5.0,2.0,2022-10-29,29-135,SAC,MIA,0,3.15,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,-1,0.0,0.0,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,0.0,70.0,3.888888888888889,0.0999999999999999,78.69999999999997,4.372222222222221,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,W (+6),W (+6)
6.0,3.0,2022-10-31,29-137,SAC,CHO,0,1.95,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-4,1.0,0.0,0.0,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,-1.0,64.0,3.555555555555556,-1.1,79.20000000000002,4.400000000000001,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,W (+7),W (+7)
7.0,,2022-11-02,29-139,SAC,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,,70.0,3.888888888888889,0.0,78.1,4.338888888888889,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,L (-3),L (-3)
8.0,,2022-11-05,29-142,SAC,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,,66.0,3.6666666666666665,0.0,89.10000000000001,4.95,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,W (+3),W (+3)
9.0,,2022-11-07,29-144,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,,59.0,3.2777777777777777,0.0,76.79999999999997,4.266666666666665,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,L (-3),L (-3)
10.0,,2022-11-09,29-146,SAC,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,19,25,24,24,26,25,8,24,12,24,14,1,5,17,21,22,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,1.0,0.2878787878787879,0.3125,0.3287671232876712,0.0,0.3037974683544304,0.3170731707317073,0.3125,0.5,0.32,0.3428571428571428,0.3116883116883117,0.4375,0.2,0.3125,0.4047619047619047,0.328125,0.2972972972972973,12,12.0,36.0,0.3333333333333333,0.0,18,,77.0,4.277777777777778,0.0,102.6,5.699999999999999,12.8,0.3,-4.0,-4.9,0.9,0.0043443119822186,0.58,0.067,0.533,-0.1,0.1,W (+7),W (+7)
