Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,11.0,2022-11-11,26-192,SAC,LAL,1.0,31.566666666666663,9.0,15.0,0.6,0.0,0.0,,3.0,3.0,1.0,2.0,8.0,10.0,6.0,1.0,0.0,2.0,5.0,21.0,19.1,10.0,15.0,9.0,0.6,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,18.0,60.0,3.333333333333333,17.899999999999995,76.70000000000002,4.261111111111112,0.1525560719337239,W (+6),W (+6)
12.0,12.0,2022-11-13,26-194,SAC,GSW,1.0,34.2,10.0,17.0,0.588,2.0,2.0,1.0,4.0,6.0,0.667,6.0,16.0,22.0,8.0,0.0,0.0,3.0,1.0,26.0,28.5,5.0,15.0,8.0,0.5333333333333333,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,30.0,53.0,2.9444444444444446,26.90000000000001,67.6,3.755555555555555,0.1525560719337239,W (+7),W (+7)
13.0,13.0,2022-11-15,26-196,SAC,BRK,1.0,27.6,6.0,6.0,1.0,0.0,0.0,,5.0,5.0,1.0,1.0,6.0,7.0,7.0,1.0,1.0,3.0,4.0,17.0,19.7,44.0,6.0,6.0,1.0,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,19.0,93.0,5.166666666666667,17.699999999999996,111.2,6.177777777777778,0.1525560719337239,W (+32),W (+32)
14.0,14.0,2022-11-17,26-198,SAC,SAS,1.0,32.4,4.0,5.0,0.8,1.0,1.0,1.0,7.0,7.0,1.0,0.0,8.0,8.0,1.0,0.0,0.0,2.0,4.0,16.0,13.6,-1.0,4.0,3.0,0.75,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,11.0,72.0,4.0,10.8,92.0,5.111111111111111,0.1525560719337239,W (+18),W (+18)
15.0,15.0,2022-11-20,26-201,SAC,DET,1.0,33.8,4.0,5.0,0.8,1.0,1.0,1.0,6.0,8.0,0.75,3.0,10.0,13.0,7.0,1.0,0.0,3.0,5.0,15.0,18.3,12.0,4.0,3.0,0.75,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,20.0,62.0,3.4444444444444446,15.900000000000002,94.2,5.233333333333333,0.1525560719337239,W (+8),W (+8)
16.0,16.0,2022-11-22,26-203,SAC,MEM,1.0,37.35,3.0,8.0,0.375,0.0,1.0,0.0,3.0,6.0,0.5,2.0,11.0,13.0,8.0,0.0,0.0,2.0,5.0,9.0,9.7,1.0,7.0,3.0,0.4285714285714285,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,49.0,2.7222222222222223,8.5,66.7,3.705555555555556,0.1525560719337239,W (+4),W (+4)
17.0,17.0,2022-11-23,26-204,SAC,ATL,1.0,34.2,6.0,11.0,0.545,0.0,1.0,0.0,3.0,4.0,0.75,1.0,12.0,13.0,7.0,1.0,0.0,3.0,1.0,15.0,16.1,-4.0,10.0,6.0,0.6,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,18.0,42.0,2.333333333333333,14.899999999999997,53.3,2.961111111111111,0.1525560719337239,L (-9),L (-9)
18.0,18.0,2022-11-25,26-206,SAC,BOS,1.0,33.2,7.0,13.0,0.538,0.0,2.0,0.0,4.0,4.0,1.0,2.0,8.0,10.0,6.0,0.0,0.0,3.0,5.0,18.0,14.7,-14.0,11.0,7.0,0.6363636363636364,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,14.0,30.0,1.6666666666666667,13.099999999999994,44.19999999999999,2.455555555555555,0.1525560719337239,L (-18),L (-18)
19.0,19.0,2022-11-28,26-209,SAC,PHO,1.0,37.0,8.0,10.0,0.8,1.0,2.0,0.5,0.0,0.0,,2.0,7.0,9.0,10.0,1.0,2.0,5.0,1.0,17.0,20.7,-5.0,8.0,7.0,0.875,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,24.0,57.0,3.1666666666666665,20.700000000000003,74.8,4.155555555555555,0.1525560719337239,L (-5),L (-5)
20.0,20.0,2022-11-30,26-211,SAC,IND,1.0,23.15,5.0,9.0,0.556,1.0,2.0,0.5,0.0,0.0,,1.0,9.0,10.0,7.0,1.0,0.0,3.0,4.0,11.0,11.4,11.0,7.0,4.0,0.5714285714285714,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,17.0,76.0,4.222222222222222,11.399999999999997,90.9,5.050000000000001,0.1525560719337239,W (+23),W (+23)
21.0,21.0,2022-12-03,26-214,SAC,LAC,1.0,26.183333333333334,10.0,11.0,0.909,2.0,2.0,1.0,2.0,3.0,0.667,2.0,3.0,5.0,6.0,0.0,2.0,2.0,5.0,24.0,23.8,32.0,9.0,8.0,0.8888888888888888,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,21.0,65.0,3.611111111111111,23.0,76.39999999999999,4.244444444444444,0.1525560719337239,,
22.0,22.0,2022-12-04,26-215,SAC,CHI,1.0,36.05,2.0,4.0,0.5,1.0,1.0,1.0,6.0,6.0,1.0,3.0,14.0,17.0,10.0,0.0,0.0,2.0,3.0,11.0,19.1,6.0,3.0,1.0,0.3333333333333333,24,2,64,77,71,79,77,15,73,33,75,32,5,15,39,63,71,26.0,2.0,66.0,80.0,73.0,2.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.9696969696969696,0.9625,0.9726027397260274,0.0,0.9634146341463414,0.9625,0.9375,0.9733333333333334,0.9428571428571428,0.974025974025974,1.0,1.0,0.9375,0.9285714285714286,0.984375,0.9594594594594594,20,12.0,36.0,0.5555555555555556,0.0,18,26.0,49.0,2.7222222222222223,16.7,64.9,3.605555555555556,0.1525560719337239,W (+27),W (+27)
