Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,1.0,2022-10-19,29-004,SAC,POR,0,14.516666666666667,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,3.5,-12,1.0,1.0,1.0,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,6.0,69.0,3.8333333333333335,3.5,76.19999999999999,4.2333333333333325,0.0131339664578702,L (-7),L (-7)
2.0,2.0,2022-10-22,29-007,SAC,LAC,0,12.816666666666666,1.0,2.0,.500,0.0,0.0,,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.9,-6,2.0,1.0,0.5,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,3.0,59.0,3.2777777777777777,1.9,77.10000000000001,4.283333333333334,0.0131339664578702,L (-2),L (-2)
3.0,3.0,2022-10-23,29-008,SAC,GSW,0,16.25,6.0,8.0,.750,0.0,0.0,,3,4.0,.750,3.0,2.0,5.0,0.0,1.0,0.0,3.0,3.0,15.0,10.9,+8,8.0,6.0,0.75,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,6.0,72.0,4.0,9.700000000000005,80.1,4.449999999999999,0.0131339664578702,L (-5),L (-5)
4.0,4.0,2022-10-27,29-012,SAC,MEM,0,8.4,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,-0.9,-12,0.0,0.0,,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,1.0,65.0,3.611111111111111,-0.9000000000000001,80.6,4.477777777777778,0.0131339664578702,L (-15),L (-15)
5.0,5.0,2022-10-29,29-014,SAC,MIA,0,21.183333333333334,2.0,4.0,.500,0.0,0.0,,1,2.0,.500,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,+1,4.0,2.0,0.5,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,2.0,68.0,3.7777777777777777,1.6000000000000003,77.19999999999997,4.288888888888888,0.0131339664578702,W (+6),W (+6)
6.0,6.0,2022-10-31,29-016,SAC,CHO,0,12.416666666666666,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.3,-7,1.0,1.0,1.0,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,0.0,63.0,3.5,0.2999999999999998,77.8,4.322222222222222,0.0131339664578702,W (+7),W (+7)
7.0,7.0,2022-11-02,29-018,SAC,MIA,0,10.8,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,4.6,+2,2.0,2.0,1.0,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,6.0,64.0,3.555555555555556,4.6,73.5,4.083333333333333,0.0131339664578702,L (-3),L (-3)
8.0,8.0,2022-11-05,29-021,SAC,ORL,0,5.183333333333334,1.0,2.0,.500,0.0,0.0,,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.3,-8,2.0,1.0,0.5,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,3.0,63.0,3.5,2.3,86.80000000000001,4.822222222222223,0.0131339664578702,W (+3),W (+3)
9.0,,2022-11-07,29-023,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,,59.0,3.2777777777777777,0.0,76.79999999999997,4.266666666666665,0.0131339664578702,L (-3),L (-3)
10.0,,2022-11-09,29-025,SAC,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,,77.0,4.277777777777778,0.0,102.6,5.699999999999999,0.0131339664578702,W (+7),W (+7)
11.0,,2022-11-11,29-027,SAC,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,,78.0,4.333333333333333,0.0,94.60000000000002,5.255555555555556,0.0131339664578702,W (+6),W (+6)
12.0,,2022-11-13,29-029,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,,83.0,4.611111111111111,0.0,94.5,5.25,0.0131339664578702,W (+7),W (+7)
13.0,9.0,2022-11-15,29-031,SAC,BRK,0,6.483333333333333,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,3.9,-3,1.0,1.0,1.0,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,4.0,108.0,6.0,3.9,125.0,6.944444444444445,0.0131339664578702,W (+32),W (+32)
14.0,,2022-11-17,29-033,SAC,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,,83.0,4.611111111111111,0.0,102.8,5.711111111111111,0.0131339664578702,W (+18),W (+18)
15.0,,2022-11-20,29-036,SAC,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,17,1,31,40,37,39,42,41,9,37,26,40,21,3,11,32,38,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,64.0,74.0,0.6538461538461539,0.5,0.4696969696969697,0.5,0.5068493150684932,0.0,0.4936708860759494,0.5121951219512195,0.5125,0.5625,0.4933333333333333,0.7428571428571429,0.5194805194805194,0.65625,0.6,0.6875,0.5,0.5135135135135135,8,12.0,36.0,0.2222222222222222,0.0,18,,82.0,4.555555555555555,0.0,110.10000000000002,6.116666666666668,0.0131339664578702,W (+8),W (+8)
