Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-11,24-326,SAC,LAL,1.0,35.55,13.0,19.0,0.684,2.0,5.0,0.4,4.0,5.0,0.8,0.0,7.0,7.0,12.0,2.0,0.0,3.0,2.0,32.0,32.2,13.0,14.0,11.0,0.7857142857142857,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,26.0,52.0,2.888888888888889,30.60000000000001,63.99999999999999,3.555555555555556,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,W (+6),W (+6)
12.0,11.0,2022-11-13,24-328,SAC,GSW,1.0,34.35,10.0,19.0,0.526,2.0,4.0,0.5,0.0,2.0,0.0,1.0,3.0,4.0,8.0,3.0,1.0,3.0,3.0,22.0,18.6,15.0,15.0,8.0,0.5333333333333333,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,14.0,69.0,3.8333333333333335,18.6,75.90000000000002,4.216666666666668,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,W (+7),W (+7)
13.0,12.0,2022-11-15,24-330,SAC,BRK,1.0,23.75,5.0,12.0,0.417,1.0,5.0,0.2,3.0,5.0,0.6,0.0,4.0,4.0,9.0,1.0,1.0,1.0,1.0,14.0,14.6,11.0,7.0,4.0,0.5714285714285714,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,101.0,5.611111111111111,13.4,115.5,6.416666666666667,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,W (+32),W (+32)
14.0,13.0,2022-11-17,24-332,SAC,SAS,1.0,31.8,11.0,15.0,0.733,2.0,3.0,0.667,4.0,4.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,0.0,3.0,28.0,28.2,36.0,12.0,9.0,0.75,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,21.0,62.0,3.4444444444444446,26.6,76.2,4.233333333333333,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,W (+18),W (+18)
15.0,14.0,2022-11-20,24-335,SAC,DET,1.0,35.983333333333334,11.0,18.0,0.611,2.0,4.0,0.5,9.0,9.0,1.0,0.0,4.0,4.0,7.0,0.0,0.0,2.0,4.0,33.0,27.3,12.0,14.0,9.0,0.6428571428571429,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,15.0,67.0,3.7222222222222223,23.7,86.4,4.800000000000001,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,W (+8),W (+8)
16.0,15.0,2022-11-22,24-337,SAC,MEM,1.0,35.166666666666664,11.0,21.0,0.524,5.0,8.0,0.625,5.0,6.0,0.833,1.0,7.0,8.0,6.0,4.0,0.0,1.0,3.0,32.0,30.1,-4.0,13.0,6.0,0.4615384615384615,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,22.0,41.0,2.2777777777777777,28.100000000000005,47.1,2.6166666666666667,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,W (+4),W (+4)
17.0,16.0,2022-11-23,24-338,SAC,ATL,1.0,32.21666666666667,7.0,20.0,0.35,1.0,6.0,0.167,3.0,7.0,0.429,1.0,4.0,5.0,5.0,0.0,0.0,4.0,3.0,18.0,5.4,-11.0,14.0,6.0,0.4285714285714285,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,-3.0,63.0,3.5,4.199999999999999,63.99999999999999,3.555555555555556,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,L (-9),L (-9)
18.0,17.0,2022-11-25,24-340,SAC,BOS,1.0,30.516666666666666,6.0,17.0,0.353,3.0,9.0,0.333,5.0,5.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0,20.0,10.7,-26.0,8.0,3.0,0.375,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,2.0,42.0,2.333333333333333,8.699999999999998,48.59999999999998,2.699999999999999,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,L (-18),L (-18)
19.0,18.0,2022-11-28,24-343,SAC,PHO,1.0,28.716666666666665,4.0,12.0,0.333,1.0,3.0,0.333,2.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,11.0,11.3,-16.0,9.0,3.0,0.3333333333333333,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,10.0,71.0,3.9444444444444446,10.500000000000002,85.00000000000001,4.722222222222223,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,L (-5),L (-5)
20.0,19.0,2022-11-30,24-345,SAC,IND,1.0,27.23333333333333,7.0,11.0,0.636,1.0,1.0,1.0,4.0,5.0,0.8,0.0,5.0,5.0,6.0,0.0,0.0,3.0,4.0,19.0,14.8,20.0,10.0,6.0,0.6,24,2,58,71,71,73,71,13,67,33,69,24,5,16,37,57,65,26.0,2.0,66.0,80.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.9230769230769232,1.0,0.8787878787878788,0.8875,0.0,0.8987341772151899,0.8902439024390244,0.8875,0.8125,0.8933333333333333,0.9428571428571428,0.8961038961038961,0.75,1.0,1.0,0.8809523809523809,0.890625,0.8783783783783784,18,12.0,36.0,0.5,0.0,18,11.0,82.0,4.555555555555555,13.2,89.09999999999998,4.949999999999999,21.8,7.4,2.5,3.4,-0.9,0.1844817134774702,0.599,0.276,0.331,2.7,5.5,W (+23),W (+23)
