Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chima Moneke,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Neemias Queta,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chima Moneke,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chima Moneke,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,Shared Games with Kessler Edwards,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,32-041,SAC,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,75.0,4.166666666666667,0.0,79.69999999999999,4.427777777777777,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-7),L (-7)
2.0,,2022-10-22,32-044,SAC,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,62.0,3.4444444444444446,0.0,79.00000000000001,4.388888888888889,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-2),L (-2)
3.0,,2022-10-23,32-045,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,78.0,4.333333333333333,0.0,89.8,4.988888888888889,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-5),L (-5)
4.0,1.0,2022-10-27,32-049,SAC,MEM,0,0.5666666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,0.0,66.0,3.6666666666666665,0.0,79.69999999999999,4.427777777777777,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-15),L (-15)
5.0,,2022-10-29,32-051,SAC,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,70.0,3.888888888888889,0.0,78.79999999999997,4.377777777777776,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+6),W (+6)
6.0,2.0,2022-10-31,32-053,SAC,CHO,0,8.233333333333333,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.7,+10,0.0,0.0,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,4.0,59.0,3.2777777777777777,3.7,74.39999999999999,4.133333333333333,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+7),W (+7)
7.0,3.0,2022-11-02,32-055,SAC,MIA,0,19.766666666666666,2.0,5.0,.400,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,5.0,1.4,+1,4.0,1.0,0.25,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,2.0,68.0,3.7777777777777777,1.4,76.69999999999999,4.26111111111111,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-3),L (-3)
8.0,,2022-11-05,32-058,SAC,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,66.0,3.6666666666666665,0.0,89.10000000000001,4.95,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+3),W (+3)
9.0,,2022-11-07,32-060,SAC,GSW,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,59.0,3.2777777777777777,0.0,76.79999999999997,4.266666666666665,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,L (-3),L (-3)
10.0,,2022-11-09,32-062,SAC,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,14,2,27,31,24,32,32,31,11,27,18,30,1,6,21,29,28,26.0,2.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,5.0,16.0,42.0,64.0,74.0,0.5384615384615384,1.0,0.4090909090909091,0.3875,0.3287671232876712,0.0,0.4050632911392405,0.3902439024390244,0.3875,0.6875,0.36,0.5142857142857142,0.3896103896103896,0.2,0.375,0.5,0.453125,0.3783783783783784,7,12.0,36.0,0.1944444444444444,0.0,18,,77.0,4.277777777777778,0.0,102.6,5.699999999999999,6.7,0.1,-5.2,-4.4,-0.8,0.0047484340270761,0.443,0.54,0.14,-0.2,0.0,W (+7),W (+7)
