Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,21-053,ORL,DET,1.0,34.11666666666667,8.0,18.0,0.444,2.0,6.0,0.333,2.0,2.0,1.0,1.0,3.0,4.0,5.0,0.0,0.0,5.0,2.0,20.0,9.9,-2.0,12.0,6.0,0.5,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,4.0,59.0,3.2777777777777777,9.099999999999996,49.79999999999998,2.7666666666666657,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-4),L (-4)
2.0,2.0,2022-10-21,21-055,ORL,ATL,1.0,35.63333333333333,4.0,10.0,0.4,0.0,3.0,0.0,0.0,0.0,,3.0,4.0,7.0,3.0,4.0,0.0,3.0,3.0,8.0,7.8,-8.0,7.0,4.0,0.5714285714285714,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,9.0,36.0,2.0,7.800000000000001,42.69999999999999,2.372222222222222,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-10),L (-10)
3.0,3.0,2022-10-22,21-056,ORL,BOS,1.0,34.516666666666666,8.0,17.0,0.471,2.0,6.0,0.333,0.0,0.0,,2.0,4.0,6.0,2.0,1.0,0.0,1.0,1.0,18.0,12.9,-17.0,11.0,6.0,0.5454545454545454,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,9.0,85.0,4.722222222222222,12.899999999999997,68.3,3.794444444444444,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-6),L (-6)
4.0,4.0,2022-10-24,21-058,ORL,NYK,1.0,35.96666666666667,5.0,15.0,0.333,1.0,6.0,0.167,3.0,4.0,0.75,3.0,3.0,6.0,5.0,0.0,0.0,2.0,3.0,14.0,8.4,4.0,9.0,4.0,0.4444444444444444,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,4.0,40.0,2.2222222222222223,7.199999999999999,52.6,2.9222222222222225,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-13),L (-13)
5.0,5.0,2022-10-26,21-060,ORL,CLE,1.0,34.7,10.0,20.0,0.5,0.0,4.0,0.0,2.0,3.0,0.667,2.0,3.0,5.0,5.0,1.0,1.0,5.0,3.0,22.0,12.9,2.0,16.0,10.0,0.625,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,6.0,41.0,2.2777777777777777,12.1,35.6,1.9777777777777776,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-11),L (-11)
6.0,6.0,2022-10-28,21-062,ORL,CHO,1.0,23.383333333333333,5.0,8.0,0.625,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,0.0,13.0,11.5,23.0,5.0,4.0,0.8,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,7.0,64.0,3.555555555555556,10.7,51.8,2.8777777777777778,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,W (+20),W (+20)
7.0,7.0,2022-10-30,21-064,ORL,DAL,1.0,35.1,3.0,12.0,0.25,0.0,3.0,0.0,5.0,6.0,0.833,0.0,2.0,2.0,4.0,0.0,1.0,3.0,2.0,11.0,3.7,-8.0,9.0,3.0,0.3333333333333333,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,-3.0,50.0,2.7777777777777777,1.6999999999999984,47.5,2.638888888888889,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-9),L (-9)
8.0,8.0,2022-11-01,21-066,ORL,OKC,1.0,36.71666666666667,8.0,18.0,0.444,1.0,5.0,0.2,3.0,3.0,1.0,0.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,20.0,15.4,12.0,13.0,7.0,0.5384615384615384,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,8.0,60.0,3.333333333333333,14.199999999999996,54.59999999999999,3.0333333333333328,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-8),L (-8)
9.0,9.0,2022-11-03,21-068,ORL,GSW,1.0,36.63333333333333,7.0,12.0,0.583,1.0,1.0,1.0,4.0,5.0,0.8,0.0,3.0,3.0,2.0,0.0,0.0,4.0,2.0,19.0,10.5,2.0,11.0,6.0,0.5454545454545454,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,3.0,63.0,3.5,8.899999999999999,74.0,4.111111111111111,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,W (+1),W (+1)
10.0,10.0,2022-11-05,21-070,ORL,SAC,1.0,40.48333333333333,13.0,22.0,0.591,1.0,5.0,0.2,4.0,5.0,0.8,0.0,3.0,3.0,6.0,3.0,0.0,2.0,4.0,31.0,24.9,3.0,17.0,12.0,0.7058823529411765,36,69,49,26,59,47,52,11,33,59,4,39,56,71,26,41,56,37.0,70.0,51.0,27.0,60.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.972972972972973,0.9857142857142858,0.9607843137254902,0.9629629629629628,0.9833333333333332,0.9791666666666666,0.981132075471698,0.0,1.0,0.9705882352941176,0.9833333333333332,1.0,0.7959183673469388,0.9824561403508772,0.9861111111111112,0.5531914893617021,0.6507936507936508,0.9824561403508772,16,82.0,38.0,0.4210526315789473,0.0,18,14.0,72.0,4.0,23.3,67.1,3.7277777777777774,15.9,5.4,-0.1,0.4,-0.5,0.1625437828371278,0.589,0.322,0.288,1.3,3.1,L (-3),L (-3)
