Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,25-176,ORL,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,63.0,3.5,0.0,58.89999999999999,3.2722222222222217,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-4),L (-4)
2.0,,2022-10-21,25-178,ORL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,45.0,2.5,0.0,50.49999999999999,2.805555555555556,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-10),L (-10)
3.0,,2022-10-22,25-179,ORL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,94.0,5.222222222222222,0.0,81.2,4.511111111111111,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-6),L (-6)
4.0,,2022-10-24,25-181,ORL,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,44.0,2.4444444444444446,0.0,59.8,3.322222222222222,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-13),L (-13)
5.0,,2022-10-26,25-183,ORL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,47.0,2.611111111111111,0.0,47.7,2.6500000000000004,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-11),L (-11)
6.0,,2022-10-28,25-185,ORL,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,71.0,3.9444444444444446,0.0,62.49999999999999,3.472222222222222,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,W (+20),W (+20)
7.0,,2022-10-30,25-187,ORL,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,47.0,2.611111111111111,0.0,49.2,2.7333333333333334,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-9),L (-9)
8.0,,2022-11-01,25-189,ORL,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,68.0,3.7777777777777777,0.0,68.79999999999998,3.822222222222221,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-8),L (-8)
9.0,,2022-11-03,25-191,ORL,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,66.0,3.6666666666666665,0.0,82.89999999999999,4.605555555555555,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,W (+1),W (+1)
10.0,,2022-11-05,25-193,ORL,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,47,31,7,51,56,42,37,11,16,53,3,21,56,11,22,37,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,72.0,47.0,63.0,57.0,0.6486486486486487,0.6714285714285714,0.6078431372549019,0.2592592592592592,0.85,0.7,0.875,0.6981132075471698,0.0,1.0,0.4705882352941176,0.8833333333333333,0.75,0.4285714285714285,0.7777777777777778,0.2340425531914893,0.3492063492063492,0.6491228070175439,15,82.0,38.0,0.3947368421052631,0.0,18,,86.0,4.777777777777778,0.0,90.4,5.022222222222222,17.4,3.4,0.6,0.4,0.2,0.0656742556917688,0.63,0.412,0.46,0.7,2.1,L (-3),L (-3)
