Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,24-162,ORL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,59.0,3.4705882352941178,0.0,60.8,3.576470588235294,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,L (-7),L (-7)
12.0,,2022-11-09,24-164,ORL,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,53.0,3.117647058823529,0.0,48.1,2.8294117647058825,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,W (+7),W (+7)
13.0,,2022-11-11,24-166,ORL,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,64.0,3.764705882352941,0.0,62.8,3.6941176470588233,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,W (+17),W (+17)
14.0,,2022-11-14,24-169,ORL,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,54.0,3.176470588235294,0.0,49.8,2.929411764705882,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,L (-7),L (-7)
15.0,,2022-11-16,24-171,ORL,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,71.0,4.176470588235294,0.0,64.3,3.782352941176472,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,L (-18),L (-18)
16.0,,2022-11-18,24-173,ORL,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,77.0,4.529411764705882,0.0,60.59999999999999,3.5647058823529405,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,W (+1),W (+1)
17.0,,2022-11-19,24-174,ORL,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,55.0,3.235294117647059,0.0,60.20000000000001,3.541176470588236,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,L (-1),L (-1)
18.0,,2022-11-21,24-176,ORL,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,30.0,1.7647058823529411,0.0,39.4,2.317647058823529,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,L (-21),L (-21)
19.0,,2022-11-25,24-180,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,51.0,3.0,0.0,55.400000000000006,3.258823529411765,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,L (-8),L (-8)
20.0,,2022-11-27,24-182,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,48,34,8,56,59,43,38,11,19,21,53,58,8,24,42,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.6756756756756757,0.6857142857142857,0.6666666666666666,0.2962962962962963,0.9333333333333332,0.7375,0.8958333333333334,0.7169811320754716,0.0,1.0,0.5588235294117647,0.0,0.4285714285714285,0.9298245614035088,0.8055555555555556,0.1702127659574468,0.3809523809523809,0.7368421052631579,16,82.0,38.0,0.4210526315789473,0.0,17,,52.0,3.0588235294117645,0.0,54.1,3.182352941176471,16.6,3.7,0.5,-0.1,0.7,0.0916155866900175,0.564,0.128,0.211,1.2,1.7,L (-30),L (-30)
