Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,19-341,ORL,DET,1.0,35.333333333333336,11.0,18.0,0.611,0.0,0.0,,5.0,7.0,0.714,2.0,7.0,9.0,5.0,0.0,2.0,4.0,5.0,27.0,20.4,2.0,18.0,11.0,0.6111111111111112,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,14.0,49.0,2.7222222222222223,18.399999999999995,40.5,2.25,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-4),L (-4)
2.0,2.0,2022-10-21,19-343,ORL,ATL,1.0,33.63333333333333,6.0,18.0,0.333,1.0,6.0,0.167,7.0,8.0,0.875,2.0,10.0,12.0,2.0,1.0,3.0,4.0,1.0,20.0,13.9,-10.0,12.0,5.0,0.4166666666666667,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,8.0,37.0,2.055555555555556,11.099999999999996,39.39999999999999,2.188888888888888,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-10),L (-10)
3.0,3.0,2022-10-22,19-344,ORL,BOS,1.0,33.21666666666667,6.0,19.0,0.316,2.0,7.0,0.286,9.0,11.0,0.818,1.0,4.0,5.0,3.0,0.0,1.0,2.0,1.0,23.0,13.6,-16.0,12.0,4.0,0.3333333333333333,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,0.0,94.0,5.222222222222222,9.999999999999996,71.2,3.955555555555556,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-6),L (-6)
4.0,4.0,2022-10-24,19-346,ORL,NYK,1.0,33.583333333333336,6.0,13.0,0.462,0.0,3.0,0.0,9.0,11.0,0.818,0.0,4.0,4.0,2.0,2.0,0.0,1.0,3.0,21.0,15.9,-2.0,10.0,6.0,0.6,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,4.0,40.0,2.2222222222222223,12.299999999999995,47.5,2.638888888888889,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-13),L (-13)
5.0,5.0,2022-10-26,19-348,ORL,CLE,1.0,36.98333333333333,10.0,19.0,0.526,3.0,5.0,0.6,6.0,8.0,0.75,1.0,7.0,8.0,4.0,1.0,2.0,3.0,2.0,29.0,23.1,-7.0,14.0,7.0,0.5,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,14.0,33.0,1.8333333333333333,20.700000000000003,27.0,1.5,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-11),L (-11)
6.0,6.0,2022-10-28,19-350,ORL,CHO,1.0,27.183333333333334,8.0,14.0,0.571,2.0,4.0,0.5,3.0,7.0,0.429,2.0,10.0,12.0,7.0,0.0,0.0,2.0,0.0,21.0,20.1,27.0,10.0,6.0,0.6,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,17.0,54.0,3.0,18.9,43.6,2.4222222222222225,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,W (+20),W (+20)
7.0,7.0,2022-10-30,19-352,ORL,DAL,1.0,32.38333333333333,6.0,20.0,0.3,1.0,6.0,0.167,5.0,8.0,0.625,0.0,3.0,3.0,4.0,0.0,0.0,2.0,5.0,18.0,4.9,6.0,14.0,5.0,0.3571428571428571,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,-5.0,52.0,2.888888888888889,2.8999999999999977,46.3,2.572222222222222,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-9),L (-9)
8.0,8.0,2022-11-01,19-354,ORL,OKC,1.0,37.43333333333333,6.0,13.0,0.462,0.0,1.0,0.0,3.0,3.0,1.0,0.0,8.0,8.0,2.0,1.0,0.0,4.0,0.0,15.0,9.1,1.0,12.0,6.0,0.5,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,6.0,62.0,3.4444444444444446,7.899999999999995,60.89999999999999,3.383333333333333,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-8),L (-8)
9.0,9.0,2022-11-03,19-356,ORL,GSW,1.0,36.1,8.0,17.0,0.471,0.0,4.0,0.0,6.0,9.0,0.667,0.0,8.0,8.0,3.0,1.0,1.0,5.0,3.0,22.0,12.1,-19.0,13.0,8.0,0.6153846153846154,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,4.0,62.0,3.4444444444444446,9.699999999999996,73.2,4.066666666666666,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,W (+1),W (+1)
10.0,10.0,2022-11-05,19-358,ORL,SAC,1.0,39.85,14.0,26.0,0.538,0.0,3.0,0.0,5.0,5.0,1.0,1.0,15.0,16.0,4.0,0.0,1.0,1.0,2.0,33.0,27.3,1.0,23.0,14.0,0.6086956521739131,28,60,42,17,59,71,46,43,11,27,58,3,33,56,20,35,52,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,47.0,63.0,57.0,0.7567567567567568,0.8571428571428571,0.8235294117647058,0.6296296296296297,0.9833333333333332,0.8875,0.9583333333333334,0.8113207547169812,0.0,1.0,0.7941176470588235,0.9666666666666668,0.75,0.673469387755102,0.9824561403508772,0.425531914893617,0.5555555555555556,0.912280701754386,15,82.0,38.0,0.3947368421052631,0.0,18,22.0,64.0,3.555555555555556,25.300000000000004,65.1,3.616666666666666,14.9,2.4,-1.5,-0.7,-0.7,0.1572898423817863,0.529,0.254,0.476,0.3,-0.3,L (-3),L (-3)
