Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-07,24-081,ORL,HOU,0,16.0,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,3.4,-6,1.0,1.0,1.0,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,4.0,55.0,3.235294117647059,3.4000000000000004,57.4,3.376470588235294,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-7),L (-7)
12.0,12.0,2022-11-09,24-083,ORL,DAL,1,31.566666666666663,2.0,5.0,.400,1.0,2.0,.500,3,6.0,.500,1.0,6.0,7.0,2.0,0.0,1.0,3.0,4.0,8.0,4.1,+4,3.0,1.0,0.3333333333333333,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,4.0,49.0,2.8823529411764706,2.9000000000000004,45.2,2.658823529411765,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,W (+7),W (+7)
13.0,13.0,2022-11-11,24-085,ORL,PHO,1,30.366666666666667,4.0,10.0,.400,2.0,6.0,.333,1,1.0,1.000,3.0,2.0,5.0,3.0,1.0,1.0,0.0,1.0,11.0,11.7,+13,4.0,2.0,0.5,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,10.0,54.0,3.176470588235294,11.299999999999995,51.5,3.0294117647058822,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,W (+17),W (+17)
14.0,14.0,2022-11-14,24-088,ORL,CHO,1,33.11666666666667,4.0,10.0,.400,2.0,6.0,.333,0,0.0,,2.0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,10.0,7.2,-13,4.0,2.0,0.5,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,5.0,49.0,2.8823529411764706,7.2,42.6,2.5058823529411764,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-7),L (-7)
15.0,15.0,2022-11-16,24-090,ORL,MIN,1,31.516666666666666,2.0,8.0,.250,1.0,6.0,.167,0,0.0,,0.0,5.0,5.0,1.0,2.0,0.0,1.0,3.0,5.0,2.2,-11,2.0,1.0,0.5,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,4.0,67.0,3.941176470588236,2.2,62.1,3.652941176470588,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-18),L (-18)
16.0,16.0,2022-11-18,24-092,ORL,CHI,1,29.45,1.0,5.0,.200,0.0,2.0,.000,2,2.0,1.000,0.0,7.0,7.0,2.0,1.0,2.0,0.0,4.0,4.0,5.2,-12,3.0,1.0,0.3333333333333333,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,9.0,68.0,4.0,4.4,56.19999999999999,3.305882352941176,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,W (+1),W (+1)
17.0,17.0,2022-11-19,24-093,ORL,IND,1,24.683333333333334,1.0,3.0,.333,1.0,3.0,.333,1,2.0,.500,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,5.5,-7,0.0,0.0,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,5.0,50.0,2.9411764705882355,5.1000000000000005,55.3,3.252941176470588,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-1),L (-1)
18.0,18.0,2022-11-21,24-095,ORL,IND,1,12.1,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.5,-9,0.0,0.0,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,-3.0,33.0,1.9411764705882355,-2.5,41.9,2.4647058823529413,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-21),L (-21)
19.0,,2022-11-25,24-099,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,,51.0,3.0,0.0,59.2,3.4823529411764707,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-8),L (-8)
20.0,,2022-11-27,24-101,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,,52.0,3.0588235294117645,0.0,57.1,3.3588235294117648,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-30),L (-30)
21.0,,2022-11-28,24-102,ORL,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,,66.0,3.882352941176471,0.0,75.39999999999999,4.435294117647058,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,,
22.0,,2022-11-30,24-104,ORL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,,58.0,3.411764705882353,0.0,60.8,3.576470588235294,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-7),L (-7)
23.0,,2022-12-02,24-106,ORL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,,62.0,3.647058823529412,0.0,66.6,3.917647058823529,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-17),L (-17)
24.0,,2022-12-03,24-107,ORL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,,32.0,1.8823529411764703,0.0,50.400000000000006,2.9647058823529413,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-11),L (-11)
25.0,,2022-12-05,24-109,ORL,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15,25,22,10,26,7,22,16,8,1,17,7,17,15,17,21,37.0,70.0,51.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4054054054054054,0.3571428571428571,0.4313725490196078,0.1666666666666666,0.325,0.1458333333333333,0.4150943396226415,0.0,0.0,0.4705882352941176,0.1333333333333333,0.25,0.3469387755102041,0.1228070175438596,0.2361111111111111,0.3191489361702128,0.2698412698412698,0.3684210526315789,5,82.0,38.0,0.131578947368421,0.0,17,,60.0,3.5294117647058822,0.0,63.6,3.7411764705882353,9.1,0.7,-1.6,-2.4,0.8,0.0140105078809106,0.488,0.705,0.172,0.1,0.0,L (-13),L (-13)
