Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,23-247,ATL,,UTA,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,85.0,4.473684210526316,0.0,106.09999999999998,5.584210526315789
11,12,,2022-11-10,23-248,ATL,,PHI,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,52.0,2.736842105263158,0.0,69.0,3.6315789473684212
12,13,,2022-11-12,23-250,ATL,@,PHI,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,39.0,2.0526315789473686,0.0,65.8,3.4631578947368418
13,14,6,2022-11-14,23-252,ATL,@,MIL,W (+15),0,0:52,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+1,0.0,0.0,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,0.0,67.0,3.526315789473684,0.0,89.29999999999998,4.699999999999999
14,15,7,2022-11-16,23-254,ATL,,BOS,L (-25),0,5:22,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,+4,0.0,0.0,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,2.0,53.0,2.789473684210526,0.5999999999999999,72.60000000000001,3.8210526315789477
15,16,,2022-11-19,23-257,ATL,,TOR,W (+2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,79.0,4.157894736842105,0.0,95.0,5.0
16,17,,2022-11-21,23-259,ATL,@,CLE,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,57.0,3.0,0.0,71.5,3.763157894736842
17,18,,2022-11-23,23-261,ATL,,SAC,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,87.0,4.578947368421052,0.0,104.9,5.521052631578947
18,19,,2022-11-25,23-263,ATL,@,HOU,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,53.0,2.789473684210526,0.0,82.5,4.342105263157895
19,20,,2022-11-27,23-265,ATL,,MIA,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,54.0,2.8421052631578947,0.0,68.2,3.5894736842105264
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,23-266,ATL,@,PHI,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,63.0,3.3157894736842106,0.0,66.29999999999998,3.4894736842105254
22,22,,2022-11-30,23-268,ATL,@,ORL,W (+17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,108.0,5.684210526315789,0.0,127.0,6.684210526315789
23,23,,2022-12-02,23-270,ATL,,DEN,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,89.0,4.684210526315789,0.0,106.5,5.605263157894737
24,24,,2022-12-05,23-273,ATL,,OKC,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,66.0,3.473684210526316,0.0,85.79999999999998,4.51578947368421
25,25,,2022-12-07,23-275,ATL,@,NYK,L (-24),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,46.0,2.421052631578948,0.0,64.0,3.3684210526315788
26,26,,2022-12-09,23-277,ATL,@,BRK,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,65.0,3.421052631578948,0.0,102.8,5.410526315789474
27,27,,2022-12-11,23-279,ATL,,CHI,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,16,16,6,12,13,13,2,11,16,4,13,10,16,12,11,15,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,29.0,0.2539682539682539,0.2222222222222222,0.1111111111111111,0.1846153846153846,0.1940298507462686,0.1756756756756756,,1.0,0.3055555555555556,0.2285714285714285,0.4,0.1830985915492957,0.217391304347826,0.2,0.1643835616438356,0.4782608695652174,0.5172413793103449,3,1,1,39.0,54.0,77.0,0.0389610389610389,0.0256410256410256,0.0185185185185185,19,,80.0,4.2105263157894735,0.0,111.8,5.88421052631579
