Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Jarrett Culver,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,23-241,ATL,,HOU,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,103.0,6.0588235294117645,0.0,115.2,6.776470588235294
1,2,,2022-10-21,23-243,ATL,,ORL,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,88.0,5.176470588235294,0.0,96.10000000000002,5.6529411764705895
2,3,,2022-10-23,23-245,ATL,,CHO,L (-17),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,70.0,4.117647058823529,0.0,90.70000000000002,5.335294117647059
3,4,,2022-10-26,23-248,ATL,@,DET,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,76.0,4.470588235294118,0.0,92.3,5.429411764705883
4,5,,2022-10-28,23-250,ATL,@,DET,W (+24),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,110.0,6.470588235294118,0.0,133.39999999999998,7.8470588235294105
5,6,,2022-10-29,23-251,ATL,@,MIL,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,56.0,3.294117647058824,0.0,72.30000000000001,4.252941176470589
6,7,,2022-10-31,23-253,ATL,@,TOR,L (-30),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,57.0,3.3529411764705883,0.0,73.60000000000001,4.329411764705883
7,8,,2022-11-02,23-255,ATL,@,NYK,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,82.0,4.823529411764706,0.0,96.5,5.676470588235294
8,9,,2022-11-05,23-258,ATL,,NOP,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,,84.0,4.941176470588236,0.0,105.4,6.2
9,10,1,2022-11-07,23-260,ATL,,MIL,W (+19),0,2:32,0.0,1.0,.000,0.0,0.0,,1,2.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,-2,1.0,0.0,0.0,8,10,6,8,6,6,1,5,9,3,5,10,7,6,4,8,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.1269841269841269,0.1388888888888889,0.1111111111111111,0.123076923076923,0.0895522388059701,0.081081081081081,,0.5,0.1388888888888889,0.1285714285714285,0.0422535211267605,0.108695652173913,0.125,0.0958904109589041,0.2608695652173913,0.25,0.2758620689655172,10,39.0,54.0,77.0,0.0,0.0,0.0,17,-1.0,83.0,4.882352941176471,0.1999999999999999,100.4,5.905882352941177
