Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with AJ Griffin,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,CO_EFF,EFF,CO_HGS,HGS,Total Shared Players,avg_EFF,avg_HGS
0,1,,2022-10-19,19-055,ATL,,HOU,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,,103.0,0.0,115.2,20,5.15,5.76
1,2,,2022-10-21,19-057,ATL,,ORL,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,,88.0,0.0,96.10000000000002,20,4.4,4.8050000000000015
2,3,1,2022-10-23,19-059,ATL,,CHO,L (-17),0,6:27,3.0,4.0,.750,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,8.4,+6,1.0,1.0,1.0,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,6.0,70.0,8.399999999999999,90.7,20,3.5,4.535
3,4,,2022-10-26,19-062,ATL,@,DET,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,,76.0,0.0,92.3,20,3.8,4.615
4,5,2,2022-10-28,19-064,ATL,@,DET,W (+24),0,5:43,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,6.6,-2,3.0,2.0,0.6666666666666666,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,4.0,110.0,6.6000000000000005,133.39999999999998,20,5.5,6.669999999999999
5,6,3,2022-10-29,19-065,ATL,@,MIL,L (-8),0,5:05,0.0,2.0,.000,0.0,0.0,,0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,2.0,0.0,0.0,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,0.0,56.0,0.0,72.30000000000001,20,2.8,3.6150000000000007
6,7,4,2022-10-31,19-067,ATL,@,TOR,L (-30),0,14:28,1.0,3.0,.333,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.2,-11,1.0,1.0,1.0,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,2.0,57.0,1.2000000000000006,73.60000000000001,20,2.85,3.6800000000000006
7,8,5,2022-11-02,19-069,ATL,@,NYK,W (+13),0,9:16,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,3.4,+9,0.0,0.0,,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,3.0,82.0,3.4,96.5,20,4.1,4.825
8,9,,2022-11-05,19-072,ATL,,NOP,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,,84.0,0.0,105.4,20,4.2,5.2700000000000005
9,10,6,2022-11-07,19-074,ATL,,MIL,W (+19),0,31:23,10.0,15.0,.667,2.0,6.0,.333,2,2.0,1.000,1.0,3.0,4.0,1.0,3.0,0.0,1.0,2.0,24.0,21.0,+28,9.0,8.0,0.8888888888888888,58,48,55,57,64,2,32,61,10,61,31,70,63,23,16,28,63.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,23.0,16.0,29.0,0.9206349206349206,0.8888888888888888,0.8461538461538461,0.8507462686567164,0.8648648648648649,,1.0,0.8888888888888888,0.8714285714285714,1.0,0.8591549295774648,0.6739130434782609,0.875,0.863013698630137,1.0,1.0,0.9655172413793104,72,19,6,7,39.0,54.0,77.0,0.2467532467532467,0.1538461538461538,0.1296296296296296,14.0,83.0,20.2,100.4,20,4.15,5.0200000000000005
