Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-09,21-333,ATL,,UTA,L (-6),0,19:59,2.0,4.0,.500,0.0,0.0,,0,0.0,,1.0,4.0,5.0,3.0,1.0,1.0,0.0,2.0,4.0,6.9,-17,4.0,2.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,10.0,75.0,3.947368421052632,6.9,99.19999999999996,5.221052631578945
11,12,12,2022-11-10,21-334,ATL,,PHI,W (+9),0,21:15,5.0,6.0,.833,0.0,0.0,,0,0.0,,2.0,9.0,11.0,0.0,0.0,2.0,1.0,5.0,10.0,10.3,-17,6.0,5.0,0.8333333333333334,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,16.0,36.0,1.894736842105263,10.3,58.7,3.0894736842105264
12,13,,2022-11-12,21-336,ATL,@,PHI,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,,39.0,2.0526315789473686,0.0,65.8,3.4631578947368418
13,14,13,2022-11-14,21-338,ATL,@,MIL,W (+15),0,17:08,3.0,5.0,.600,0.0,0.0,,0,0.0,,1.0,4.0,5.0,1.0,0.0,1.0,0.0,5.0,6.0,5.0,0,5.0,3.0,0.6,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,8.0,59.0,3.1052631578947367,4.999999999999998,84.29999999999998,4.436842105263157
14,15,14,2022-11-16,21-340,ATL,,BOS,L (-25),0,20:30,1.0,3.0,.333,0.0,0.0,,0,0.0,,5.0,4.0,9.0,3.0,1.0,0.0,1.0,2.0,2.0,6.3,-13,3.0,1.0,0.3333333333333333,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,11.0,44.0,2.3157894736842106,6.300000000000002,66.9,3.521052631578948
15,16,15,2022-11-19,21-343,ATL,,TOR,W (+2),0,18:39,1.0,2.0,.500,0.0,0.0,,1,2.0,.500,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,2.4,-8,2.0,1.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,3.0,76.0,4.0,2.0,93.0,4.894736842105263
16,17,16,2022-11-21,21-345,ATL,@,CLE,L (-12),0,19:44,6.0,9.0,.667,0.0,1.0,.000,6,6.0,1.000,3.0,7.0,10.0,0.0,0.0,0.0,1.0,1.0,18.0,16.9,-1,8.0,6.0,0.75,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,12.0,45.0,2.3684210526315788,14.5,56.99999999999999,2.9999999999999996
17,18,17,2022-11-23,21-347,ATL,,SAC,W (+9),0,19:11,1.0,3.0,.333,0.0,0.0,,3,4.0,.750,2.0,5.0,7.0,1.0,0.0,1.0,1.0,4.0,5.0,4.6,+1,3.0,1.0,0.3333333333333333,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,6.0,81.0,4.2631578947368425,3.4000000000000004,101.5,5.342105263157895
18,19,18,2022-11-25,21-349,ATL,@,HOU,L (-6),1,32:42,0.0,0.0,,0.0,0.0,,4,6.0,.667,5.0,6.0,11.0,2.0,2.0,2.0,2.0,5.0,4.0,9.3,+1,0.0,0.0,,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,13.0,40.0,2.1052631578947367,7.700000000000001,74.80000000000001,3.9368421052631586
19,20,19,2022-11-27,21-351,ATL,,MIA,L (-8),1,33:39,3.0,7.0,.429,0.0,0.0,,0,0.0,,3.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,6.0,5.7,-13,7.0,3.0,0.4285714285714285,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,5.0,49.0,2.5789473684210527,5.700000000000002,62.50000000000001,3.2894736842105265
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,,0.0,0.0,0.0,0.0,0.0
21,21,20,2022-11-28,21-352,ATL,@,PHI,L (-3),0,14:46,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,0.5,0,1.0,1.0,1.0,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,3.0,60.0,3.1578947368421053,0.5,65.79999999999998,3.4631578947368413
22,22,21,2022-11-30,21-354,ATL,@,ORL,W (+17),0,17:11,5.0,7.0,.714,0.0,0.0,,2,2.0,1.000,4.0,4.0,8.0,1.0,0.0,0.0,2.0,3.0,12.0,10.6,-2,7.0,5.0,0.7142857142857143,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,10.0,98.0,5.157894736842105,9.8,117.2,6.1684210526315795
23,23,22,2022-12-02,21-356,ATL,,DEN,W (+8),0,17:28,5.0,6.0,.833,0.0,0.0,,0,0.0,,0.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,10.0,9.9,+10,6.0,5.0,0.8333333333333334,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,10.0,79.0,4.157894736842105,9.900000000000002,96.6,5.084210526315789
24,24,23,2022-12-05,21-359,ATL,,OKC,L (-7),0,17:36,4.0,6.0,.667,0.0,0.0,,1,2.0,.500,3.0,5.0,8.0,1.0,0.0,0.0,3.0,3.0,9.0,6.1,-5,6.0,4.0,0.6666666666666666,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,7.0,59.0,3.1052631578947367,5.699999999999999,80.09999999999998,4.215789473684209
25,25,24,2022-12-07,21-361,ATL,@,NYK,L (-24),0,24:21,2.0,5.0,.400,0.0,1.0,.000,6,8.0,.750,1.0,5.0,6.0,0.0,0.0,1.0,1.0,1.0,10.0,8.0,-7,4.0,2.0,0.5,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,3.0,43.0,2.263157894736842,5.599999999999999,58.39999999999999,3.073684210526315
26,26,25,2022-12-09,21-363,ATL,@,BRK,L (-4),0,19:08,3.0,4.0,.750,0.0,0.0,,0,0.0,,3.0,4.0,7.0,0.0,1.0,0.0,1.0,3.0,6.0,6.5,+3,4.0,3.0,0.75,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,9.0,56.0,2.9473684210526314,6.499999999999999,96.3,5.068421052631579
27,27,26,2022-12-11,22-000,ATL,,CHI,W (+1),0,21:56,6.0,8.0,.750,0.0,0.0,,2,3.0,.667,3.0,6.0,9.0,1.0,1.0,0.0,1.0,3.0,14.0,13.8,+1,8.0,6.0,0.75,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,13.0,67.0,3.526315789473684,13.0,98.8,5.2
28,28,27,2022-12-12,22-001,ATL,@,MEM,L (-25),1,28:28,2.0,8.0,.250,0.0,0.0,,2,4.0,.500,7.0,3.0,10.0,1.0,2.0,1.0,2.0,4.0,6.0,6.0,-19,8.0,2.0,0.25,61,70,53,63,66,72,2,31,68,10,69,37,71,23,16,29,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,73.0,23.0,16.0,29.0,0.9682539682539684,0.9722222222222222,0.9814814814814816,0.9692307692307692,0.9850746268656716,0.972972972972973,,1.0,0.8611111111111112,0.9714285714285714,1.0,0.971830985915493,0.8043478260869565,0.9726027397260274,1.0,1.0,1.0,25,8,9,39.0,54.0,77.0,0.3246753246753247,0.2051282051282051,0.1666666666666666,19,6.0,26.0,1.368421052631579,5.199999999999999,53.6,2.8210526315789473
