Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with John Collins,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,John Collins,Justin Holiday,Onyeka Okongwu,Trae Young,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with John Collins,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,24-129,ATL,,HOU,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,103.0,5.421052631578948,0.0,115.2,6.063157894736842
1,2,,2022-10-21,24-131,ATL,,ORL,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,88.0,4.631578947368421,0.0,96.10000000000002,5.0578947368421066
2,3,1,2022-10-23,24-133,ATL,,CHO,L (-17),0,1:40,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,+1,0.0,0.0,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,1.0,69.0,3.631578947368421,0.7,90.00000000000001,4.736842105263158
3,4,,2022-10-26,24-136,ATL,@,DET,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,76.0,4.0,0.0,92.3,4.8578947368421055
4,5,2,2022-10-28,24-138,ATL,@,DET,W (+24),0,1:40,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,0.0,110.0,5.789473684210527,0.0,133.39999999999998,7.0210526315789465
5,6,,2022-10-29,24-139,ATL,@,MIL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,56.0,2.9473684210526314,0.0,72.30000000000001,3.8052631578947373
6,7,3,2022-10-31,24-141,ATL,@,TOR,L (-30),0,6:20,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,-6,2.0,0.0,0.0,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,1.0,56.0,2.9473684210526314,-0.1,73.7,3.878947368421053
7,8,,2022-11-02,24-143,ATL,@,NYK,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,82.0,4.315789473684211,0.0,96.5,5.078947368421052
8,9,,2022-11-05,24-146,ATL,,NOP,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,84.0,4.421052631578948,0.0,105.4,5.5473684210526315
9,10,4,2022-11-07,24-148,ATL,,MIL,W (+19),0,3:51,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.4,-4,1.0,0.0,0.0,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,0.0,83.0,4.368421052631579,-0.4,100.8,5.3052631578947365
10,11,,2022-11-09,24-150,ATL,,UTA,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,85.0,4.473684210526316,0.0,106.09999999999998,5.584210526315789
11,12,,2022-11-10,24-151,ATL,,PHI,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,52.0,2.736842105263158,0.0,69.0,3.6315789473684212
12,13,,2022-11-12,24-153,ATL,@,PHI,L (-12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,23,12,17,17,16,1,12,19,6,17,15,23,16,11,16,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,71.0,46.0,80.0,73.0,16.0,29.0,0.3174603174603174,0.3194444444444444,0.2222222222222222,0.2615384615384615,0.2537313432835821,0.2162162162162162,,0.5,0.3333333333333333,0.2714285714285714,0.6,0.2394366197183098,0.3260869565217391,0.2875,0.2191780821917808,0.6875,0.5517241379310345,5,1,2,39.0,54.0,77.0,0.0649350649350649,0.0256410256410256,0.037037037037037,19,,39.0,2.0526315789473686,0.0,65.8,3.4631578947368418
