Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Holiday,Shared Games with AJ Griffin,Shared Games with Bogdan Bogdanović,Shared Games with Clint Capela,Shared Games with De'Andre Hunter,Shared Games with Dejounte Murray,Shared Games with Donovan Williams,Shared Games with Frank Kaminsky,Shared Games with Jalen Johnson,Shared Games with Jarrett Culver,Shared Games with Justin Holiday,Shared Games with Onyeka Okongwu,Shared Games with Trae Young,Shared Games with Trent Forrest,Shared Games with Tyrese Martin,Shared Games with Vit Krejci,Aaron Holiday,AJ Griffin,Bogdan Bogdanović,Clint Capela,De'Andre Hunter,Dejounte Murray,Derrick Favors,Donovan Williams,Frank Kaminsky,Jalen Johnson,Jarrett Culver,Justin Holiday,Onyeka Okongwu,Trae Young,Trent Forrest,Tyrese Martin,Vit Krejci,co_inf with Aaron Holiday,co_inf with AJ Griffin,co_inf with Bogdan Bogdanović,co_inf with Clint Capela,co_inf with De'Andre Hunter,co_inf with Dejounte Murray,co_inf with Derrick Favors,co_inf with Donovan Williams,co_inf with Frank Kaminsky,co_inf with Jalen Johnson,co_inf with Jarrett Culver,co_inf with Justin Holiday,co_inf with Onyeka Okongwu,co_inf with Trae Young,co_inf with Trent Forrest,co_inf with Tyrese Martin,co_inf with Vit Krejci,Shared Games with Saddiq Bey,Shared Games with Bruno Fernando,Shared Games with Garrison Mathews,Shared Games with John Collins,Bruno Fernando,Garrison Mathews,Saddiq Bey,co_inf with Saddiq Bey,co_inf with Bruno Fernando,co_inf with Garrison Mathews,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,25-026,ATL,,HOU,W (+10),1,33:39,9.0,12.0,.750,2.0,2.0,1.000,4,4.0,1.000,0.0,8.0,8.0,1.0,1.0,0.0,2.0,3.0,24.0,20.1,+11,10.0,7.0,0.7,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,16.0,103.0,5.15,18.5,115.20000000000002,5.760000000000001
1,2,2,2022-10-21,25-028,ATL,,ORL,W (+10),1,36:14,9.0,14.0,.643,3.0,4.0,.750,2,2.0,1.000,3.0,10.0,13.0,0.0,3.0,1.0,2.0,4.0,23.0,22.0,+26,10.0,6.0,0.6,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,22.0,88.0,4.4,21.200000000000006,96.1,4.805
2,3,3,2022-10-23,25-030,ATL,,CHO,L (-17),1,38:29,3.0,12.0,.250,0.0,7.0,.000,4,4.0,1.000,2.0,8.0,10.0,1.0,1.0,4.0,1.0,2.0,10.0,9.3,-11,5.0,3.0,0.6,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,9.0,70.0,3.5,7.700000000000001,90.7,4.535
3,4,4,2022-10-26,25-033,ATL,@,DET,W (+5),1,35:54,9.0,14.0,.643,0.0,1.0,.000,1,1.0,1.000,1.0,10.0,11.0,0.0,1.0,4.0,4.0,4.0,19.0,14.7,+5,13.0,9.0,0.6923076923076923,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,16.0,76.0,3.8,14.300000000000004,92.29999999999998,4.614999999999999
4,5,5,2022-10-28,25-035,ATL,@,DET,W (+24),1,25:11,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,10.0,10.0,1.0,1.0,3.0,2.0,3.0,4.0,5.6,+9,3.0,2.0,0.6666666666666666,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,13.0,110.0,5.5,5.6000000000000005,133.39999999999998,6.669999999999999
5,6,6,2022-10-29,25-036,ATL,@,MIL,L (-8),1,31:25,2.0,4.0,.500,0.0,2.0,.000,0,2.0,.000,2.0,3.0,5.0,2.0,0.0,0.0,2.0,3.0,4.0,1.7,-5,2.0,2.0,1.0,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,3.0,56.0,2.8,1.7000000000000002,72.30000000000001,3.6150000000000007
6,7,7,2022-10-31,25-038,ATL,@,TOR,L (-30),1,29:37,5.0,12.0,.417,1.0,6.0,.167,1,1.0,1.000,3.0,9.0,12.0,1.0,0.0,0.0,0.0,6.0,12.0,8.7,-24,6.0,4.0,0.6666666666666666,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,12.0,57.0,2.85,8.3,73.6,3.6799999999999997
7,8,8,2022-11-02,25-040,ATL,@,NYK,W (+13),1,30:54,4.0,10.0,.400,0.0,2.0,.000,4,4.0,1.000,5.0,8.0,13.0,2.0,1.0,1.0,2.0,3.0,12.0,12.4,+14,8.0,4.0,0.5,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,13.0,82.0,4.1,10.799999999999995,96.5,4.825
8,9,9,2022-11-05,25-043,ATL,,NOP,W (+3),1,35:52,3.0,6.0,.500,1.0,2.0,.500,0,0.0,,1.0,4.0,5.0,1.0,0.0,2.0,0.0,4.0,7.0,6.4,-2,4.0,2.0,0.5,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,9.0,84.0,4.2,6.399999999999999,105.4,5.2700000000000005
9,10,10,2022-11-07,25-045,ATL,,MIL,W (+19),1,23:31,5.0,10.0,.500,1.0,2.0,.500,3,3.0,1.000,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,14.0,8.9,+6,8.0,4.0,0.5,55,61,45,57,60,69,1,28,59,3,33,69,65,17,13,22,63.0,72.0,54.0,65.0,67.0,74.0,,2.0,36.0,70.0,10.0,46.0,80.0,73.0,23.0,16.0,29.0,0.873015873015873,0.8472222222222222,0.8333333333333334,0.8769230769230769,0.8955223880597015,0.9324324324324323,,0.5,0.7777777777777778,0.8428571428571429,0.3,0.717391304347826,0.8625,0.8904109589041096,0.7391304347826086,0.8125,0.7586206896551724,22,7,8,71,39.0,54.0,77.0,0.2857142857142857,0.1794871794871795,0.1481481481481481,20,3.0,83.0,4.15,7.700000000000001,100.4,5.0200000000000005
