Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Chuma Okeke,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Jonathan Isaac,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Michael Carter-Williams,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with R.J. Hampton,Shared Games with Terrence Ross,Shared Games with Wendell Carter Jr.,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Jonathan Isaac,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Jonathan Isaac,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,0.0,0.0,0.0,0.0,0.0
21,21,11,2022-11-28,25-243,ORL,@,BRK,L (-7),0,17:25,1.0,2.0,.500,1.0,1.0,1.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,+2,1.0,0.0,0.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,4.0,62.0,3.4444444444444446,3.0,72.39999999999999,4.022222222222222
22,22,12,2022-11-30,25-245,ORL,,ATL,L (-17),0,10:14,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.2,-1,0.0,0.0,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,2.0,56.0,3.111111111111111,1.2000000000000002,59.6,3.3111111111111113
23,23,,2022-12-02,25-247,ORL,@,CLE,L (-11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,62.0,3.4444444444444446,0.0,66.6,3.6999999999999997
24,24,13,2022-12-03,25-248,ORL,@,TOR,L (-13),0,19:47,3.0,7.0,.429,1.0,4.0,.250,6,6.0,1.000,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,13.0,9.2,+13,3.0,2.0,0.6666666666666666,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,2.0,30.0,1.6666666666666667,6.799999999999998,43.6,2.4222222222222225
25,25,14,2022-12-05,25-250,ORL,,MIL,L (-7),0,14:16,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,8.0,6.6,-13,2.0,1.0,0.5,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,5.0,55.0,3.055555555555556,6.599999999999999,57.0,3.1666666666666665
26,26,15,2022-12-07,25-252,ORL,,LAC,W (+5),0,14:41,4.0,7.0,.571,1.0,3.0,.333,0,0.0,,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,9.0,9.1,+14,4.0,3.0,0.75,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,8.0,65.0,3.611111111111111,9.099999999999998,72.8,4.044444444444444
27,27,16,2022-12-09,25-254,ORL,,TOR,W (+4),0,15:08,0.0,2.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.8,-4,1.0,0.0,0.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,0.0,62.0,3.4444444444444446,-0.8,79.19999999999999,4.3999999999999995
28,28,17,2022-12-11,25-256,ORL,,TOR,W (+12),0,8:52,1.0,4.0,.250,0.0,2.0,.000,1,1.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,0.7,+4,2.0,1.0,0.5,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,1.0,43.0,2.388888888888889,0.2999999999999998,52.3,2.9055555555555554
29,29,18,2022-12-14,25-259,ORL,,ATL,W (+11),0,14:25,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.6,-4,1.0,1.0,1.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,3.0,75.0,4.166666666666667,2.6,90.8,5.044444444444444
30,30,19,2022-12-16,25-261,ORL,@,BOS,W (+8),0,11:00,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,1.4,+9,0.0,0.0,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,3.0,42.0,2.333333333333333,1.3999999999999997,57.89999999999999,3.2166666666666663
31,31,20,2022-12-18,25-263,ORL,@,BOS,W (+3),0,16:49,5.0,7.0,.714,3.0,5.0,.600,0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,13.0,11.5,-2,2.0,2.0,1.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,11.0,40.0,2.2222222222222223,11.5,47.7,2.6500000000000004
32,32,21,2022-12-19,25-264,ORL,@,ATL,L (-1),0,13:07,3.0,5.0,.600,2.0,4.0,.500,1,1.0,1.000,1.0,6.0,7.0,0.0,0.0,1.0,0.0,1.0,9.0,9.5,0,1.0,1.0,1.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,11.0,64.0,3.555555555555556,9.099999999999998,75.0,4.166666666666667
33,33,22,2022-12-21,25-266,ORL,@,HOU,W (+6),0,15:53,2.0,4.0,.500,0.0,2.0,.000,3,3.0,1.000,2.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,7.0,8.3,+9,2.0,2.0,1.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,6.0,60.0,3.333333333333333,7.100000000000001,69.6,3.8666666666666663
34,34,,2022-12-23,25-268,ORL,,SAS,W (+20),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,99.0,5.5,0.0,101.3,5.627777777777777
35,35,,2022-12-27,25-272,ORL,,LAL,L (-19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,62.0,3.4444444444444446,0.0,68.0,3.7777777777777777
36,36,23,2022-12-28,25-273,ORL,@,DET,L (-20),0,9:59,1.0,2.0,.500,0.0,1.0,.000,1,2.0,.500,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.2,-4,1.0,1.0,1.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,-1.0,56.0,3.111111111111111,0.8000000000000003,56.6,3.1444444444444444
37,37,24,2022-12-30,25-275,ORL,,WAS,L (-19),0,27:13,2.0,7.0,.286,0.0,3.0,.000,3,4.0,.750,1.0,3.0,4.0,4.0,0.0,0.0,0.0,3.0,7.0,5.7,-1,4.0,2.0,0.5,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,4.0,46.0,2.555555555555556,4.499999999999999,56.60000000000001,3.144444444444445
38,38,,2023-01-04,25-280,ORL,,OKC,W (+11),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,60.0,3.333333333333333,0.0,62.29999999999998,3.4611111111111104
39,39,25,2023-01-05,25-281,ORL,,MEM,L (-8),0,18:00,3.0,4.0,.750,0.0,1.0,.000,2,2.0,1.000,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,8.0,9.0,-10,3.0,3.0,1.0,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,8.0,47.0,2.611111111111111,8.199999999999998,60.3,3.3499999999999996
40,40,,2023-01-07,25-283,ORL,@,GSW,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,89.0,4.944444444444445,0.0,86.60000000000001,4.811111111111112
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,0.0,0.0,0.0,0.0,0.0
42,41,,2023-01-09,25-285,ORL,@,SAC,L (-25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,74.0,4.111111111111111,0.0,79.8,4.433333333333334
43,42,,2023-01-10,25-286,ORL,@,POR,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,71.0,3.9444444444444446,0.0,79.8,4.433333333333334
44,43,,2023-01-13,25-289,ORL,@,UTA,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,63.0,3.5,0.0,65.10000000000001,3.616666666666667
45,44,,2023-01-15,25-291,ORL,@,DEN,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,59.0,3.2777777777777777,0.0,76.79999999999998,4.266666666666666
46,45,,2023-01-20,25-296,ORL,,NOP,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,77.0,4.277777777777778,0.0,79.30000000000001,4.405555555555556
47,46,26,2023-01-21,25-297,ORL,@,WAS,L (-20),0,2:20,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,0.0,53.0,2.9444444444444446,0.0,74.7,4.15
48,47,,2023-01-23,25-299,ORL,,BOS,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,72.0,4.0,0.0,89.6,4.977777777777778
49,48,,2023-01-25,25-301,ORL,,IND,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,33,24,15,23,36,15,20,1,21,25,3,20,24,28,16,24,17,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,11.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.4714285714285714,0.4705882352941176,0.5555555555555556,0.3833333333333333,0.45,0.3125,0.3773584905660377,0.0,0.0909090909090909,0.6176470588235294,0.4166666666666667,0.75,0.4081632653061224,0.4210526315789473,0.3888888888888889,0.3404255319148936,0.3809523809523809,0.2982456140350877,7,82.0,38.0,0.1842105263157894,0.0,18,,90.0,5.0,0.0,96.79999999999998,5.377777777777776
