Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Shared Games with Xavier Sneed,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed
0,1,1,2022-10-19,32-228,CHO,@,SAS,W (+27),1,22.233333333333334,5.0,9.0,.556,0.0,0.0,,2,2,1.000,4,3,7,4,0,1,1,2,12,13.1,+6,9.0,5.0,0.5555555555555556,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
1,2,2,2022-10-21,32-230,CHO,,NOP,L (-12),1,18.866666666666667,4.0,5.0,.800,0.0,0.0,,0,0,,2,3,5,4,0,0,1,5,8,8.2,-1,5.0,4.0,0.8,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
2,3,3,2022-10-23,32-232,CHO,@,ATL,W (+17),1,26.416666666666668,2.0,4.0,.500,0.0,0.0,,4,9,.444,1,7,8,6,0,1,2,2,8,8.9,-7,4.0,2.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
3,4,4,2022-10-26,32-235,CHO,@,NYK,L (-3),1,31.166666666666668,2.0,3.0,.667,0.0,0.0,,4,6,.667,2,5,7,4,1,1,2,5,8,9.3,-15,3.0,2.0,0.6666666666666666,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
4,5,5,2022-10-28,32-237,CHO,@,ORL,L (-20),1,20.533333333333335,1.0,2.0,.500,0.0,0.0,,0,0,,1,3,4,4,0,0,2,3,2,2.2,-19,2.0,1.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
5,6,6,2022-10-29,32-238,CHO,,GSW,W (+7),1,23.216666666666665,2.0,4.0,.500,0.0,0.0,,2,6,.333,4,5,9,7,1,0,2,4,6,9.0,+6,4.0,2.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
6,7,7,2022-10-31,32-240,CHO,,SAC,L (-7),1,28.166666666666668,5.0,6.0,.833,0.0,0.0,,2,5,.400,2,8,10,2,0,1,2,4,12,10.9,-4,6.0,5.0,0.8333333333333334,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
7,8,8,2022-11-02,32-242,CHO,@,CHI,L (-18),1,25.316666666666666,4.0,8.0,.500,0.0,0.0,,3,4,.750,4,9,13,3,0,2,2,3,11,12.4,+1,8.0,4.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
8,9,9,2022-11-04,32-244,CHO,@,MEM,L (-31),1,21.733333333333334,3.0,5.0,.600,0.0,0.0,,1,2,.500,2,5,7,3,1,0,1,1,7,8.9,-31,5.0,3.0,0.6,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
9,10,10,2022-11-05,32-245,CHO,,BRK,L (-4),1,30.05,4.0,8.0,.500,0.0,0.0,,1,1,1.000,3,8,11,3,1,0,2,5,9,8.6,-13,8.0,4.0,0.5,22,7,34,30,56,26,43,27,35,5,29,25,41,55,46,36,0,46.0,7.0,54.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
