Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,32-210,CHO,SAS,1.0,28.9,6.0,11.0,0.545,1.0,4.0,0.25,7.0,7.0,1.0,0.0,5.0,5.0,2.0,1.0,0.0,5.0,3.0,20.0,12.4,7.0,7.0,5.0,0.7142857142857143,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,5.0,76.0,4.222222222222222,9.599999999999998,91.7,5.094444444444445,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,W (+27),W (+27)
2.0,2.0,2022-10-21,32-212,CHO,NOP,1.0,37.18333333333333,12.0,19.0,0.632,1.0,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,7.0,2.0,0.0,2.0,2.0,26.0,22.2,-6.0,17.0,11.0,0.6470588235294118,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,14.0,38.0,2.111111111111111,21.8,48.9,2.716666666666667,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,L (-12),L (-12)
3.0,3.0,2022-10-23,32-214,CHO,ATL,1.0,31.3,4.0,10.0,0.4,1.0,4.0,0.25,3.0,5.0,0.6,0.0,3.0,3.0,5.0,1.0,0.0,4.0,0.0,12.0,7.2,0.0,6.0,3.0,0.5,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,2.0,82.0,4.555555555555555,6.0,96.1,5.338888888888889,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,W (+17),W (+17)
4.0,4.0,2022-10-26,32-217,CHO,NYK,1.0,39.16666666666666,8.0,18.0,0.444,1.0,3.0,0.333,4.0,6.0,0.667,2.0,7.0,9.0,4.0,0.0,1.0,5.0,0.0,21.0,12.8,-13.0,15.0,7.0,0.4666666666666667,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,6.0,53.0,2.9444444444444446,11.200000000000005,72.0,4.0,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,L (-3),L (-3)
5.0,5.0,2022-10-28,32-219,CHO,ORL,1.0,26.45,6.0,11.0,0.545,3.0,6.0,0.5,3.0,4.0,0.75,0.0,6.0,6.0,3.0,0.0,0.0,2.0,0.0,18.0,14.2,-18.0,5.0,3.0,0.6,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,10.0,33.0,1.8333333333333333,12.999999999999998,44.6,2.477777777777778,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,L (-20),L (-20)
6.0,6.0,2022-10-29,32-220,CHO,GSW,1.0,34.583333333333336,8.0,16.0,0.5,1.0,3.0,0.333,6.0,7.0,0.857,0.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,23.0,17.7,9.0,13.0,7.0,0.5384615384615384,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,6.0,43.0,2.388888888888889,15.3,59.000000000000014,3.2777777777777786,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,W (+7),W (+7)
7.0,7.0,2022-10-31,32-222,CHO,SAC,1.0,34.03333333333333,3.0,10.0,0.3,1.0,3.0,0.333,5.0,5.0,1.0,0.0,4.0,4.0,6.0,1.0,0.0,1.0,1.0,12.0,11.2,-9.0,7.0,2.0,0.2857142857142857,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,7.0,52.0,2.888888888888889,9.199999999999998,56.6,3.1444444444444444,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,L (-7),L (-7)
8.0,8.0,2022-11-02,32-224,CHO,CHI,1.0,16.2,3.0,11.0,0.273,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,7.0,1.8,-1.0,8.0,2.0,0.25,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,-1.0,42.0,2.333333333333333,1.7999999999999994,55.3,3.072222222222222,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,L (-18),L (-18)
9.0,,2022-11-04,32-226,CHO,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,42.0,2.333333333333333,0.0,62.6,3.477777777777778,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,L (-31),L (-31)
10.0,,2022-11-05,32-227,CHO,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,1,40,30,14,44,25,31,5,24,31,30,38,45,39,20,46.0,7.0,54.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.5434782608695652,0.1428571428571428,0.7407407407407407,0.375,0.4117647058823529,0.6376811594202898,0.5434782608695652,0.6458333333333334,1.0,0.6666666666666666,0.7209302325581395,0.379746835443038,0.5846153846153846,0.6164383561643836,0.6190476190476191,0.4545454545454545,0.0,20,13,67.0,32.0,0.0,0.40625,18,,30.0,1.6666666666666667,0.0,44.000000000000014,2.444444444444445,13.5,2.0,-1.4,-1.1,-0.3,0.0805671576170587,0.563,0.275,0.274,0.2,0.8,L (-4),L (-4)
