Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Bryce McGowens,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,De'Andre Hunter,Dennis Smith Jr.,Gordon Hayward,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with De'Andre Hunter,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,25-131,NYK,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,81.0,2.793103448275862,0.0,101.30000000000004,3.493103448275864,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,L (-3),L (-3)
2.0,1.0,2022-10-21,25-133,NYK,DET,0,1.8166666666666669,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,0,0.0,0.0,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,4.0,48.0,1.6551724137931034,3.3,67.4,2.3241379310344827,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,W (+24),W (+24)
3.0,,2022-10-24,25-136,NYK,ORL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,84.0,2.896551724137931,0.0,102.1,3.5206896551724136,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,W (+13),W (+13)
4.0,,2022-10-26,25-138,NYK,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,59.0,2.034482758620689,0.0,83.2,2.86896551724138,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,W (+3),W (+3)
5.0,,2022-10-28,25-140,NYK,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,43.0,1.4827586206896552,0.0,57.59999999999999,1.986206896551724,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,L (-11),L (-11)
6.0,,2022-10-30,25-142,NYK,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,49.0,1.6896551724137931,0.0,74.30000000000001,2.5620689655172417,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,L (-13),L (-13)
7.0,,2022-11-02,25-145,NYK,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,59.0,2.034482758620689,0.0,65.8,2.268965517241379,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,L (-13),L (-13)
8.0,,2022-11-04,25-147,NYK,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,41.0,1.4137931034482758,0.0,57.10000000000001,1.96896551724138,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,W (+2),W (+2)
9.0,,2022-11-05,25-148,NYK,BOS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,,42.0,1.4482758620689655,0.0,62.6,2.1586206896551725,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,L (-15),L (-15)
10.0,2.0,2022-11-07,25-150,NYK,MIN,0,0.85,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,6,8,4,13,13,13,13,13,13,9,9,11,12,10,1,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,3.0,0.15,,0.2962962962962963,0.1481481481481481,,0.1604938271604938,0.1585365853658536,0.1911764705882352,0.25,0.1688311688311688,0.203125,0.1525423728813559,0.1343283582089552,0.1549295774647887,0.1643835616438356,0.5,0.3333333333333333,5,18,13,13,8,19,16,9,2,11,17,14,10,8,46.0,7.0,67.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,65.0,73.0,63.0,44.0,4.0,0.391304347826087,0.0,0.0,0.2407407407407407,0.26,0.2352941176470588,0.2753623188405797,0.3478260869565217,0.1875,0.0,0.0555555555555555,0.2558139534883721,0.2615384615384615,0.1917808219178082,0.1587301587301587,0.1818181818181818,0.0,29,0.0,30.0,1.0344827586206895,0.0,44.00000000000001,1.517241379310345,14.0,0.8,-0.1,0.5,-0.7,0.0022072734916964,0.584,0.572,0.225,0.2,0.5,W (+13),W (+13)
