Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-07,21-292,CHO,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,,48.0,2.823529411764706,0.0,73.10000000000001,4.300000000000001,0.0172565398988788,L (-8),L (-8)
12.0,,2022-11-09,21-294,CHO,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,,24.0,1.411764705882353,0.0,45.6,2.682352941176471,0.0172565398988788,L (-10),L (-10)
13.0,,2022-11-10,21-295,CHO,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,,33.0,1.9411764705882355,0.0,47.7,2.8058823529411767,0.0172565398988788,L (-5),L (-5)
14.0,6.0,2022-11-12,21-297,CHO,MIA,0,1.65,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0,1.0,1.0,1.0,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,1.0,51.0,3.0,1.7,75.2,4.423529411764706,0.0172565398988788,L (-17),L (-17)
15.0,7.0,2022-11-14,21-299,CHO,ORL,0,1.9666666666666668,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,+1,0.0,0.0,,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,1.0,41.0,2.411764705882353,0.7,64.89999999999999,3.8176470588235287,0.0172565398988788,W (+7),W (+7)
16.0,,2022-11-16,21-301,CHO,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,,47.0,2.764705882352941,0.0,75.3,4.429411764705883,0.0172565398988788,L (-12),L (-12)
17.0,8.0,2022-11-18,21-303,CHO,CLE,0,7.05,1.0,2.0,.500,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.9,+10,1.0,1.0,1.0,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,3.0,60.0,3.5294117647058822,1.9,79.6,4.68235294117647,0.0172565398988788,L (-10),L (-10)
18.0,9.0,2022-11-20,21-305,CHO,WAS,0,8.033333333333333,2.0,4.0,.500,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,2.3,+7,4.0,2.0,0.5,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,1.0,49.0,2.8823529411764706,2.3,61.8,3.635294117647059,0.0172565398988788,L (-4),L (-4)
19.0,10.0,2022-11-23,21-308,CHO,PHI,0,7.9,2.0,2.0,1.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,2.3,+10,2.0,2.0,1.0,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,2.0,31.0,1.8235294117647056,2.3,50.1,2.947058823529412,0.0172565398988788,W (+6),W (+6)
20.0,11.0,2022-11-25,21-310,CHO,MIN,0,27.966666666666665,3.0,5.0,.600,0.0,0.0,,3,4.0,.750,3.0,9.0,12.0,0.0,0.0,1.0,0.0,2.0,9.0,11.0,-1,5.0,3.0,0.6,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,13.0,39.0,2.294117647058824,9.799999999999995,66.6,3.917647058823529,0.0172565398988788,W (+2),W (+2)
21.0,12.0,2022-11-28,21-313,CHO,BOS,0,21.916666666666668,4.0,11.0,.364,1.0,3.0,.333,0,0.0,,4.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,9.0,5.9,+2,8.0,3.0,0.375,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,4.0,47.0,2.764705882352941,5.899999999999999,60.29999999999999,3.547058823529411,0.0172565398988788,,
22.0,13.0,2022-12-02,21-317,CHO,WAS,0,10.283333333333331,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-3.7,-1,2.0,0.0,0.0,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,-3.0,56.0,3.294117647058824,-3.7,75.9,4.464705882352941,0.0172565398988788,L (-35),L (-35)
23.0,14.0,2022-12-03,21-318,CHO,MIL,0,14.983333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9,-4,0.0,0.0,,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,3.0,13.0,0.7647058823529411,0.8999999999999999,29.40000000000001,1.7294117647058829,0.0172565398988788,W (+1),W (+1)
24.0,15.0,2022-12-05,21-320,CHO,LAC,0,13.75,1.0,2.0,.500,0.0,0.0,,0,0.0,,3.0,2.0,5.0,1.0,0.0,1.0,2.0,2.0,2.0,2.3,-14,2.0,1.0,0.5,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,5.0,49.0,2.8823529411764706,2.3,71.09999999999998,4.182352941176469,0.0172565398988788,L (-9),L (-9)
25.0,16.0,2022-12-07,21-322,CHO,BRK,0,10.4,2.0,4.0,.500,1.0,1.0,1.000,0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,5.0,0.5,-3,3.0,1.0,0.3333333333333333,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,1.0,42.0,2.4705882352941178,0.4999999999999991,60.900000000000006,3.5823529411764707,0.0172565398988788,L (-2),L (-2)
26.0,17.0,2022-12-09,21-324,CHO,NYK,0,19.98333333333333,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,2.0,2.0,4.0,0.0,1.0,2.0,0.0,3.0,4.0,5.2,-1,3.0,2.0,0.6666666666666666,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,7.0,29.0,1.7058823529411764,5.199999999999999,45.49999999999999,2.676470588235293,0.0172565398988788,L (-6),L (-6)
27.0,18.0,2022-12-11,21-326,CHO,PHI,0,12.866666666666667,2.0,4.0,.500,0.0,0.0,,2,2.0,1.000,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,4.5,-6,4.0,2.0,0.5,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,3.0,36.0,2.117647058823529,3.7,60.7,3.570588235294118,0.0172565398988788,L (-19),L (-19)
28.0,19.0,2022-12-14,21-329,CHO,DET,0,13.566666666666666,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,-0.5,+6,0.0,0.0,,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,1.0,33.0,1.9411764705882355,-0.5000000000000002,64.70000000000002,3.8058823529411776,0.0172565398988788,L (-18),L (-18)
29.0,20.0,2022-12-16,21-331,CHO,ATL,0,13.533333333333331,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,4.8,-2,3.0,2.0,0.6666666666666666,34,3,24,25,27,24,36,33,3,11,19,27,44,37,33,30,46.0,7.0,54.0,50.0,80.0,34.0,69.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.7391304347826086,0.4285714285714285,0.4444444444444444,0.5,0.3375,0.7058823529411765,0.5217391304347826,0.6875,0.6,0.3055555555555556,0.4418604651162791,0.3417721518987341,0.676923076923077,0.5068493150684932,0.5238095238095238,0.6818181818181818,0.0,16,67.0,32.0,0.0,0.5,17,8.0,45.0,2.647058823529412,4.8,69.3,4.076470588235294,0.0172565398988788,L (-7),L (-7)
