Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Dennis Smith Jr.,Shared Games with Gordon Hayward,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Shared Games with Xavier Sneed,Bryce McGowens,Cody Martin,Dennis Smith Jr.,Gordon Hayward,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Dennis Smith Jr.,co_inf with Gordon Hayward,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed
0,1,1,2022-10-19,24-261,CHO,@,SAS,W (+27),0,23.333333333333332,2.0,5.0,.400,1.0,2.0,.500,0,0,,0,5,5,2,1,1,0,0,5,6.9,+13,3.0,1.0,0.3333333333333333,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
1,2,2,2022-10-21,24-263,CHO,,NOP,L (-12),0,26.5,5.0,7.0,.714,4.0,4.0,1.000,0,0,,0,5,5,2,0,1,1,4,14,12.1,+7,3.0,1.0,0.3333333333333333,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
2,3,3,2022-10-23,24-265,CHO,@,ATL,W (+17),0,20.35,3.0,6.0,.500,1.0,3.0,.333,2,2,1.000,1,4,5,3,0,1,1,3,9,8.5,+13,3.0,2.0,0.6666666666666666,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
3,4,4,2022-10-26,24-268,CHO,@,NYK,L (-3),0,22.8,6.0,10.0,.600,3.0,3.0,1.000,2,2,1.000,1,5,6,2,1,1,1,4,17,15.1,+14,7.0,3.0,0.4285714285714285,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
4,5,5,2022-10-28,24-270,CHO,@,ORL,L (-20),0,22.083333333333332,1.0,7.0,.143,0.0,2.0,.000,4,4,1.000,1,6,7,2,1,0,1,3,6,4.2,-8,5.0,1.0,0.2,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
5,6,6,2022-10-29,24-271,CHO,,GSW,W (+7),0,32.483333333333334,4.0,10.0,.400,2.0,5.0,.400,2,2,1.000,2,9,11,2,0,0,2,1,12,9.7,-1,5.0,2.0,0.4,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
6,7,7,2022-10-31,24-273,CHO,,SAC,L (-7),0,27.033333333333335,5.0,11.0,.455,3.0,4.0,.750,0,0,,1,0,1,4,2,0,2,5,13,8.8,-6,7.0,2.0,0.2857142857142857,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
7,8,8,2022-11-02,24-275,CHO,@,CHI,L (-18),0,35.63333333333333,5.0,18.0,.278,0.0,5.0,.000,1,2,.500,3,3,6,2,5,2,2,2,11,8.0,-13,13.0,5.0,0.3846153846153846,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
8,9,9,2022-11-04,24-277,CHO,@,MEM,L (-31),1,21.466666666666665,1.0,5.0,.200,0.0,4.0,.000,2,2,1.000,0,1,1,2,1,0,2,2,4,0.8,-33,1.0,1.0,1.0,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
9,10,10,2022-11-05,24-278,CHO,,BRK,L (-4),0,27.766666666666666,3.0,7.0,.429,0.0,3.0,.000,0,0,,2,4,6,3,1,0,2,2,6,5.2,-12,4.0,3.0,0.75,22,7,34,30,26,43,27,35,5,29,25,56,41,55,46,36,0,46.0,7.0,54.0,50.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.4782608695652174,1.0,0.6296296296296297,0.6,0.7647058823529411,0.6231884057971014,0.5869565217391305,0.7291666666666666,1.0,0.8055555555555556,0.5813953488372093,0.7088607594936709,0.6307692307692307,0.7534246575342466,0.7301587301587301,0.8181818181818182,0.0
