Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,23-163,LAL,@,GSW,L (-14),0,1:52,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,+3,0.0,0.0,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,1.0,77.0,3.85,0.3,68.3,3.415
1,2,,2022-10-20,23-165,LAL,,LAC,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,85.0,4.25,0.0,71.7,3.585
2,3,,2022-10-23,23-168,LAL,,POR,L (-2),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,82.0,4.1,0.0,73.60000000000002,3.680000000000001
3,4,,2022-10-26,23-171,LAL,@,DEN,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,102.0,5.1,0.0,76.89999999999999,3.8449999999999998
4,5,,2022-10-28,23-173,LAL,@,MIN,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,99.0,4.95,0.0,65.0,3.25
5,6,,2022-10-30,23-175,LAL,,DEN,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,93.0,4.65,0.0,91.0,4.55
6,7,,2022-11-02,23-178,LAL,,NOP,W (+3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,102.0,5.1,0.0,96.3,4.8149999999999995
7,8,,2022-11-04,23-180,LAL,,UTA,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,78.0,3.9,0.0,80.1,4.005
8,9,,2022-11-06,23-182,LAL,,CLE,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,55.0,2.75,0.0,63.1,3.1550000000000002
9,10,,2022-11-07,23-183,LAL,@,UTA,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,3,3,2,5,5,4,5,2,1,7,4,5,4,4,4,7,56.0,64.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.0535714285714285,0.046875,0.048780487804878,0.0757575757575757,0.0961538461538461,0.0571428571428571,0.0909090909090909,0.0357142857142857,0.0294117647058823,0.1707317073170731,0.0597014925373134,0.0684931506849315,0.6666666666666666,0.0,0.0677966101694915,,0.0526315789473684,0.1029411764705882,1,1,1,1,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0232558139534883,0.0,0.0128205128205128,0.0123456790123456,0.0204081632653061,0.0,0.0,20,,68.0,3.4,0.0,64.2,3.21
