Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,29-221,LAL,@,GSW,L (-14),1,35:36,10.0,22.0,.455,0.0,3.0,.000,7,9.0,.778,0.0,6.0,6.0,0.0,4.0,1.0,3.0,2.0,27.0,17.5,-21,19.0,10.0,0.5263157894736842,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,4.0,74.0,3.523809523809524,14.7,62.09999999999999,2.9571428571428564
1,2,2,2022-10-20,29-223,LAL,,LAC,L (-6),1,31:56,9.0,16.0,.563,2.0,4.0,.500,5,7.0,.714,2.0,6.0,8.0,0.0,2.0,0.0,2.0,2.0,25.0,19.0,+5,12.0,7.0,0.5833333333333334,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,10.0,75.0,3.571428571428572,16.999999999999996,73.9,3.5190476190476194
2,3,3,2022-10-23,29-226,LAL,,POR,L (-2),1,36:16,9.0,17.0,.529,0.0,3.0,.000,4,4.0,1.000,5.0,5.0,10.0,3.0,2.0,6.0,1.0,5.0,22.0,24.0,+3,14.0,9.0,0.6428571428571429,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,21.0,61.0,2.9047619047619047,22.40000000000001,57.20000000000001,2.7238095238095243
3,4,4,2022-10-26,29-229,LAL,@,DEN,L (-11),1,36:26,11.0,19.0,.579,0.0,1.0,.000,0,1.0,.000,1.0,13.0,14.0,5.0,3.0,2.0,0.0,1.0,22.0,24.8,-22,18.0,11.0,0.6111111111111112,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,26.0,76.0,3.619047619047619,24.800000000000004,72.79999999999998,3.466666666666666
4,5,,2022-10-28,29-231,LAL,@,MIN,L (-9),Did Not Dress,Did Not Dress,0.0,0.0,Did Not Dress,,,Did Not Dress,Did Not Dress,0.0,Did Not Dress,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Dress,Did Not Dress,,,,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,,99.0,4.714285714285714,0.0,73.6,3.5047619047619043
5,6,5,2022-10-30,29-233,LAL,,DEN,W (+11),1,36:48,10.0,18.0,.556,0.0,0.0,,3,4.0,.750,6.0,9.0,15.0,2.0,1.0,1.0,2.0,3.0,23.0,20.8,+15,18.0,10.0,0.5555555555555556,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,18.0,75.0,3.571428571428572,19.6,84.10000000000001,4.004761904761905
6,7,6,2022-11-02,29-236,LAL,,NOP,W (+3),1,37:12,8.0,17.0,.471,0.0,0.0,,4,4.0,1.000,5.0,11.0,16.0,4.0,1.0,4.0,1.0,3.0,20.0,22.5,+9,17.0,8.0,0.4705882352941176,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,23.0,79.0,3.761904761904762,20.899999999999995,77.70000000000002,3.7000000000000006
7,8,7,2022-11-04,29-238,LAL,,UTA,L (-14),1,34:51,9.0,17.0,.529,1.0,2.0,.500,3,3.0,1.000,3.0,5.0,8.0,2.0,0.0,2.0,1.0,3.0,22.0,17.9,-8,15.0,8.0,0.5333333333333333,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,13.0,65.0,3.095238095238096,16.700000000000003,62.39999999999999,2.971428571428571
8,9,8,2022-11-06,29-240,LAL,,CLE,L (-14),1,32:45,7.0,12.0,.583,0.0,0.0,,5,9.0,.556,3.0,9.0,12.0,4.0,0.0,1.0,1.0,4.0,19.0,17.5,-7,12.0,7.0,0.5833333333333334,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,14.0,41.0,1.9523809523809523,15.499999999999996,47.60000000000001,2.266666666666667
9,10,9,2022-11-07,29-241,LAL,@,UTA,L (-23),1,29:12,11.0,18.0,.611,1.0,1.0,1.000,6,7.0,.857,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,29.0,22.3,-9,17.0,10.0,0.5882352941176471,51,3,13,41,14,21,36,43,12,20,26,30,2,18,53,44,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.796875,0.4285714285714285,0.3170731707317073,0.6212121212121212,0.2692307692307692,0.3,0.6545454545454545,0.7678571428571429,0.3529411764705882,0.4878048780487805,0.3880597014925373,0.410958904109589,0.3333333333333333,0.0,0.3050847457627119,,0.6973684210526315,0.6470588235294118,6,12,23,23,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1395348837209302,0.1690140845070422,0.2948717948717949,0.2839506172839506,0.1428571428571428,0.0,0.0,21,10.0,58.0,2.761904761904762,19.9,55.00000000000001,2.6190476190476195
