Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Matt Ryan,Max Christie,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Matt Ryan,co_inf with Max Christie,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-18,23-308,LAL,@,GSW,L (-14),1,29:17,2.0,7.0,.286,0.0,3.0,.000,1,2.0,.500,1.0,2.0,3.0,5.0,1.0,1.0,2.0,0.0,5.0,5.0,-13,4.0,2.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,4.0,74.0,3.523809523809524,4.6,72.2,3.4380952380952383
1,2,2,2022-10-20,23-310,LAL,,LAC,L (-6),1,36:34,9.0,21.0,.429,2.0,9.0,.222,6,6.0,1.000,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,26.0,18.1,-4,12.0,7.0,0.5833333333333334,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,6.0,79.0,3.761904761904762,15.700000000000006,75.2,3.580952380952381
2,3,3,2022-10-23,23-313,LAL,,POR,L (-2),1,32:25,7.0,13.0,.538,1.0,5.0,.200,0,1.0,.000,2.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,15.0,9.5,+5,8.0,6.0,0.75,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,6.0,76.0,3.619047619047619,9.5,70.10000000000002,3.338095238095239
3,4,4,2022-10-26,23-316,LAL,@,DEN,L (-11),1,30:29,6.0,14.0,.429,1.0,6.0,.167,2,3.0,.667,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,15.0,9.8,-27,8.0,5.0,0.625,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,3.0,99.0,4.714285714285714,8.999999999999998,88.6,4.219047619047619
4,5,5,2022-10-28,23-318,LAL,@,MIN,L (-9),1,24:09,3.0,10.0,.300,0.0,4.0,.000,0,0.0,,1.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,6.0,1.1,-3,6.0,3.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,1.0,98.0,4.666666666666667,1.0999999999999988,72.5,3.4523809523809526
5,6,6,2022-10-30,23-320,LAL,,DEN,W (+11),1,35:16,6.0,14.0,.429,3.0,5.0,.600,3,4.0,.750,0.0,5.0,5.0,2.0,1.0,2.0,0.0,1.0,18.0,15.1,+15,9.0,3.0,0.3333333333333333,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,10.0,83.0,3.952380952380953,13.899999999999997,89.80000000000001,4.276190476190477
6,7,7,2022-11-02,23-323,LAL,,NOP,W (+3),1,40:22,9.0,17.0,.529,5.0,9.0,.556,5,6.0,.833,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,28.0,19.8,+8,8.0,4.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,9.0,93.0,4.428571428571429,17.800000000000008,80.80000000000001,3.847619047619048
7,8,8,2022-11-04,23-325,LAL,,UTA,L (-14),1,30:01,6.0,12.0,.500,2.0,3.0,.667,5,5.0,1.000,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,19.0,15.2,-12,9.0,4.0,0.4444444444444444,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,6.0,72.0,3.4285714285714284,13.2,65.9,3.1380952380952385
8,9,9,2022-11-06,23-327,LAL,,CLE,L (-14),1,19:25,3.0,7.0,.429,0.0,3.0,.000,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,1.3,-10,4.0,3.0,0.75,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,1.0,54.0,2.571428571428572,1.2999999999999998,61.8,2.9428571428571426
9,10,,2022-11-07,23-328,LAL,@,UTA,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,,68.0,3.238095238095238,0.0,74.89999999999999,3.5666666666666664
10,11,,2022-11-09,23-330,LAL,@,LAC,L (-13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,,81.0,3.857142857142857,0.0,84.39999999999998,4.019047619047618
11,12,10,2022-11-11,23-332,LAL,,SAC,L (-6),1,33:12,8.0,14.0,.571,2.0,4.0,.500,1,2.0,.500,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,19.0,12.6,-14,10.0,6.0,0.6,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,5.0,79.0,3.761904761904762,12.2,80.89999999999999,3.852380952380952
12,13,11,2022-11-13,23-334,LAL,,BRK,W (+13),1,30:22,9.0,15.0,.600,4.0,5.0,.800,3,3.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,25.0,17.6,+20,10.0,5.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,8.0,82.0,3.9047619047619047,16.400000000000002,88.49999999999999,4.2142857142857135
13,14,12,2022-11-18,23-339,LAL,,DET,W (+7),1,34:04,6.0,13.0,.462,1.0,4.0,.250,4,4.0,1.000,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,17.0,9.9,0,9.0,5.0,0.5555555555555556,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,2.0,121.0,5.761904761904762,8.299999999999997,133.29999999999998,6.347619047619046
14,15,13,2022-11-20,23-341,LAL,,SAS,W (+31),1,27:44,6.0,12.0,.500,2.0,6.0,.333,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,14.0,7.3,+23,6.0,4.0,0.6666666666666666,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,3.0,110.0,5.238095238095238,7.299999999999999,102.1,4.8619047619047615
15,16,14,2022-11-22,23-343,LAL,@,PHO,L (-10),1,38:01,8.0,18.0,.444,2.0,6.0,.333,6,7.0,.857,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,24.0,15.6,-1,12.0,6.0,0.5,43,49,2,16,43,13,25,37,9,25,31,35,2,26,54,42,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,34.0,41.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.7678571428571429,0.765625,0.2857142857142857,0.3902439024390244,0.6515151515151515,0.25,0.3571428571428571,0.6727272727272727,0.2647058823529412,0.6097560975609756,0.4626865671641791,0.4794520547945205,0.3333333333333333,0.0,0.4406779661016949,,0.7105263157894737,0.6176470588235294,5,9,16,16,7,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.1162790697674418,0.1267605633802817,0.2051282051282051,0.1975308641975308,0.1428571428571428,0.0,0.0,21,1.0,74.0,3.523809523809524,13.2,78.89999999999999,3.7571428571428567
