Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Clarke,Shared Games with David Roddy,Shared Games with Desmond Bane,Shared Games with Dillon Brooks,Shared Games with Ja Morant,Shared Games with Jake LaRavia,Shared Games with Jaren Jackson Jr.,Shared Games with John Konchar,Shared Games with Kennedy Chandler,Shared Games with Santi Aldama,Shared Games with Steven Adams,Shared Games with Tyus Jones,Shared Games with Vince Williams Jr.,Shared Games with Xavier Tillman Sr.,Shared Games with Ziaire Williams,Brandon Clarke,Danny Green,David Roddy,Desmond Bane,Dillon Brooks,Ja Morant,Jacob Gilyard,Jake LaRavia,Jaren Jackson Jr.,John Konchar,Kennedy Chandler,Santi Aldama,Steven Adams,Tyus Jones,Vince Williams Jr.,Xavier Tillman Sr.,Ziaire Williams,co_inf with Brandon Clarke,co_inf with Danny Green,co_inf with David Roddy,co_inf with Desmond Bane,co_inf with Dillon Brooks,co_inf with Ja Morant,co_inf with Jacob Gilyard,co_inf with Jake LaRavia,co_inf with Jaren Jackson Jr.,co_inf with John Konchar,co_inf with Kennedy Chandler,co_inf with Santi Aldama,co_inf with Steven Adams,co_inf with Tyus Jones,co_inf with Vince Williams Jr.,co_inf with Xavier Tillman Sr.,co_inf with Ziaire Williams,Shared Games with Luke Kennard,Luke Kennard,Trae Young,co_inf with Luke Kennard,co_inf with Trae Young,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,20-066,MEM,,NYK,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,102.0,6.375,0.0,92.4,5.775
1,2,,2022-10-21,20-068,MEM,@,HOU,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,88.0,5.5,0.0,105.8,6.6125
2,3,1,2022-10-22,20-069,MEM,@,DAL,L (-41),0,8:54,2.0,4.0,.500,0.0,1.0,.000,0,1.0,.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,1.4,-9,3.0,2.0,0.6666666666666666,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,1.0,41.0,2.5625,1.4,45.7,2.85625
3,4,,2022-10-24,20-071,MEM,,BRK,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,84.0,5.25,0.0,108.29999999999998,6.768749999999999
4,5,2,2022-10-27,20-074,MEM,@,SAC,W (+15),0,0:25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,0.0,103.0,6.4375,0.0,102.5,6.40625
5,6,,2022-10-29,20-076,MEM,@,UTA,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,100.0,6.25,0.0,98.8,6.175
6,7,3,2022-10-31,20-078,MEM,@,UTA,L (-16),0,4:40,2.0,5.0,.400,0.0,0.0,,1,2.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.6,+4,5.0,2.0,0.4,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,-1.0,38.0,2.375,2.2,62.59999999999999,3.912499999999999
7,8,,2022-11-02,20-080,MEM,@,POR,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,88.0,5.5,0.0,90.1,5.63125
8,9,,2022-11-04,20-082,MEM,,CHO,W (+31),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,110.0,6.875,0.0,111.8,6.9875
9,10,,2022-11-06,20-084,MEM,,WAS,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,10,24,18,20,15,12,19,22,20,20,5,22,11,20,9,56.0,11.0,70.0,58.0,73.0,61.0,1,35.0,63.0,72.0,36.0,77.0,42.0,80.0,15.0,61.0,37.0,0.1785714285714285,0.0,0.3428571428571428,0.3103448275862069,0.273972602739726,0.2459016393442623,0.0,0.3428571428571428,0.3015873015873015,0.3055555555555556,0.5555555555555556,0.2597402597402597,0.119047619047619,0.275,0.7333333333333333,0.3278688524590163,0.2432432432432432,14,59.0,73.0,0.2372881355932203,0.0,16,,62.0,3.875,0.0,73.3,4.58125
