Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Chris Duarte,Shared Games with Daniel Theis,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Kendall Brown,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Kendall Brown,Myles Turner,Oshae Brissett,T.J. McConnell,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Kendall Brown,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Zach LaVine,Shared Games with Patrick Beverley,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Clint Capela,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Beverley,Patrick Williams,Robert Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Clint Capela,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Javonte Green,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Robert Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Patrick Beverley,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,23-026,IND,,WAS,L (-7),1,24:02,2.0,6.0,.333,1.0,3.0,.333,3,4.0,.750,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,7.2,-8,3.0,1.0,0.3333333333333333,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,3.0,78.0,2.689655172413793,6.0,78.20000000000002,2.6965517241379318
1,2,2,2022-10-21,23-028,IND,,SAS,L (-3),1,22:10,4.0,7.0,.571,1.0,2.0,.500,0,0.0,,2.0,5.0,7.0,2.0,0.0,0.0,0.0,5.0,9.0,8.0,-7,5.0,3.0,0.6,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,11.0,50.0,1.7241379310344829,8.0,60.8,2.096551724137931
2,3,3,2022-10-22,23-029,IND,,DET,W (+9),0,20:29,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,+10,2.0,0.0,0.0,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,2.0,70.0,2.413793103448276,1.0,81.69999999999999,2.8172413793103446
3,4,4,2022-10-24,23-031,IND,@,PHI,L (-14),0,15:05,1.0,4.0,.250,0.0,1.0,.000,0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.5,-11,3.0,1.0,0.3333333333333333,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,3.0,108.0,3.724137931034482,1.4999999999999998,103.79999999999998,3.5793103448275856
4,5,5,2022-10-26,23-033,IND,@,CHI,L (-15),0,6:25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,-14,0.0,0.0,,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,1.0,98.0,3.3793103448275863,0.2999999999999999,89.29999999999997,3.079310344827585
5,6,,2022-10-28,23-035,IND,@,WAS,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,,80.0,2.7586206896551726,0.0,82.6,2.848275862068965
6,7,6,2022-10-29,23-036,IND,@,BRK,W (+9),0,0:13,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,0.0,66.0,2.2758620689655173,0.0,82.19999999999997,2.834482758620689
7,8,,2022-10-31,23-038,IND,@,BRK,L (-7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,,77.0,2.655172413793104,0.0,84.89999999999999,2.9275862068965512
8,9,,2022-11-04,23-042,IND,,MIA,W (+2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,,94.0,3.2413793103448274,0.0,89.89999999999998,3.099999999999999
9,10,7,2022-11-07,23-045,IND,,NOP,W (+7),0,5:38,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-1,0.0,0.0,,23,20,26,26,15,1,14,23,24,8,4,19,20,24,6,19,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,6.0,62.0,65.0,75.0,7.0,56.0,0.3150684931506849,0.2666666666666666,0.3333333333333333,0.325,0.3260869565217391,0.1428571428571428,0.0,0.3684210526315789,0.365079365079365,0.3529411764705882,0.4444444444444444,0.6666666666666666,0.3064516129032258,0.3076923076923077,0.32,0.8571428571428571,0.3392857142857143,3,5,5,5,4,4,3,16,2,5,5,5,4,67.0,67.0,80.0,7.0,65.0,74.0,38.0,74.0,64.0,32.0,,,5.0,7.0,82.0,67.0,82.0,35.0,12.0,77.0,0.044776119402985,0.0746268656716417,0.0625,0.0,0.0,0.0675675675675675,0.1052631578947368,0.054054054054054,0.046875,0.0,0.0,0.2857142857142857,0.0609756097560975,0.0609756097560975,0.0,0.0,0.0649350649350649,,,0.0597014925373134,29,-1.0,76.0,2.6206896551724137,-0.7,82.69999999999999,2.851724137931034
