Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,1,2022-10-19,21-054,CHI,@,MIA,W (+8),1,28:08,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,0.8,-4,4.0,2.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,0.0,81.0,4.764705882352941,0.8000000000000003,83.39999999999999,4.905882352941176
1,2,2,2022-10-21,21-056,CHI,@,WAS,L (-2),1,23:57,2.0,5.0,.400,1.0,3.0,.333,2,2.0,1.000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,4.3,-23,2.0,1.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,60.0,3.5294117647058822,3.499999999999999,65.3,3.841176470588235
2,3,3,2022-10-22,21-057,CHI,,CLE,L (-32),1,15:31,2.0,7.0,.286,1.0,3.0,.333,1,2.0,.500,1.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,2.4,0,4.0,1.0,0.25,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,0.0,72.0,4.235294117647059,2.0000000000000004,80.69999999999999,4.747058823529411
3,4,4,2022-10-24,21-059,CHI,,BOS,W (+18),1,14:39,2.0,7.0,.286,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.5,-9,5.0,2.0,0.4,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,110.0,6.470588235294118,1.5000000000000004,103.8,6.105882352941176
4,5,5,2022-10-26,21-061,CHI,,IND,W (+15),1,14:56,4.0,5.0,.800,2.0,2.0,1.000,0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,10.0,9.5,-3,3.0,2.0,0.6666666666666666,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,92.0,5.411764705882353,9.5,80.09999999999998,4.711764705882352
5,6,6,2022-10-28,21-063,CHI,@,SAS,L (-5),1,20:11,4.0,7.0,.571,1.0,2.0,.500,1,1.0,1.000,0.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,10.0,9.2,-7,5.0,3.0,0.6,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,73.0,4.294117647058823,8.799999999999999,73.80000000000001,4.341176470588236
6,7,7,2022-10-29,21-064,CHI,,PHI,L (-5),1,32:19,2.0,5.0,.400,1.0,3.0,.333,4,4.0,1.000,0.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,9.0,4.7,-1,2.0,1.0,0.5,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,64.0,3.764705882352941,3.1000000000000005,79.09999999999998,4.652941176470587
7,8,8,2022-11-01,21-067,CHI,@,BRK,W (+9),1,29:58,5.0,10.0,.500,0.0,3.0,.000,2,2.0,1.000,3.0,4.0,7.0,1.0,1.0,2.0,3.0,2.0,12.0,9.6,-8,7.0,5.0,0.7142857142857143,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,69.0,4.0588235294117645,8.799999999999997,76.1,4.476470588235294
8,9,9,2022-11-02,21-068,CHI,,CHO,W (+18),1,32:35,7.0,9.0,.778,2.0,3.0,.667,0,0.0,,1.0,4.0,5.0,1.0,0.0,1.0,1.0,1.0,16.0,14.4,+19,6.0,5.0,0.8333333333333334,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,13.0,81.0,4.764705882352941,14.399999999999997,75.5,4.4411764705882355
9,10,10,2022-11-04,21-070,CHI,@,BOS,L (-4),1,30:16,3.0,9.0,.333,1.0,4.0,.250,0,0.0,,0.0,5.0,5.0,1.0,0.0,1.0,4.0,6.0,7.0,-1.6,-3,5.0,2.0,0.4,67,67,80,7,74,38,74,64,51,32,5,7,82,12,77,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,12.0,77.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8793103448275862,1.0,,,1.0,1.0,1.0,1.0,1.0,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,74.0,4.352941176470588,-1.6000000000000023,83.6,4.917647058823529
