Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-06,22-263,CHI,@,TOR,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,90.0,5.294117647058823,0.0,88.99999999999999,5.235294117647058
11,12,,2022-11-07,22-264,CHI,,TOR,W (+14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,102.0,6.0,0.0,100.8,5.929411764705883
12,13,,2022-11-09,22-266,CHI,,NOP,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,75.0,4.411764705882353,0.0,76.3,4.488235294117647
13,14,,2022-11-13,22-270,CHI,,DEN,L (-23),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,69.0,4.0588235294117645,0.0,70.19999999999999,4.129411764705882
14,15,,2022-11-16,22-273,CHI,@,NOP,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,67.0,3.941176470588236,0.0,75.7,4.452941176470588
15,16,8,2022-11-18,22-275,CHI,,ORL,L (-1),0,4:20,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-0.4,0,0.0,0.0,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,97.0,5.705882352941177,-0.4,97.1,5.711764705882352
16,17,9,2022-11-21,22-278,CHI,,BOS,W (+14),0,13:43,2.0,8.0,.250,1.0,6.0,.167,4,4.0,1.000,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,9.0,7.6,-3,2.0,1.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,104.0,6.117647058823529,6.0,95.3,5.605882352941176
17,18,10,2022-11-23,22-280,CHI,@,MIL,W (+5),0,25:25,5.0,10.0,.500,4.0,7.0,.571,0,0.0,,0.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,14.0,13.6,+7,3.0,1.0,0.3333333333333333,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,12.0,93.0,5.470588235294118,13.599999999999996,94.1,5.535294117647059
18,19,11,2022-11-25,22-282,CHI,@,OKC,L (-4),0,17:47,2.0,5.0,.400,2.0,5.0,.400,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,3.5,-5,0.0,0.0,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,63.0,3.7058823529411766,3.499999999999999,74.8,4.3999999999999995
19,20,12,2022-11-28,22-285,CHI,@,UTA,W (+7),0,22:49,6.0,9.0,.667,3.0,5.0,.600,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,15.0,11.3,+3,4.0,3.0,0.75,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,61.0,3.588235294117647,11.3,61.399999999999984,3.611764705882352
