Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Tony Bradley,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Tony Bradley,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Tony Bradley,co_inf with Zach LaVine,Shared Games with Terry Taylor,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,13,2022-11-30,22-287,CHI,@,PHO,L (-19),0,18:30,2.0,5.0,.400,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,4.0,1.2,-5,3.0,2.0,0.6666666666666666,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,75.0,4.411764705882353,1.2000000000000002,79.30000000000001,4.6647058823529415
22,22,14,2022-12-02,22-289,CHI,@,GSW,L (-8),0,6:43,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,-0.2,-3,0.0,0.0,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,71.0,4.176470588235294,-0.2000000000000001,83.1,4.888235294117647
23,23,15,2022-12-04,22-291,CHI,@,SAC,L (-9),0,15:43,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,0.0,4.0,4.0,1.0,0.0,0.0,2.0,1.0,7.0,3.5,+1,3.0,2.0,0.6666666666666666,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,58.0,3.411764705882353,3.4999999999999982,74.79999999999998,4.399999999999999
24,24,16,2022-12-07,22-294,CHI,,WAS,W (+4),0,17:09,2.0,4.0,.500,1.0,3.0,.333,1,1.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,4.3,+4,1.0,1.0,1.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,90.0,5.294117647058823,3.9,92.9,5.464705882352941
25,25,17,2022-12-10,22-297,CHI,,DAL,W (+29),0,26:22,1.0,7.0,.143,0.0,5.0,.000,0,0.0,,0.0,4.0,4.0,7.0,1.0,2.0,1.0,4.0,2.0,3.4,-4,2.0,1.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,130.0,7.647058823529412,3.4000000000000004,133.7,7.864705882352941
26,26,18,2022-12-11,22-298,CHI,@,ATL,L (-1),0,31:28,4.0,12.0,.333,4.0,9.0,.444,0,0.0,,1.0,5.0,6.0,4.0,1.0,0.0,0.0,3.0,12.0,10.0,+8,3.0,0.0,0.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,88.0,5.176470588235294,10.0,84.89999999999999,4.994117647058823
27,27,19,2022-12-14,22-301,CHI,,NYK,L (-8),0,27:33,5.0,8.0,.625,2.0,4.0,.500,0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,1.0,0.0,12.0,10.0,+3,4.0,3.0,0.75,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,84.0,4.941176470588236,9.999999999999998,95.3,5.605882352941176
28,28,20,2022-12-16,22-303,CHI,,NYK,L (-23),0,22:12,3.0,7.0,.429,1.0,4.0,.250,0,0.0,,0.0,5.0,5.0,1.0,0.0,0.0,2.0,3.0,7.0,2.3,0,3.0,2.0,0.6666666666666666,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,61.0,3.588235294117647,2.299999999999999,57.79999999999999,3.3999999999999995
29,29,21,2022-12-18,22-305,CHI,@,MIN,L (-24),0,19:08,3.0,5.0,.600,2.0,4.0,.500,2,3.0,.667,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,10.0,8.1,-4,1.0,1.0,1.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,5.0,73.0,4.294117647058823,7.299999999999998,97.09999999999998,5.711764705882352
30,30,22,2022-12-20,22-307,CHI,@,MIA,W (+10),0,23:47,3.0,10.0,.300,3.0,8.0,.375,5,5.0,1.000,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,14.0,8.5,+3,2.0,0.0,0.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,78.0,4.588235294117647,6.5,87.2,5.129411764705883
31,31,23,2022-12-21,22-308,CHI,@,ATL,W (+2),0,29:44,2.0,8.0,.250,1.0,5.0,.200,5,6.0,.833,0.0,4.0,4.0,5.0,2.0,0.0,3.0,2.0,10.0,7.7,-9,3.0,1.0,0.3333333333333333,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,86.0,5.0588235294117645,5.699999999999999,92.79999999999998,5.458823529411764
32,32,24,2022-12-23,22-310,CHI,@,NYK,W (+1),0,19:22,3.0,5.0,.600,2.0,4.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,3.5,-11,1.0,1.0,1.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,2.0,101.0,5.941176470588236,3.499999999999999,100.4,5.905882352941177
33,33,25,2022-12-26,22-313,CHI,,HOU,L (-15),0,28:53,5.0,9.0,.556,4.0,8.0,.500,0,0.0,,1.0,2.0,3.0,4.0,2.0,0.0,0.0,3.0,14.0,14.6,+17,1.0,1.0,1.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,14.0,72.0,4.235294117647059,14.6,74.6,4.388235294117647
34,34,26,2022-12-28,22-315,CHI,,MIL,W (+6),0,5:41,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0.0,0.0,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,0.0,87.0,5.117647058823529,0.0,88.6,5.211764705882352
35,35,27,2022-12-30,22-317,CHI,,DET,W (+14),0,13:48,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.6,+10,1.0,1.0,1.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,113.0,6.647058823529412,3.6000000000000005,112.8,6.635294117647058
36,36,28,2022-12-31,22-318,CHI,,CLE,L (-1),0,21:17,4.0,9.0,.444,1.0,4.0,.250,0,0.0,,1.0,5.0,6.0,2.0,3.0,0.0,2.0,0.0,9.0,8.9,-9,5.0,3.0,0.6,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,71.0,4.176470588235294,8.899999999999999,86.79999999999998,5.105882352941175
37,37,29,2023-01-02,22-320,CHI,@,CLE,L (-11),0,10:21,1.0,2.0,.500,1.0,1.0,1.000,2,2.0,1.000,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,5.3,-4,1.0,0.0,0.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,86.0,5.0588235294117645,4.500000000000001,91.29999999999998,5.370588235294116
38,38,30,2023-01-04,22-322,CHI,,BRK,W (+9),0,28:12,3.0,6.0,.500,2.0,4.0,.500,2,2.0,1.000,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,10.0,8.5,-3,2.0,1.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,68.0,4.0,7.699999999999998,80.29999999999998,4.723529411764705
39,39,31,2023-01-06,22-324,CHI,@,PHI,W (+14),0,24:31,3.0,7.0,.429,3.0,7.0,.429,0,2.0,.000,0.0,4.0,4.0,3.0,0.0,0.0,1.0,3.0,9.0,5.6,+6,0.0,0.0,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,6.0,105.0,6.176470588235294,5.599999999999998,102.6,6.035294117647059
40,40,32,2023-01-07,22-325,CHI,,UTA,W (+8),0,29:08,2.0,6.0,.333,1.0,4.0,.250,0,0.0,,1.0,5.0,6.0,3.0,1.0,0.0,0.0,3.0,5.0,5.7,+3,2.0,1.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,9.0,88.0,5.176470588235294,5.7,93.6,5.5058823529411764
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,,0.0,0.0,0.0,0.0,0.0
42,41,33,2023-01-09,22-327,CHI,@,BOS,L (-8),0,19:40,1.0,7.0,.143,0.0,5.0,.000,2,2.0,1.000,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,4.0,0.3,0,2.0,1.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,-1.0,72.0,4.235294117647059,-0.4999999999999986,71.8,4.223529411764706
43,42,34,2023-01-11,22-329,CHI,@,WAS,L (-3),0,29:05,5.0,11.0,.455,3.0,5.0,.600,0,0.0,,0.0,4.0,4.0,1.0,2.0,0.0,1.0,2.0,13.0,9.4,+6,6.0,2.0,0.3333333333333333,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,8.0,46.0,2.7058823529411766,9.4,53.7,3.158823529411765
44,43,35,2023-01-13,22-331,CHI,,OKC,L (-14),0,32:50,7.0,15.0,.467,4.0,9.0,.444,1,1.0,1.000,0.0,6.0,6.0,6.0,0.0,0.0,1.0,0.0,19.0,16.3,+4,6.0,3.0,0.5,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,14.0,57.0,3.3529411764705883,15.900000000000002,66.1,3.8882352941176466
45,44,36,2023-01-15,22-333,CHI,,GSW,W (+14),0,25:57,6.0,7.0,.857,2.0,2.0,1.000,1,1.0,1.000,0.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,15.0,13.3,-7,5.0,4.0,0.8,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,11.0,118.0,6.941176470588236,12.899999999999997,133.99999999999997,7.882352941176469
46,45,37,2023-01-19,22-337,CHI,@,DET,W (+18),0,17:14,4.0,5.0,.800,2.0,2.0,1.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,9.4,0,3.0,2.0,0.6666666666666666,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,7.0,108.0,6.352941176470588,9.4,119.90000000000002,7.05294117647059
47,46,38,2023-01-23,22-341,CHI,,ATL,W (+11),0,21:39,4.0,12.0,.333,2.0,9.0,.222,0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0,10.0,5.0,-1,3.0,2.0,0.6666666666666666,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,4.0,105.0,6.176470588235294,5.000000000000003,114.4,6.729411764705882
48,47,39,2023-01-24,22-342,CHI,@,IND,L (-6),0,22:42,3.0,11.0,.273,2.0,7.0,.286,0,0.0,,0.0,3.0,3.0,3.0,2.0,0.0,0.0,3.0,8.0,5.3,-8,4.0,1.0,0.25,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,5.0,88.0,5.176470588235294,5.3,92.4,5.435294117647059
49,48,40,2023-01-26,22-344,CHI,@,CHO,L (-15),0,25:56,2.0,9.0,.222,2.0,5.0,.400,0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,6.0,1.0,+7,4.0,0.0,0.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,1.0,55.0,3.235294117647059,0.9999999999999998,69.1,4.064705882352941
50,49,41,2023-01-28,22-346,CHI,@,ORL,W (+19),0,19:14,0.0,5.0,.000,0.0,3.0,.000,0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,-1.5,-4,2.0,0.0,0.0,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,0.0,125.0,7.352941176470588,-1.5000000000000004,148.5,8.735294117647058
51,50,42,2023-01-31,22-349,CHI,,LAC,L (-5),0,18:01,3.0,8.0,.375,2.0,4.0,.500,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,2.0,8.0,3.4,-2,4.0,1.0,0.25,59,64,72,7,33,66,56,43,24,4,7,74,74,9,70,67.0,67.0,80.0,7.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,12.0,77.0,0.8805970149253731,0.9552238805970148,0.9,1.0,0.868421052631579,0.8918918918918919,0.875,0.7413793103448276,0.75,,,0.8,1.0,0.902439024390244,0.902439024390244,0.75,0.9090909090909092,5,22,65.0,67.0,35.0,31.0,0.1612903225806451,0.0,0.3283582089552239,0.0,17,3.0,125.0,7.352941176470588,3.3999999999999995,118.29999999999998,6.958823529411764
